;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENST00000531224_90_90;0.861;0.737;0.939;0.939;0.97;0.743;0.97;0.727;0.714;0.939;1.0;0.743;0.121;0.242;0.441;0.182;0.743;0.657;0.857;0.829;0.829;0.639;0.029;0.611;0.629
ENST00000532384_90_90;0.722;0.649;0.735;0.735;0.765;1.0;0.714;0.857;0.964;0.686;0.743;1.0;0.0;0.286;0.517;0.062;1.0;0.767;0.622;0.639;0.595;0.862;0.034;0.828;0.444
ENST00000533422_90_90;0.118;0.088;0.129;0.129;0.125;0.0;0.125;0.0;0.0;0.129;0.121;0.0;1.0;0.0;0.0;0.429;0.0;0.0;0.125;0.129;0.129;0.0;0.0;0.0;0.167
ENST00000533621_90_90;0.235;0.206;0.258;0.258;0.25;0.286;0.25;0.333;0.296;0.219;0.242;0.286;0.0;1.0;0.412;0.0;0.286;0.32;0.212;0.219;0.219;0.259;0.0;0.269;0.231
ENST00000534269_90_90;0.429;0.361;0.469;0.469;0.455;0.517;0.455;0.6;0.536;0.469;0.441;0.517;0.0;0.412;1.0;0.0;0.517;0.577;0.371;0.382;0.382;0.448;0.125;0.464;0.212
ENST00000534762_90_90;0.176;0.147;0.156;0.156;0.152;0.062;0.188;0.034;0.065;0.194;0.182;0.062;0.429;0.0;0.0;1.0;0.062;0.0;0.188;0.156;0.194;0.067;0.0;0.069;0.2
ENST00000628517_90_90;0.722;0.649;0.735;0.735;0.765;1.0;0.714;0.857;0.964;0.686;0.743;1.0;0.0;0.286;0.517;0.062;1.0;0.767;0.622;0.639;0.595;0.862;0.034;0.828;0.444
ENST00000640069_90_90;0.639;0.568;0.647;0.647;0.676;0.767;0.629;0.815;0.733;0.6;0.657;0.767;0.0;0.32;0.577;0.0;0.767;1.0;0.583;0.6;0.556;0.7;0.038;0.667;0.4
ENSMUST00000043881_90_90;0.833;0.711;0.8;0.8;0.829;0.622;0.829;0.6;0.595;0.8;0.857;0.622;0.125;0.212;0.371;0.188;0.622;0.583;1.0;0.969;0.969;0.706;0.03;0.676;0.75
ENSMUST00000092678_90_90;0.806;0.684;0.824;0.824;0.853;0.639;0.8;0.618;0.611;0.771;0.829;0.639;0.129;0.219;0.382;0.156;0.639;0.6;0.969;1.0;0.938;0.727;0.031;0.697;0.774
ENSMUST00000185800_90_90;0.806;0.684;0.824;0.824;0.8;0.595;0.853;0.571;0.611;0.771;0.829;0.595;0.129;0.219;0.382;0.194;0.595;0.556;0.969;0.938;1.0;0.676;0.031;0.697;0.774
ENSMUST00000186100_90_90;0.714;0.639;0.629;0.629;0.657;0.862;0.611;0.724;0.828;0.583;0.639;0.862;0.0;0.259;0.448;0.067;0.862;0.7;0.706;0.727;0.676;1.0;0.037;0.962;0.515
ENSMUST00000189158_90_90;0.029;0.029;0.031;0.031;0.03;0.034;0.03;0.04;0.036;0.031;0.029;0.034;0.0;0.0;0.125;0.0;0.034;0.038;0.03;0.031;0.031;0.037;1.0;0.038;0.04
ENSMUST00000190156_90_90;0.686;0.611;0.647;0.647;0.629;0.828;0.629;0.69;0.857;0.556;0.611;0.828;0.0;0.269;0.464;0.069;0.828;0.667;0.676;0.697;0.697;0.962;0.038;1.0;0.531
ENSMUST00000191438_90_90;0.611;0.541;0.667;0.667;0.647;0.444;0.647;0.412;0.457;0.571;0.629;0.444;0.167;0.231;0.212;0.2;0.444;0.4;0.75;0.774;0.774;0.515;0.04;0.531;1.0
