;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript54_ENSCGRG00015005362;0.778;1.0;0.913;0.991;0.989;0.959;0.828;0.881;0.882;0.862;1.0;0.835;0.862;0.816;0.8;0.8;1.0;0.816;0.698;0.791;0.791;0.883;0.696;0.78;0.668;0.736;0.695;0.419;0.636;0.885;0.885;0.885;0.863;0.86;0.972;0.885
transcript8_ENSCGRG00000018457;0.867;0.835;0.758;0.827;0.828;0.804;0.731;0.951;0.953;0.973;0.835;1.0;0.973;0.886;0.91;0.871;0.835;0.886;0.752;0.847;0.847;0.745;0.754;0.836;0.773;0.793;0.752;0.484;0.665;0.95;0.95;0.95;0.928;0.931;0.816;0.95
transcript38_ENSCGRG00000018457;0.886;0.862;0.785;0.854;0.855;0.828;0.712;0.978;0.979;1.0;0.862;0.973;1.0;0.913;0.937;0.897;0.862;0.913;0.779;0.874;0.874;0.772;0.781;0.863;0.752;0.82;0.779;0.494;0.674;0.976;0.976;0.976;0.954;0.957;0.843;0.976
transcript52_ENSCGRG00000018457;0.801;0.816;0.739;0.808;0.809;0.783;0.666;0.932;0.934;0.913;0.816;0.886;0.913;1.0;0.852;0.983;0.816;1.0;0.741;0.837;0.837;0.734;0.743;0.826;0.714;0.885;0.741;0.452;0.667;0.931;0.931;0.931;0.909;0.912;0.797;0.931
transcript56_ENSCGRG00000018457;0.823;0.8;0.723;0.792;0.794;0.77;0.653;0.916;0.918;0.937;0.8;0.91;0.937;0.852;1.0;0.836;0.8;0.852;0.731;0.827;0.827;0.724;0.732;0.816;0.704;0.772;0.731;0.469;0.654;0.915;0.915;0.915;0.893;0.896;0.781;0.915
transcript65_ENSCGRG00000018457;0.788;0.8;0.723;0.792;0.794;0.767;0.65;0.916;0.918;0.897;0.8;0.871;0.897;0.983;0.836;1.0;0.8;0.983;0.728;0.824;0.824;0.721;0.73;0.813;0.701;0.871;0.728;0.46;0.659;0.915;0.915;0.915;0.893;0.896;0.781;0.915
transcript37_ENSCGRG00001010245;0.778;1.0;0.913;0.991;0.989;0.959;0.828;0.881;0.882;0.862;1.0;0.835;0.862;0.816;0.8;0.8;1.0;0.816;0.698;0.791;0.791;0.883;0.696;0.78;0.668;0.736;0.695;0.419;0.636;0.885;0.885;0.885;0.863;0.86;0.972;0.885
transcript52_ENSCGRG00001010245;0.801;0.816;0.739;0.808;0.809;0.783;0.666;0.932;0.934;0.913;0.816;0.886;0.913;1.0;0.852;0.983;0.816;1.0;0.741;0.837;0.837;0.734;0.743;0.826;0.714;0.885;0.741;0.452;0.667;0.931;0.931;0.931;0.909;0.912;0.797;0.931
transcript8_ENSPEMG00000024651;0.69;0.698;0.619;0.692;0.693;0.663;0.545;0.784;0.785;0.779;0.698;0.752;0.779;0.741;0.731;0.728;0.698;0.741;1.0;0.892;0.892;0.78;0.998;0.88;0.754;0.832;0.996;0.393;0.553;0.783;0.783;0.783;0.767;0.769;0.681;0.783
transcript9_ENSPEMG00000024651;0.77;0.791;0.712;0.786;0.787;0.757;0.638;0.879;0.88;0.874;0.791;0.847;0.874;0.837;0.827;0.824;0.791;0.837;0.892;1.0;1.0;0.884;0.894;0.987;0.862;0.939;0.892;0.442;0.594;0.877;0.877;0.877;0.861;0.864;0.777;0.877
transcript33_ENSPEMG00000024651;0.77;0.791;0.712;0.786;0.787;0.757;0.638;0.879;0.88;0.874;0.791;0.847;0.874;0.837;0.827;0.824;0.791;0.837;0.892;1.0;1.0;0.884;0.894;0.987;0.862;0.939;0.892;0.442;0.594;0.877;0.877;0.877;0.861;0.864;0.777;0.877
transcript37_ENSPEMG00000024651;0.691;0.883;0.796;0.877;0.875;0.845;0.714;0.777;0.778;0.772;0.883;0.745;0.772;0.734;0.724;0.721;0.883;0.734;0.78;0.884;0.884;1.0;0.779;0.871;0.746;0.823;0.777;0.384;0.544;0.781;0.781;0.781;0.765;0.762;0.861;0.781
transcript39_ENSPEMG00000024651;0.692;0.696;0.618;0.691;0.692;0.662;0.544;0.785;0.787;0.781;0.696;0.754;0.781;0.743;0.732;0.73;0.696;0.743;0.998;0.894;0.894;0.779;1.0;0.882;0.756;0.833;0.998;0.394;0.555;0.785;0.785;0.785;0.768;0.771;0.683;0.785
transcript56_ENSPEMG00000024651;0.762;0.78;0.701;0.774;0.776;0.757;0.638;0.868;0.869;0.863;0.78;0.836;0.863;0.826;0.816;0.813;0.78;0.826;0.88;0.987;0.987;0.871;0.882;1.0;0.849;0.927;0.88;0.435;0.588;0.866;0.866;0.866;0.85;0.853;0.766;0.866
transcript57_ENSPEMG00000024651;0.674;0.668;0.589;0.662;0.663;0.641;0.728;0.757;0.759;0.752;0.668;0.773;0.752;0.714;0.704;0.701;0.668;0.714;0.754;0.862;0.862;0.746;0.756;0.849;1.0;0.801;0.754;0.382;0.545;0.756;0.756;0.756;0.74;0.742;0.654;0.756
transcript58_ENSPEMG00000024651;0.716;0.736;0.658;0.731;0.732;0.705;0.587;0.825;0.826;0.82;0.736;0.793;0.82;0.885;0.772;0.871;0.736;0.885;0.832;0.939;0.939;0.823;0.833;0.927;0.801;1.0;0.832;0.418;0.575;0.824;0.824;0.824;0.808;0.81;0.723;0.824
transcript59_ENSPEMG00000024651;0.69;0.695;0.617;0.69;0.691;0.661;0.542;0.784;0.785;0.779;0.695;0.752;0.779;0.741;0.731;0.728;0.695;0.741;0.996;0.892;0.892;0.777;0.998;0.88;0.754;0.832;1.0;0.393;0.553;0.783;0.783;0.783;0.767;0.769;0.681;0.783
transcript8_ENSNGAG00000018584;0.443;0.419;0.38;0.423;0.423;0.405;0.349;0.483;0.484;0.494;0.419;0.484;0.494;0.452;0.469;0.46;0.419;0.452;0.393;0.442;0.442;0.384;0.394;0.435;0.382;0.418;0.393;1.0;0.698;0.483;0.483;0.483;0.494;0.495;0.432;0.483
transcript33_ENSNGAG00000018584;0.571;0.636;0.603;0.628;0.629;0.609;0.565;0.692;0.694;0.674;0.636;0.665;0.674;0.667;0.654;0.659;0.636;0.667;0.553;0.594;0.594;0.544;0.555;0.588;0.545;0.575;0.553;0.698;1.0;0.692;0.692;0.692;0.678;0.68;0.625;0.692
transcript8_ENSSTOG00000019743;0.865;0.885;0.808;0.877;0.876;0.849;0.733;0.995;0.997;0.976;0.885;0.95;0.976;0.931;0.915;0.915;0.885;0.931;0.783;0.877;0.877;0.781;0.785;0.866;0.756;0.824;0.783;0.483;0.692;1.0;1.0;1.0;0.978;0.975;0.866;1.0
transcript26_ENSSTOG00000019743;0.865;0.885;0.808;0.877;0.876;0.849;0.733;0.995;0.997;0.976;0.885;0.95;0.976;0.931;0.915;0.915;0.885;0.931;0.783;0.877;0.877;0.781;0.785;0.866;0.756;0.824;0.783;0.483;0.692;1.0;1.0;1.0;0.978;0.975;0.866;1.0
transcript29_ENSSTOG00000019743;0.865;0.885;0.808;0.877;0.876;0.849;0.733;0.995;0.997;0.976;0.885;0.95;0.976;0.931;0.915;0.915;0.885;0.931;0.783;0.877;0.877;0.781;0.785;0.866;0.756;0.824;0.783;0.483;0.692;1.0;1.0;1.0;0.978;0.975;0.866;1.0
transcript37_ENSSTOG00000019743;0.849;0.863;0.786;0.855;0.854;0.833;0.716;0.973;0.975;0.954;0.863;0.928;0.954;0.909;0.893;0.893;0.863;0.909;0.767;0.861;0.861;0.765;0.768;0.85;0.74;0.808;0.767;0.494;0.678;0.978;0.978;0.978;1.0;0.997;0.886;0.978
transcript38_ENSSTOG00000019743;0.851;0.86;0.783;0.852;0.854;0.83;0.713;0.976;0.978;0.957;0.86;0.931;0.957;0.912;0.896;0.896;0.86;0.912;0.769;0.864;0.864;0.762;0.771;0.853;0.742;0.81;0.769;0.495;0.68;0.975;0.975;0.975;0.997;1.0;0.883;0.975
transcript39_ENSSTOG00000019743;0.764;0.972;0.885;0.963;0.961;0.938;0.806;0.862;0.863;0.843;0.972;0.816;0.843;0.797;0.781;0.781;0.972;0.797;0.681;0.777;0.777;0.861;0.683;0.766;0.654;0.723;0.681;0.432;0.625;0.866;0.866;0.866;0.886;0.883;1.0;0.866
transcript40_ENSSTOG00000019743;0.865;0.885;0.808;0.877;0.876;0.849;0.733;0.995;0.997;0.976;0.885;0.95;0.976;0.931;0.915;0.915;0.885;0.931;0.783;0.877;0.877;0.781;0.785;0.866;0.756;0.824;0.783;0.483;0.692;1.0;1.0;1.0;0.978;0.975;0.866;1.0
