;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.984;0.976;0.976;0.715;0.634;0.505;0.528;0.843;0.823;1.0;1.0;1.0;0.71;0.697;0.843;0.843;0.722;0.71;1.0;0.711;0.722
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.984;0.976;0.976;0.715;0.634;0.505;0.528;0.843;0.823;1.0;1.0;1.0;0.71;0.697;0.843;0.843;0.588;0.598;1.0;0.575;0.588
transcript26_ENSAOCG00000015695;0.71;0.71;0.71;0.683;0.678;0.678;0.807;1.0;0.577;1.0;0.553;0.532;0.71;0.71;0.71;1.0;1.0;0.553;0.538;0.417;0.792;0.71;0.399;0.417
transcript29_ENSAOCG00000015695;0.697;0.697;0.697;0.669;0.663;0.663;0.845;1.0;0.607;1.0;0.577;0.512;0.697;0.697;0.697;1.0;1.0;0.577;0.517;0.403;0.782;0.697;0.384;0.403
transcript14_ENSPNYG00000024266;0.843;0.843;0.843;0.822;0.815;0.815;0.84;0.634;0.603;0.528;1.0;0.666;0.843;0.843;0.843;0.553;0.577;1.0;0.679;0.609;0.553;0.843;0.594;0.609
transcript21_ENSPNYG00000024266;0.843;0.843;0.843;0.82;0.814;0.814;0.465;0.409;0.213;0.224;0.679;0.657;0.843;0.843;0.843;0.538;0.517;0.679;1.0;0.6;0.538;0.843;0.584;0.6
transcript3_ENSXMAG00000026005;0.661;0.661;0.588;0.642;0.639;0.699;0.413;0.336;0.281;0.247;0.557;0.543;0.588;0.722;0.588;0.417;0.403;0.609;0.6;1.0;0.551;0.588;1.0;1.0
transcript10_ENSXMAG00000026005;0.71;0.71;0.598;0.683;0.678;0.678;0.807;0.729;0.577;0.635;0.553;0.532;0.598;0.71;0.598;0.792;0.782;0.553;0.538;0.551;1.0;0.598;0.538;0.551
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.984;0.976;0.976;0.715;0.634;0.505;0.528;0.843;0.823;1.0;1.0;1.0;0.71;0.697;0.843;0.843;0.588;0.598;1.0;0.575;0.588
transcript16_ENSXMAG00000026005;0.649;0.649;0.575;0.649;0.649;0.711;0.418;0.336;0.284;0.247;0.542;0.528;0.575;0.711;0.575;0.399;0.384;0.594;0.584;1.0;0.538;0.575;1.0;1.0
transcript17_ENSXMAG00000026005;0.661;0.661;0.588;0.642;0.639;0.699;0.413;0.336;0.281;0.247;0.557;0.543;0.588;0.722;0.588;0.417;0.403;0.609;0.6;1.0;0.551;0.588;1.0;1.0
