;transcript8_ENSAOCG00000015695;transcript8_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript26_ENSAOCG00000015695;transcript7_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript27_ENSAPOG00000023408;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript30_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript32_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript36_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript1_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript36_ENSAPOG00000016134;0.746;0.739;0.722;0.924;0.897;0.897;0.914;0.914;0.879;0.819;1.0;0.962;0.933;0.817;0.774;0.794;0.794;0.75;0.78;0.856;0.914;0.873;0.962;0.964;0.873
transcript37_ENSAPOG00000016134;0.759;0.776;0.697;0.96;0.933;0.933;0.95;0.95;0.913;0.855;0.962;1.0;0.9;0.851;0.807;0.828;0.828;0.784;0.814;0.891;0.95;0.907;1.0;0.928;0.907
transcript38_ENSAPOG00000016134;0.712;0.684;0.716;0.866;0.866;0.866;0.882;0.882;0.849;0.787;0.933;0.9;1.0;0.786;0.742;0.764;0.764;0.72;0.75;0.824;0.882;0.843;0.9;0.967;0.843
transcript30_ENSAPOG00000023408;0.676;0.692;0.721;0.889;0.914;0.914;0.899;0.899;0.938;0.809;0.817;0.851;0.786;1.0;0.953;0.852;0.852;0.808;0.838;0.844;0.899;0.932;0.851;0.786;0.932
transcript40_ENSAPOG00000023408;0.632;0.649;0.677;0.845;0.869;0.869;0.855;0.855;0.894;0.765;0.774;0.807;0.742;0.953;1.0;0.808;0.808;0.844;0.794;0.8;0.855;0.889;0.807;0.742;0.889
transcript32_ENSAPOG00000016134;0.653;0.669;0.857;0.866;0.861;0.861;0.876;0.876;0.914;0.786;0.794;0.828;0.764;0.852;0.808;1.0;1.0;0.951;0.986;0.821;0.876;0.909;0.828;0.764;0.909
transcript32_ENSAPOG00000023408;0.653;0.669;0.857;0.866;0.861;0.861;0.876;0.876;0.914;0.786;0.794;0.828;0.764;0.852;0.808;1.0;1.0;0.951;0.986;0.821;0.876;0.909;0.828;0.764;0.909
transcript41_ENSAPOG00000023408;0.61;0.625;0.807;0.823;0.817;0.817;0.833;0.833;0.871;0.742;0.75;0.784;0.72;0.808;0.844;0.951;0.951;1.0;0.936;0.777;0.833;0.865;0.784;0.72;0.865
transcript43_ENSAPOG00000023408;0.66;0.677;0.843;0.852;0.847;0.847;0.862;0.862;0.9;0.772;0.78;0.814;0.75;0.838;0.794;0.986;0.986;0.936;1.0;0.832;0.862;0.895;0.814;0.75;0.895
transcript36_ENSAOCG00000015695;0.738;0.755;0.69;0.858;0.925;0.925;0.942;0.942;0.906;0.847;0.856;0.891;0.824;0.844;0.8;0.821;0.821;0.777;0.832;1.0;0.942;0.889;0.891;0.824;0.889
transcript25_ENSAOCG00000015695;0.722;0.738;0.746;0.913;0.983;0.983;1.0;1.0;0.962;0.905;0.914;0.95;0.882;0.899;0.855;0.876;0.876;0.833;0.862;0.942;1.0;0.943;0.95;0.882;0.943
transcript1_ENSAOCG00000015695;0.725;0.749;0.779;0.933;0.94;0.94;0.956;0.956;0.994;0.865;0.873;0.907;0.843;0.932;0.889;0.909;0.909;0.865;0.895;0.889;0.943;1.0;0.895;0.833;1.0
transcript37_ENSAOCG00000015695;0.759;0.776;0.697;0.96;0.933;0.933;0.95;0.95;0.913;0.855;0.962;1.0;0.9;0.851;0.807;0.828;0.828;0.784;0.814;0.891;0.95;0.895;1.0;0.928;0.895
transcript38_ENSAOCG00000015695;0.737;0.706;0.69;0.892;0.866;0.866;0.882;0.882;0.849;0.787;0.964;0.928;0.967;0.786;0.742;0.764;0.764;0.72;0.75;0.824;0.882;0.833;0.928;1.0;0.833
transcript22_ENSPNYG00000024266;0.725;0.749;0.779;0.933;0.94;0.94;0.956;0.956;0.994;0.865;0.873;0.907;0.843;0.932;0.889;0.909;0.909;0.865;0.895;0.889;0.943;1.0;0.895;0.833;1.0
