;transcript7_ENSMSIG00000000513;transcript50_ENSMSIG00000000513;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript59_MGP-SPRETEiJ-G0021131;transcript61_MGP-SPRETEiJ-G0021131;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript50_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript60_MGP-CAROLIEiJ-G0020234;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript57_MGP-PahariEiJ-G0020237
transcript69_MGP-SPRETEiJ-G0021131;0.632;0.62;0.626;0.61;0.59;0.626;0.967;0.978;0.978;0.978;1.0;0.967;0.957;0.957;0.755;0.764;0.62;0.593;0.574;0.583;0.811;0.811
transcript70_MGP-SPRETEiJ-G0021131;0.642;0.63;0.636;0.619;0.6;0.62;0.978;0.989;0.989;0.989;0.967;1.0;0.967;0.967;0.764;0.774;0.63;0.602;0.583;0.593;0.82;0.82
transcript71_MGP-SPRETEiJ-G0021131;0.632;0.62;0.626;0.61;0.59;0.611;0.967;0.978;0.978;0.978;0.957;0.967;1.0;0.957;0.755;0.764;0.636;0.607;0.589;0.598;0.811;0.811
transcript72_MGP-SPRETEiJ-G0021131;0.632;0.62;0.626;0.61;0.59;0.611;0.989;0.978;0.978;0.978;0.957;0.967;0.957;1.0;0.755;0.764;0.62;0.593;0.574;0.583;0.811;0.811
transcript7_ENSMUSG00000054036;0.627;0.645;0.636;0.606;0.602;0.636;0.764;0.774;0.774;0.774;0.755;0.764;0.755;0.755;1.0;0.99;0.676;0.679;0.676;0.67;0.865;0.865
transcript54_ENSMUSG00000054036;0.636;0.655;0.645;0.615;0.596;0.645;0.774;0.783;0.783;0.783;0.764;0.774;0.764;0.764;0.99;1.0;0.685;0.689;0.67;0.679;0.874;0.874
transcript50_MGP-CAROLIEiJ-G0020234;0.647;0.667;0.657;0.624;0.604;0.657;0.63;0.639;0.639;0.639;0.62;0.63;0.636;0.62;0.676;0.685;1.0;0.965;0.941;0.953;0.766;0.766
transcript59_MGP-CAROLIEiJ-G0020234;0.618;0.637;0.627;0.594;0.574;0.627;0.602;0.611;0.611;0.611;0.593;0.602;0.607;0.593;0.679;0.689;0.965;1.0;0.976;0.988;0.739;0.739
transcript60_MGP-CAROLIEiJ-G0020234;0.598;0.618;0.608;0.574;0.586;0.608;0.583;0.593;0.593;0.593;0.574;0.583;0.589;0.574;0.676;0.67;0.941;0.976;1.0;0.963;0.721;0.721
transcript61_MGP-CAROLIEiJ-G0020234;0.608;0.627;0.618;0.584;0.564;0.618;0.593;0.602;0.602;0.602;0.583;0.593;0.598;0.583;0.67;0.679;0.953;0.988;0.963;1.0;0.73;0.73
transcript50_MGP-PahariEiJ-G0020237;0.748;0.766;0.757;0.712;0.694;0.757;0.82;0.829;0.829;0.829;0.811;0.82;0.811;0.811;0.865;0.874;0.766;0.739;0.721;0.73;1.0;1.0
transcript57_MGP-PahariEiJ-G0020237;0.748;0.766;0.757;0.712;0.694;0.757;0.82;0.829;0.829;0.829;0.811;0.82;0.811;0.811;0.865;0.874;0.766;0.739;0.721;0.73;1.0;1.0
