;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENST00000531224_90_90;0.925;0.851;0.942;0.942;0.958;0.768;0.984;0.758;0.752;0.875;1.0;0.768;0.129;0.185;0.455;0.193;0.768;0.692;0.925;0.885;0.91;0.714;0.024;0.699;0.629
ENST00000532384_90_90;0.758;0.712;0.785;0.785;0.801;1.0;0.752;0.911;0.98;0.647;0.768;1.0;0.0;0.221;0.543;0.046;1.0;0.826;0.705;0.735;0.691;0.928;0.029;0.909;0.476
ENST00000533422_90_90;0.127;0.113;0.137;0.137;0.135;0.0;0.131;0.0;0.0;0.149;0.129;0.0;1.0;0.0;0.0;0.484;0.0;0.0;0.131;0.137;0.133;0.0;0.0;0.0;0.192
ENST00000533621_90_90;0.181;0.164;0.197;0.197;0.193;0.221;0.19;0.248;0.226;0.178;0.185;0.221;0.0;1.0;0.315;0.0;0.221;0.244;0.169;0.176;0.173;0.208;0.0;0.213;0.188
ENST00000534269_90_90;0.449;0.405;0.482;0.482;0.475;0.543;0.462;0.595;0.553;0.521;0.455;0.543;0.0;0.315;1.0;0.0;0.543;0.593;0.418;0.436;0.424;0.507;0.108;0.516;0.193
ENST00000534762_90_90;0.189;0.175;0.153;0.153;0.15;0.046;0.196;0.026;0.048;0.222;0.193;0.046;0.484;0.0;0.0;1.0;0.046;0.0;0.196;0.152;0.199;0.049;0.0;0.05;0.209
ENST00000628517_90_90;0.758;0.712;0.785;0.785;0.801;1.0;0.752;0.911;0.98;0.647;0.768;1.0;0.0;0.221;0.543;0.046;1.0;0.826;0.705;0.735;0.691;0.928;0.029;0.909;0.476
ENST00000640069_90_90;0.682;0.637;0.706;0.706;0.721;0.826;0.676;0.864;0.807;0.571;0.692;0.826;0.0;0.244;0.593;0.0;0.826;1.0;0.653;0.681;0.639;0.79;0.032;0.773;0.42
ENSMUST00000043881_90_90;0.911;0.839;0.869;0.869;0.885;0.705;0.91;0.692;0.691;0.803;0.925;0.705;0.131;0.169;0.418;0.196;0.705;0.653;1.0;0.958;0.984;0.749;0.025;0.733;0.692
ENSMUST00000092678_90_90;0.871;0.798;0.907;0.907;0.923;0.735;0.869;0.722;0.72;0.762;0.885;0.735;0.137;0.176;0.436;0.152;0.735;0.681;0.958;1.0;0.942;0.781;0.026;0.765;0.722
ENSMUST00000185800_90_90;0.897;0.824;0.882;0.882;0.869;0.691;0.923;0.676;0.699;0.788;0.91;0.691;0.133;0.173;0.424;0.199;0.691;0.639;0.984;0.942;1.0;0.733;0.025;0.744;0.705
ENSMUST00000186100_90_90;0.754;0.707;0.73;0.73;0.744;0.928;0.699;0.841;0.909;0.593;0.714;0.928;0.0;0.208;0.507;0.049;0.928;0.79;0.749;0.781;0.733;1.0;0.03;0.98;0.513
ENSMUST00000189158_90_90;0.024;0.025;0.026;0.026;0.025;0.029;0.025;0.032;0.03;0.028;0.024;0.029;0.0;0.0;0.108;0.0;0.029;0.032;0.025;0.026;0.025;0.03;1.0;0.031;0.035
ENSMUST00000190156_90_90;0.74;0.692;0.74;0.74;0.73;0.909;0.709;0.823;0.925;0.579;0.699;0.909;0.0;0.213;0.516;0.05;0.909;0.773;0.733;0.765;0.744;0.98;0.031;1.0;0.522
ENSMUST00000191438_90_90;0.619;0.581;0.667;0.667;0.656;0.476;0.639;0.455;0.483;0.506;0.629;0.476;0.192;0.188;0.193;0.209;0.476;0.42;0.692;0.722;0.705;0.513;0.035;0.522;1.0
