;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript20_ENSHGLG00100006079;0.994;0.994;0.994;0.994;0.994;0.994;0.54;0.954;0.774;1.0;1.0;1.0;1.0;0.774;0.825;0.602;0.739;0.741;0.571;0.697;0.58;0.581;0.571;0.617;0.453;0.56;0.768;0.768
transcript21_ENSHGLG00100006079;0.994;0.994;0.994;0.994;0.994;0.994;0.54;0.954;0.774;1.0;1.0;1.0;1.0;0.774;0.825;0.602;0.739;0.741;0.571;0.697;0.58;0.581;0.571;0.617;0.453;0.56;0.768;0.768
transcript22_ENSHGLG00100006079;0.994;0.994;0.994;0.994;0.994;0.994;0.54;0.954;0.774;1.0;1.0;1.0;1.0;0.774;0.825;0.602;0.739;0.741;0.571;0.697;0.58;0.581;0.571;0.617;0.453;0.56;0.768;0.768
transcript0_ENSMUNG00000002391;0.886;0.886;0.886;0.91;0.91;0.91;0.488;0.862;0.978;0.774;0.774;0.774;0.774;1.0;0.944;0.846;0.966;0.967;0.815;0.921;0.804;0.739;0.815;0.769;0.709;0.721;0.984;0.984
transcript21_ENSMUNG00000002391;0.953;0.953;0.953;0.963;0.963;0.963;0.52;0.913;0.923;0.825;0.825;0.825;0.825;0.944;1.0;0.79;0.911;0.912;0.76;0.866;0.77;0.782;0.76;0.815;0.654;0.764;0.93;0.93
transcript22_ENSMUNG00000002391;0.69;0.69;0.69;0.709;0.709;0.709;0.26;0.659;0.826;0.602;0.602;0.602;0.602;0.846;0.79;1.0;0.816;0.815;0.961;0.769;0.949;0.873;0.961;0.909;0.836;0.853;0.833;0.833
transcript8_ENSAPOG00000016134;0.844;0.844;0.844;0.871;0.871;0.871;0.449;0.823;0.967;0.739;0.739;0.739;0.739;0.966;0.911;0.816;1.0;0.999;0.846;0.952;0.832;0.747;0.846;0.777;0.737;0.729;0.974;0.974
transcript10_ENSAPOG00000016134;0.846;0.846;0.846;0.873;0.873;0.873;0.45;0.825;0.969;0.741;0.741;0.741;0.741;0.967;0.912;0.815;0.999;1.0;0.845;0.953;0.831;0.746;0.845;0.776;0.736;0.728;0.975;0.975
transcript12_ENSAPOG00000016134;0.653;0.653;0.653;0.674;0.674;0.674;0.225;0.624;0.817;0.571;0.571;0.571;0.571;0.815;0.76;0.961;0.846;0.845;1.0;0.798;0.984;0.883;1.0;0.919;0.872;0.862;0.824;0.824
transcript17_ENSAPOG00000016134;0.788;0.788;0.788;0.813;0.813;0.813;0.383;0.865;0.931;0.697;0.697;0.697;0.697;0.921;0.866;0.769;0.952;0.953;0.798;1.0;0.784;0.699;0.798;0.73;0.689;0.681;0.93;0.93
transcript20_ENSAPOG00000016134;0.664;0.664;0.664;0.683;0.683;0.683;0.228;0.632;0.804;0.58;0.58;0.58;0.58;0.804;0.77;0.949;0.832;0.831;0.984;0.784;1.0;0.897;0.984;0.934;0.856;0.876;0.811;0.811
transcript7_ENSAPOG00000023408;0.672;0.672;0.672;0.679;0.679;0.679;0.195;0.625;0.721;0.581;0.581;0.581;0.581;0.739;0.782;0.873;0.747;0.746;0.883;0.699;0.897;1.0;0.883;0.96;0.821;0.977;0.727;0.727
transcript12_ENSAPOG00000023408;0.653;0.653;0.653;0.674;0.674;0.674;0.225;0.624;0.817;0.571;0.571;0.571;0.571;0.815;0.76;0.961;0.846;0.845;1.0;0.798;0.984;0.883;1.0;0.919;0.872;0.862;0.824;0.824
transcript22_ENSAPOG00000023408;0.714;0.714;0.714;0.721;0.721;0.721;0.243;0.668;0.751;0.617;0.617;0.617;0.617;0.769;0.815;0.909;0.777;0.776;0.919;0.73;0.934;0.96;0.919;1.0;0.791;0.938;0.757;0.757
transcript23_ENSAPOG00000023408;0.519;0.519;0.519;0.536;0.536;0.536;0.068;0.483;0.711;0.453;0.453;0.453;0.453;0.709;0.654;0.836;0.737;0.736;0.872;0.689;0.856;0.821;0.872;0.791;1.0;0.799;0.718;0.718
transcript24_ENSAPOG00000023408;0.649;0.649;0.649;0.655;0.655;0.655;0.199;0.601;0.704;0.56;0.56;0.56;0.56;0.721;0.764;0.853;0.729;0.728;0.862;0.681;0.876;0.977;0.862;0.938;0.799;1.0;0.71;0.71
transcript0_ENSPNYG00000024266;0.877;0.877;0.877;0.905;0.905;0.905;0.487;0.858;0.993;0.768;0.768;0.768;0.768;0.984;0.93;0.833;0.974;0.975;0.824;0.93;0.811;0.727;0.824;0.757;0.718;0.71;1.0;1.0
transcript0_ENSXMAG00000026005;0.877;0.877;0.877;0.905;0.905;0.905;0.487;0.858;0.993;0.768;0.768;0.768;0.768;0.984;0.93;0.833;0.974;0.975;0.824;0.93;0.811;0.727;0.824;0.757;0.718;0.71;1.0;1.0
