;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENST00000465203_90_90;0.409;0.364;0.391;0.391;0.5;0.105;0.263;0.375;0.176;0.348;0.0;0.0;1.0;0.0;0.0;0.0;0.348;0.348;0.348;0.318;0.4;0.391;0.111;0.316;0.6
ENST00000466255_90_90;0.136;0.143;0.136;0.136;0.053;0.273;0.214;0.13;0.3;0.143;0.0;0.5;0.0;1.0;0.429;0.375;0.136;0.136;0.136;0.15;0.158;0.13;0.273;0.188;0.0
ENST00000494088_90_90;0.318;0.273;0.261;0.261;0.043;0.636;0.5;0.25;0.417;0.273;0.286;0.25;0.0;0.429;1.0;0.667;0.318;0.261;0.318;0.286;0.3;0.25;0.636;0.353;0.0
ENST00000495364_90_90;0.304;0.381;0.364;0.364;0.042;0.583;0.467;0.348;0.385;0.381;0.111;0.375;0.0;0.375;0.667;1.0;0.304;0.364;0.304;0.4;0.421;0.348;0.583;0.5;0.0
ENSMUST00000038522_90_90;0.957;0.913;0.792;0.792;0.682;0.5;0.591;0.833;0.364;0.826;0.091;0.136;0.348;0.136;0.318;0.304;1.0;0.84;1.0;0.833;0.72;0.88;0.478;0.667;0.25
ENSMUST00000090359_90_90;0.875;0.913;0.955;0.955;0.609;0.435;0.522;1.0;0.364;0.909;0.043;0.136;0.348;0.136;0.261;0.364;0.84;1.0;0.84;0.913;0.87;0.958;0.417;0.739;0.25
ENSMUST00000102956_90_90;0.957;0.913;0.792;0.792;0.682;0.5;0.591;0.833;0.364;0.826;0.091;0.136;0.348;0.136;0.318;0.304;1.0;0.84;1.0;0.833;0.72;0.88;0.478;0.667;0.25
ENSMUST00000112330_90_90;0.792;0.909;0.952;0.952;0.591;0.476;0.571;0.909;0.4;1.0;0.048;0.15;0.318;0.15;0.286;0.4;0.833;0.913;0.833;1.0;0.864;0.875;0.455;0.727;0.217
ENSMUST00000112331_90_90;0.792;0.826;0.905;0.905;0.478;0.5;0.6;0.864;0.421;0.857;0.05;0.158;0.4;0.158;0.3;0.421;0.72;0.87;0.72;0.864;1.0;0.833;0.476;0.762;0.286
ENSMUST00000139075_90_90;0.917;0.957;0.913;0.913;0.652;0.417;0.5;0.957;0.348;0.87;0.042;0.13;0.391;0.13;0.25;0.348;0.88;0.958;0.88;0.875;0.833;1.0;0.4;0.708;0.292
ENSMUST00000142679_90_90;0.478;0.435;0.455;0.455;0.182;1.0;0.714;0.435;0.583;0.476;0.182;0.273;0.111;0.273;0.636;0.583;0.478;0.417;0.478;0.455;0.476;0.4;1.0;0.556;0.059
ENSMUST00000145738_90_90;0.667;0.773;0.682;0.682;0.409;0.588;0.706;0.727;0.5;0.714;0.059;0.188;0.316;0.188;0.353;0.5;0.667;0.739;0.667;0.727;0.762;0.708;0.556;1.0;0.143
ENSMUST00000146438_90_90;0.304;0.261;0.273;0.273;0.375;0.059;0.053;0.261;0.0;0.227;0.0;0.0;0.6;0.0;0.0;0.0;0.25;0.25;0.25;0.217;0.286;0.292;0.059;0.143;1.0
