;transcript7_ENSMSIG00000000513;transcript26_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript41_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript22_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript33_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript36_ENSMUSG00000054036;0.463;0.468;0.456;0.456;0.534;0.468;0.534;0.463;0.964;0.917;0.73;1.0;0.948;0.979;0.979;0.902;0.834;0.902;0.875;0.885;0.812;0.916;0.916;0.916;0.943;0.773;0.852;0.727;0.727;0.852;0.852
transcript8_MGP-CAROLIEiJ-G0020234;0.395;0.4;0.414;0.414;0.492;0.4;0.492;0.395;0.93;0.867;0.746;0.948;1.0;0.968;0.968;0.889;0.881;0.889;0.775;0.842;0.729;0.881;0.881;0.881;0.893;0.795;0.763;0.691;0.691;0.763;0.763
transcript22_MGP-CAROLIEiJ-G0020234;0.421;0.426;0.446;0.446;0.524;0.426;0.524;0.421;0.961;0.898;0.724;0.979;0.968;1.0;1.0;0.922;0.853;0.922;0.801;0.874;0.755;0.912;0.912;0.912;0.924;0.77;0.789;0.673;0.673;0.789;0.789
transcript32_MGP-CAROLIEiJ-G0020234;0.421;0.426;0.446;0.446;0.524;0.426;0.524;0.421;0.961;0.898;0.724;0.979;0.968;1.0;1.0;0.922;0.853;0.922;0.801;0.874;0.755;0.912;0.912;0.912;0.924;0.77;0.789;0.673;0.673;0.789;0.789
transcript33_MGP-CAROLIEiJ-G0020234;0.357;0.362;0.484;0.484;0.446;0.362;0.446;0.364;0.885;0.974;0.724;0.902;0.889;0.922;0.922;1.0;0.775;1.0;0.737;0.796;0.692;0.837;0.837;0.837;0.847;0.695;0.727;0.611;0.611;0.727;0.727
transcript42_MGP-CAROLIEiJ-G0020234;0.302;0.307;0.299;0.299;0.378;0.307;0.378;0.302;0.819;0.753;0.839;0.834;0.881;0.853;0.853;0.775;1.0;0.775;0.68;0.729;0.638;0.77;0.77;0.77;0.779;0.898;0.673;0.761;0.761;0.673;0.673
transcript43_MGP-CAROLIEiJ-G0020234;0.357;0.362;0.484;0.484;0.446;0.362;0.446;0.364;0.885;0.974;0.724;0.902;0.889;0.922;0.922;1.0;0.775;1.0;0.737;0.796;0.692;0.837;0.837;0.837;0.847;0.695;0.727;0.611;0.611;0.727;0.727
transcript26_MGP-PahariEiJ-G0020237;0.665;0.669;0.34;0.34;0.501;0.669;0.501;0.665;0.828;0.761;0.831;0.875;0.775;0.801;0.801;0.737;0.68;0.737;1.0;0.72;0.949;0.795;0.768;0.768;0.768;0.647;1.0;0.893;0.893;1.0;1.0
transcript9_ENSRNOG00000031503;0.417;0.415;0.432;0.432;0.516;0.415;0.516;0.409;0.854;0.803;0.623;0.885;0.842;0.874;0.874;0.796;0.729;0.796;0.72;1.0;0.747;0.909;0.909;0.909;0.938;0.759;0.703;0.587;0.587;0.703;0.703
transcript18_ENSRNOG00000031503;0.642;0.647;0.332;0.332;0.495;0.647;0.495;0.642;0.796;0.709;0.776;0.812;0.729;0.755;0.755;0.692;0.638;0.692;0.949;0.747;1.0;0.842;0.821;0.821;0.796;0.698;0.948;0.845;0.845;0.948;0.948
transcript19_ENSRNOG00000031503;0.486;0.49;0.398;0.398;0.589;0.49;0.589;0.486;0.94;0.838;0.703;0.916;0.881;0.912;0.912;0.837;0.77;0.837;0.795;0.909;0.842;1.0;1.0;1.0;0.969;0.85;0.798;0.695;0.695;0.798;0.798
transcript21_ENSRNOG00000031503;0.418;0.423;0.442;0.442;0.521;0.423;0.521;0.418;0.94;0.838;0.703;0.916;0.881;0.912;0.912;0.837;0.77;0.837;0.768;0.909;0.821;1.0;1.0;1.0;0.969;0.85;0.773;0.657;0.657;0.773;0.773
transcript23_ENSRNOG00000031503;0.418;0.423;0.442;0.442;0.521;0.423;0.521;0.418;0.94;0.838;0.703;0.916;0.881;0.912;0.912;0.837;0.77;0.837;0.768;0.909;0.821;1.0;1.0;1.0;0.969;0.85;0.773;0.657;0.657;0.773;0.773
transcript32_ENSRNOG00000031503;0.425;0.43;0.451;0.451;0.532;0.43;0.532;0.425;0.911;0.861;0.678;0.943;0.893;0.924;0.924;0.847;0.779;0.847;0.768;0.938;0.796;0.969;0.969;0.969;1.0;0.819;0.749;0.633;0.633;0.749;0.749
transcript33_ENSRNOG00000031503;0.297;0.302;0.292;0.292;0.372;0.302;0.372;0.297;0.798;0.695;0.815;0.773;0.795;0.77;0.77;0.695;0.898;0.695;0.647;0.759;0.698;0.85;0.85;0.85;0.819;1.0;0.657;0.743;0.743;0.657;0.657
transcript18_ENSMUGG00000013592;0.651;0.655;0.334;0.334;0.49;0.655;0.49;0.651;0.834;0.746;0.836;0.852;0.763;0.789;0.789;0.727;0.673;0.727;1.0;0.703;0.948;0.798;0.773;0.773;0.749;0.657;1.0;0.897;0.897;1.0;1.0
transcript32_ENSMUGG00000013592;0.547;0.551;0.226;0.226;0.387;0.551;0.387;0.547;0.715;0.626;0.965;0.727;0.691;0.673;0.673;0.611;0.761;0.611;0.893;0.587;0.845;0.695;0.657;0.657;0.633;0.743;0.897;1.0;1.0;0.897;0.897
transcript33_ENSMUGG00000013592;0.547;0.551;0.226;0.226;0.387;0.551;0.387;0.547;0.715;0.626;0.965;0.727;0.691;0.673;0.673;0.611;0.761;0.611;0.893;0.587;0.845;0.695;0.657;0.657;0.633;0.743;0.897;1.0;1.0;0.897;0.897
transcript34_ENSMUGG00000013592;0.651;0.655;0.334;0.334;0.49;0.655;0.49;0.651;0.834;0.746;0.836;0.852;0.763;0.789;0.789;0.727;0.673;0.727;1.0;0.703;0.948;0.798;0.773;0.773;0.749;0.657;1.0;0.897;0.897;1.0;1.0
transcript35_ENSMUGG00000013592;0.651;0.655;0.334;0.334;0.49;0.655;0.49;0.651;0.834;0.746;0.836;0.852;0.763;0.789;0.789;0.727;0.673;0.727;1.0;0.703;0.948;0.798;0.773;0.773;0.749;0.657;1.0;0.897;0.897;1.0;1.0
