;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript23_ENSAPOG00000023408;0.154;0.154;0.743;0.743;0.719;0.719;0.169;0.169;0.169;0.169;1.0;1.0;0.633;0.633;0.75;0.75;0.901;0.738;0.799;0.66;0.867;0.867;0.799;0.731;0.789
transcript23_ENSPNYG00000024266;0.154;0.154;0.743;0.743;0.719;0.719;0.169;0.169;0.169;0.169;1.0;1.0;0.633;0.633;0.75;0.75;0.901;0.738;0.799;0.66;0.867;0.867;0.799;0.731;0.789
transcript28_ENSAPOG00000023408;0.255;0.255;0.776;0.776;0.617;0.617;0.161;0.161;0.161;0.161;0.633;0.633;1.0;1.0;0.509;0.509;0.704;0.581;0.835;0.693;0.756;0.756;0.835;0.766;0.75
transcript28_ENSAOCG00000015695;0.255;0.255;0.776;0.776;0.617;0.617;0.161;0.161;0.161;0.161;0.633;0.633;1.0;1.0;0.509;0.509;0.704;0.581;0.835;0.693;0.756;0.756;0.835;0.766;0.75
transcript29_ENSAPOG00000023408;0.185;0.185;0.627;0.627;0.583;0.583;0.206;0.206;0.206;0.206;0.75;0.75;0.509;0.509;1.0;1.0;0.752;0.873;0.674;0.607;0.732;0.732;0.674;0.606;0.659
transcript29_ENSAOCG00000015695;0.185;0.185;0.627;0.627;0.583;0.583;0.206;0.206;0.206;0.206;0.75;0.75;0.509;0.509;1.0;1.0;0.752;0.873;0.674;0.607;0.732;0.732;0.674;0.606;0.659
transcript30_ENSAPOG00000023408;0.154;0.154;0.744;0.744;0.72;0.72;0.169;0.169;0.169;0.169;0.901;0.901;0.704;0.704;0.752;0.752;1.0;0.74;0.8;0.661;0.869;0.869;0.8;0.732;0.716
transcript31_ENSAPOG00000023408;0.189;0.189;0.617;0.617;0.572;0.572;0.212;0.212;0.212;0.212;0.738;0.738;0.581;0.581;0.873;0.873;0.74;1.0;0.663;0.534;0.72;0.72;0.663;0.595;0.579
transcript17_ENSAOCG00000015695;0.216;0.216;0.93;0.93;0.782;0.782;0.138;0.138;0.138;0.138;0.799;0.799;0.835;0.835;0.674;0.674;0.8;0.663;1.0;0.848;0.921;0.921;1.0;0.932;0.915
transcript18_ENSAOCG00000015695;0.216;0.216;0.917;0.917;0.645;0.645;0.136;0.136;0.136;0.136;0.66;0.66;0.693;0.693;0.607;0.607;0.661;0.534;0.848;1.0;0.774;0.774;0.848;0.783;0.838
transcript26_ENSAOCG00000015695;0.138;0.138;0.857;0.857;0.704;0.704;0.149;0.149;0.149;0.149;0.867;0.867;0.756;0.756;0.732;0.732;0.869;0.72;0.921;0.774;1.0;1.0;0.921;0.853;0.837
transcript27_ENSAOCG00000015695;0.138;0.138;0.857;0.857;0.704;0.704;0.149;0.149;0.149;0.149;0.867;0.867;0.756;0.756;0.732;0.732;0.869;0.72;0.921;0.774;1.0;1.0;0.921;0.853;0.837
transcript12_ENSPNYG00000024266;0.216;0.216;0.93;0.93;0.782;0.782;0.138;0.138;0.138;0.138;0.799;0.799;0.835;0.835;0.674;0.674;0.8;0.663;1.0;0.848;0.921;0.921;1.0;0.932;0.915
transcript22_ENSPNYG00000024266;0.231;0.231;0.867;0.867;0.714;0.714;0.147;0.147;0.147;0.147;0.731;0.731;0.766;0.766;0.606;0.606;0.732;0.595;0.932;0.783;0.853;0.853;0.932;1.0;0.847
transcript24_ENSPNYG00000024266;0.232;0.232;0.852;0.852;0.698;0.698;0.147;0.147;0.147;0.147;0.789;0.789;0.75;0.75;0.659;0.659;0.716;0.579;0.915;0.838;0.837;0.837;0.915;0.847;1.0
