;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENST00000612035_90_90;0.581;0.231;0.157;0.246;0.116;0.065;0.065;0.065;0.214;0.708;1.0;1.0;1.0;0.674;0.951;0.708;0.072;0.953;0.673;0.065;0.493;0.483;0.02;0.487;0.467;0.214
ENST00000612116_90_90;0.581;0.231;0.157;0.246;0.116;0.065;0.065;0.065;0.214;0.708;1.0;1.0;1.0;0.674;0.951;0.708;0.072;0.953;0.673;0.065;0.493;0.483;0.02;0.487;0.467;0.214
ENST00000614600_90_90;0.581;0.231;0.157;0.246;0.116;0.065;0.065;0.065;0.214;0.708;1.0;1.0;1.0;0.674;0.951;0.708;0.072;0.953;0.673;0.065;0.493;0.483;0.02;0.487;0.467;0.214
ENST00000616681_90_90;0.808;0.178;0.115;0.141;0.085;0.049;0.049;0.049;0.118;0.966;0.674;0.674;0.674;1.0;0.639;0.966;0.053;0.697;0.932;0.049;0.488;0.479;0.015;0.49;0.5;0.128
ENST00000616784_90_90;0.551;0.242;0.162;0.26;0.123;0.068;0.068;0.068;0.225;0.673;0.951;0.951;0.951;0.639;1.0;0.673;0.076;0.904;0.697;0.068;0.472;0.462;0.021;0.467;0.446;0.223
ENST00000618940_90_90;0.838;0.174;0.112;0.174;0.083;0.047;0.047;0.047;0.151;1.0;0.708;0.708;0.708;0.966;0.673;1.0;0.052;0.674;0.966;0.047;0.511;0.502;0.015;0.512;0.488;0.159
ENST00000620039_90_90;0.026;0.0;0.0;0.281;0.543;0.471;0.471;0.471;0.321;0.052;0.072;0.072;0.072;0.053;0.076;0.052;1.0;0.075;0.053;0.471;0.018;0.018;0.165;0.017;0.018;0.082
ENST00000621668_90_90;0.55;0.24;0.165;0.199;0.122;0.068;0.068;0.068;0.166;0.674;0.953;0.953;0.953;0.697;0.904;0.674;0.075;1.0;0.639;0.068;0.467;0.457;0.021;0.461;0.481;0.172
ENST00000621914_90_90;0.809;0.18;0.114;0.18;0.085;0.049;0.049;0.049;0.157;0.966;0.673;0.673;0.673;0.932;0.697;0.966;0.053;0.639;1.0;0.049;0.492;0.483;0.016;0.494;0.47;0.163
ENST00000628168_90_90;0.063;0.0;0.0;0.215;0.35;1.0;1.0;1.0;0.238;0.047;0.065;0.065;0.065;0.049;0.068;0.047;0.471;0.068;0.049;1.0;0.044;0.045;0.335;0.042;0.045;0.176
ENSMUST00000018875_90_90;0.594;0.225;0.099;0.097;0.034;0.044;0.044;0.044;0.081;0.511;0.493;0.493;0.493;0.488;0.472;0.511;0.018;0.467;0.492;0.044;1.0;0.978;0.079;0.941;0.973;0.209
ENSMUST00000065692_90_90;0.586;0.213;0.1;0.1;0.035;0.045;0.045;0.045;0.083;0.502;0.483;0.483;0.483;0.479;0.462;0.502;0.018;0.457;0.483;0.045;0.978;1.0;0.081;0.92;0.952;0.213
ENSMUST00000142680_90_90;0.114;0.0;0.0;0.056;0.083;0.335;0.335;0.335;0.061;0.015;0.02;0.02;0.02;0.015;0.021;0.015;0.165;0.021;0.016;0.335;0.079;0.081;1.0;0.076;0.081;0.378
ENSMUST00000176430_90_90;0.594;0.219;0.099;0.096;0.034;0.042;0.042;0.042;0.08;0.512;0.487;0.487;0.487;0.49;0.467;0.512;0.017;0.461;0.494;0.042;0.941;0.92;0.076;1.0;0.915;0.205
ENSMUST00000176523_90_90;0.571;0.231;0.102;0.071;0.035;0.045;0.045;0.045;0.055;0.488;0.467;0.467;0.467;0.5;0.446;0.488;0.018;0.481;0.47;0.045;0.973;0.952;0.081;0.915;1.0;0.182
ENSMUST00000176944_90_90;0.276;0.0;0.0;0.419;0.146;0.176;0.176;0.176;0.35;0.159;0.214;0.214;0.214;0.128;0.223;0.159;0.082;0.172;0.163;0.176;0.209;0.213;0.378;0.205;0.182;1.0
