;transcript19_ENSAPOG00000016134;transcript22_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript19_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript26_ENSAOCG00000015695;0.792;0.642;0.439;0.491;0.792;0.642;0.589;0.641;0.792;0.792;1.0;0.822;0.746;0.899;0.792;0.589;0.631;0.728;0.548;0.797;0.792;0.792;0.434;0.548
transcript27_ENSAOCG00000015695;0.642;0.763;0.514;0.587;0.642;0.763;0.439;0.491;0.642;0.642;0.822;1.0;0.569;0.72;0.642;0.439;0.481;0.688;0.434;0.647;0.642;0.642;0.502;0.434
transcript28_ENSAOCG00000015695;0.589;0.439;0.548;0.287;0.589;0.439;0.744;0.438;0.589;0.589;0.746;0.569;1.0;0.831;0.589;0.744;0.427;0.526;0.404;0.593;0.589;0.589;0.29;0.404
transcript29_ENSAOCG00000015695;0.709;0.559;0.477;0.407;0.709;0.559;0.645;0.558;0.709;0.709;0.899;0.72;0.831;1.0;0.709;0.645;0.547;0.645;0.486;0.714;0.709;0.709;0.372;0.486
transcript12_ENSPNYG00000024266;1.0;0.849;0.647;0.699;1.0;0.849;0.796;0.849;1.0;1.0;0.792;0.642;0.589;0.709;1.0;0.796;0.839;0.936;0.679;0.667;1.0;1.0;0.565;0.679
transcript14_ENSPNYG00000024266;0.796;0.647;0.803;0.495;0.796;0.647;1.0;0.645;0.796;0.796;0.589;0.439;0.744;0.645;0.796;1.0;0.635;0.733;0.535;0.495;0.796;0.796;0.421;0.535
transcript21_ENSPNYG00000024266;0.839;0.688;0.484;0.537;0.839;0.688;0.635;0.687;0.839;0.839;0.631;0.481;0.427;0.547;0.839;0.635;1.0;0.775;0.574;0.534;0.839;0.839;0.46;0.574
transcript22_ENSPNYG00000024266;0.936;0.904;0.682;0.744;0.936;0.904;0.733;0.785;0.936;0.936;0.728;0.688;0.526;0.645;0.936;0.733;0.775;1.0;0.629;0.611;0.936;0.936;0.599;0.629
transcript3_ENSXMAG00000026005;0.679;0.565;0.421;0.466;0.679;0.565;0.535;0.58;0.679;0.679;0.548;0.434;0.404;0.486;0.679;0.535;0.574;0.629;1.0;0.675;0.679;0.679;0.886;1.0
transcript10_ENSXMAG00000026005;0.667;0.536;0.364;0.41;0.667;0.536;0.495;0.542;0.667;0.667;0.797;0.647;0.593;0.714;0.667;0.495;0.534;0.611;0.675;1.0;0.667;0.667;0.561;0.675
transcript11_ENSXMAG00000026005;1.0;0.849;0.647;0.699;1.0;0.849;0.796;0.849;1.0;1.0;0.792;0.642;0.589;0.709;1.0;0.796;0.839;0.936;0.679;0.667;1.0;1.0;0.565;0.679
transcript12_ENSXMAG00000026005;1.0;0.849;0.647;0.699;1.0;0.849;0.796;0.849;1.0;1.0;0.792;0.642;0.589;0.709;1.0;0.796;0.839;0.936;0.679;0.667;1.0;1.0;0.565;0.679
transcript16_ENSXMAG00000026005;0.565;0.648;0.478;0.534;0.565;0.648;0.421;0.466;0.565;0.565;0.434;0.502;0.29;0.372;0.565;0.421;0.46;0.599;0.886;0.561;0.565;0.565;1.0;0.886
transcript17_ENSXMAG00000026005;0.679;0.565;0.421;0.466;0.679;0.565;0.535;0.58;0.679;0.679;0.548;0.434;0.404;0.486;0.679;0.535;0.574;0.629;1.0;0.675;0.679;0.679;0.886;1.0
