;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript32_ENSAPOG00000023408;0.843;0.843;0.843;0.887;0.887;0.822;0.596;0.596;0.385;0.385;1.0;0.972;0.843;0.843;0.843;0.553;0.574;0.89;0.847;0.471;0.824;0.843;0.485;0.471
transcript33_ENSAPOG00000023408;0.82;0.82;0.82;0.862;0.862;0.798;0.611;0.568;0.395;0.395;0.972;1.0;0.82;0.82;0.82;0.53;0.55;0.863;0.82;0.458;0.8;0.82;0.472;0.458
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.82;1.0;1.0;1.0;0.71;0.668;0.839;0.798;0.559;0.98;1.0;0.575;0.559
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.82;1.0;1.0;1.0;0.71;0.668;0.839;0.798;0.559;0.98;1.0;0.575;0.559
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.82;1.0;1.0;1.0;0.71;0.668;0.839;0.798;0.559;0.98;1.0;0.575;0.559
transcript26_ENSAOCG00000015695;0.71;0.71;0.71;0.659;0.659;0.659;0.506;0.708;0.456;0.458;0.553;0.53;0.71;0.71;0.71;1.0;0.942;0.549;0.545;0.396;0.72;0.71;0.408;0.396
transcript29_ENSAOCG00000015695;0.668;0.668;0.668;0.618;0.618;0.618;0.53;0.752;0.485;0.486;0.574;0.55;0.668;0.668;0.668;0.942;1.0;0.508;0.502;0.373;0.678;0.668;0.384;0.373
transcript14_ENSPNYG00000024266;0.839;0.839;0.839;0.879;0.879;0.884;0.566;0.596;0.385;0.385;0.89;0.863;0.839;0.839;0.839;0.549;0.508;1.0;0.946;0.469;0.82;0.839;0.483;0.469
transcript21_ENSPNYG00000024266;0.798;0.798;0.798;0.839;0.839;0.84;0.539;0.594;0.377;0.377;0.847;0.82;0.798;0.798;0.798;0.545;0.502;0.946;1.0;0.446;0.778;0.798;0.459;0.446
transcript3_ENSXMAG00000026005;0.559;0.559;0.559;0.53;0.53;0.53;0.281;0.281;0.181;0.181;0.471;0.458;0.559;0.559;0.559;0.396;0.373;0.469;0.446;1.0;0.548;0.559;0.972;1.0
transcript10_ENSXMAG00000026005;0.98;0.98;0.98;0.93;0.93;0.93;0.505;0.509;0.329;0.329;0.824;0.8;0.98;0.98;0.98;0.72;0.678;0.82;0.778;0.548;1.0;0.98;0.564;0.548
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.82;1.0;1.0;1.0;0.71;0.668;0.839;0.798;0.559;0.98;1.0;0.575;0.559
transcript16_ENSXMAG00000026005;0.575;0.575;0.575;0.546;0.546;0.546;0.289;0.289;0.187;0.187;0.485;0.472;0.575;0.575;0.575;0.408;0.384;0.483;0.459;0.972;0.564;0.575;1.0;0.972
transcript17_ENSXMAG00000026005;0.559;0.559;0.559;0.53;0.53;0.53;0.281;0.281;0.181;0.181;0.471;0.458;0.559;0.559;0.559;0.396;0.373;0.469;0.446;1.0;0.548;0.559;0.972;1.0
