;ENSCAFT00000030055_90_90;ENST00000345434_90_90;ENST00000370674_90_90;ENST00000370676_90_90;ENST00000370683_90_90;ENST00000370690_90_90;ENST00000394153_90_90;ENST00000394155_90_90;ENST00000420362_90_90;ENST00000434885_90_90;ENST00000449474_90_90;ENST00000452016_90_90;ENST00000456445_90_90;ENST00000458357_90_90;ENST00000535737_90_90;ENST00000539015_90_90;ENST00000543669_90_90;ENST00000618438_90_90;ENST00000625935_90_90;ENST00000627383_90_90;ENST00000627578_90_90;ENST00000627812_90_90;ENST00000628032_90_90;ENST00000628443_90_90;ENST00000628568_90_90;ENST00000628919_90_90;ENST00000629039_90_90;ENST00000630084_90_90;ENST00000630278_90_90;ENSMUST00000023854_90_90;ENSMUST00000114768_90_90;ENSMUST00000114769_90_90;ENSMUST00000114772_90_90;ENSMUST00000114773_90_90;ENSMUST00000116596_90_90;ENSMUST00000144600_90_90;ENSMUST00000151033_90_90;ENSMUST00000155882_90_90
ENST00000449474_90_90;0.308;0.381;0.4;0.444;0.32;0.381;0.381;0.381;0.571;0.5;1.0;0.5;0.533;0.727;0.381;0.348;0.381;0.571;0.125;0.875;0.8;0.25;0.615;0.889;0.381;0.75;0.381;0.381;0.5;0.381;0.5;0.381;0.348;0.348;0.381;0.421;0.625;0.375
ENST00000452016_90_90;0.615;0.762;0.8;0.545;0.64;0.762;0.762;0.762;0.875;1.0;0.5;1.0;0.938;0.688;0.762;0.696;0.762;0.667;0.062;0.438;0.625;0.125;0.812;0.562;0.762;0.375;0.762;0.762;0.25;0.762;0.6;0.762;0.696;0.696;0.762;0.842;0.312;0.188
ENST00000456445_90_90;0.577;0.714;0.75;0.571;0.6;0.714;0.714;0.714;0.933;0.938;0.533;0.938;1.0;0.733;0.714;0.652;0.714;0.706;0.067;0.467;0.667;0.133;0.867;0.6;0.714;0.4;0.714;0.714;0.267;0.714;0.632;0.714;0.652;0.652;0.714;0.789;0.333;0.2
ENST00000458357_90_90;0.423;0.524;0.55;0.611;0.44;0.524;0.524;0.524;0.786;0.688;0.727;0.688;0.733;1.0;0.524;0.478;0.524;0.786;0.091;0.636;0.909;0.182;0.846;0.818;0.524;0.545;0.524;0.524;0.364;0.524;0.688;0.524;0.478;0.478;0.524;0.579;0.455;0.273
ENST00000535737_90_90;0.741;0.826;0.952;0.56;0.84;1.0;1.0;0.826;0.667;0.762;0.381;0.762;0.714;0.524;1.0;0.913;1.0;0.667;0.048;0.333;0.476;0.095;0.619;0.429;1.0;0.286;1.0;1.0;0.19;1.0;0.609;0.826;0.913;0.913;1.0;0.739;0.238;0.143
ENST00000539015_90_90;0.75;0.76;0.87;0.577;0.846;0.913;0.913;0.76;0.609;0.696;0.348;0.696;0.652;0.478;0.913;1.0;0.913;0.609;0.043;0.304;0.435;0.087;0.565;0.391;0.913;0.261;0.913;0.913;0.174;0.913;0.625;0.76;0.917;1.0;0.913;0.68;0.217;0.13
ENST00000543669_90_90;0.741;0.826;0.952;0.56;0.84;1.0;1.0;0.826;0.667;0.762;0.381;0.762;0.714;0.524;1.0;0.913;1.0;0.667;0.048;0.333;0.476;0.095;0.619;0.429;1.0;0.286;1.0;1.0;0.19;1.0;0.609;0.826;0.913;0.913;1.0;0.739;0.238;0.143
ENST00000618438_90_90;0.481;0.667;0.7;0.778;0.56;0.667;0.667;0.667;0.75;0.667;0.571;0.667;0.706;0.786;0.667;0.609;0.667;1.0;0.071;0.5;0.714;0.143;0.8;0.643;0.667;0.429;0.667;0.667;0.286;0.667;0.875;0.667;0.609;0.609;0.667;0.571;0.357;0.214
ENST00000625935_90_90;0.038;0.048;0.05;0.056;0.04;0.048;0.048;0.048;0.071;0.062;0.125;0.062;0.067;0.091;0.048;0.043;0.048;0.071;1.0;0.143;0.1;0.5;0.077;0.111;0.048;0.167;0.048;0.048;0.25;0.048;0.062;0.048;0.043;0.043;0.048;0.053;0.2;0.333
ENST00000627383_90_90;0.269;0.333;0.35;0.389;0.28;0.333;0.333;0.333;0.5;0.438;0.875;0.438;0.467;0.636;0.333;0.304;0.333;0.5;0.143;1.0;0.7;0.286;0.538;0.778;0.333;0.857;0.333;0.333;0.571;0.333;0.438;0.333;0.304;0.304;0.333;0.368;0.714;0.429
ENST00000627578_90_90;0.385;0.476;0.5;0.556;0.4;0.476;0.476;0.476;0.714;0.625;0.8;0.625;0.667;0.909;0.476;0.435;0.476;0.714;0.1;0.7;1.0;0.2;0.769;0.9;0.476;0.6;0.476;0.476;0.4;0.476;0.625;0.476;0.435;0.435;0.476;0.526;0.5;0.3
ENST00000627812_90_90;0.077;0.095;0.1;0.111;0.08;0.095;0.095;0.095;0.143;0.125;0.25;0.125;0.133;0.182;0.095;0.087;0.095;0.143;0.5;0.286;0.2;1.0;0.154;0.222;0.095;0.333;0.095;0.095;0.5;0.095;0.125;0.095;0.087;0.087;0.095;0.105;0.4;0.667
ENST00000628032_90_90;0.5;0.619;0.65;0.632;0.52;0.619;0.619;0.619;0.929;0.812;0.615;0.812;0.867;0.846;0.619;0.565;0.619;0.8;0.077;0.538;0.769;0.154;1.0;0.692;0.619;0.462;0.619;0.619;0.308;0.619;0.706;0.619;0.565;0.565;0.619;0.684;0.385;0.231
ENST00000628443_90_90;0.346;0.429;0.45;0.5;0.36;0.429;0.429;0.429;0.643;0.562;0.889;0.562;0.6;0.818;0.429;0.391;0.429;0.643;0.111;0.778;0.9;0.222;0.692;1.0;0.429;0.667;0.429;0.429;0.444;0.429;0.562;0.429;0.391;0.391;0.429;0.474;0.556;0.333
ENST00000628568_90_90;0.741;0.826;0.952;0.56;0.84;1.0;1.0;0.826;0.667;0.762;0.381;0.762;0.714;0.524;1.0;0.913;1.0;0.667;0.048;0.333;0.476;0.095;0.619;0.429;1.0;0.286;1.0;1.0;0.19;1.0;0.609;0.826;0.913;0.913;1.0;0.739;0.238;0.143
ENST00000628919_90_90;0.231;0.286;0.3;0.333;0.24;0.286;0.286;0.286;0.429;0.375;0.75;0.375;0.4;0.545;0.286;0.261;0.286;0.429;0.167;0.857;0.6;0.333;0.462;0.667;0.286;1.0;0.286;0.286;0.667;0.286;0.375;0.286;0.261;0.261;0.286;0.316;0.833;0.5
ENST00000629039_90_90;0.741;0.826;0.952;0.56;0.84;1.0;1.0;0.826;0.667;0.762;0.381;0.762;0.714;0.524;1.0;0.913;1.0;0.667;0.048;0.333;0.476;0.095;0.619;0.429;1.0;0.286;1.0;1.0;0.19;1.0;0.609;0.826;0.913;0.913;1.0;0.739;0.238;0.143
ENST00000630084_90_90;0.741;0.826;0.952;0.56;0.84;1.0;1.0;0.826;0.667;0.762;0.381;0.762;0.714;0.524;1.0;0.913;1.0;0.667;0.048;0.333;0.476;0.095;0.619;0.429;1.0;0.286;1.0;1.0;0.19;1.0;0.609;0.826;0.913;0.913;1.0;0.739;0.238;0.143
ENST00000630278_90_90;0.154;0.19;0.2;0.222;0.16;0.19;0.19;0.19;0.286;0.25;0.5;0.25;0.267;0.364;0.19;0.174;0.19;0.286;0.25;0.571;0.4;0.5;0.308;0.444;0.19;0.667;0.19;0.19;1.0;0.19;0.25;0.19;0.174;0.174;0.19;0.211;0.8;0.75
ENSMUST00000023854_90_90;0.741;0.826;0.952;0.56;0.84;1.0;1.0;0.826;0.667;0.762;0.381;0.762;0.714;0.524;1.0;0.913;1.0;0.667;0.048;0.333;0.476;0.095;0.619;0.429;1.0;0.286;1.0;1.0;0.19;1.0;0.609;0.826;0.913;0.913;1.0;0.739;0.238;0.143
ENSMUST00000114768_90_90;0.5;0.609;0.636;0.789;0.577;0.609;0.609;0.609;0.667;0.6;0.5;0.6;0.632;0.688;0.609;0.625;0.609;0.875;0.062;0.438;0.625;0.125;0.706;0.562;0.609;0.375;0.609;0.609;0.25;0.609;1.0;0.609;0.696;0.625;0.609;0.522;0.312;0.188
ENSMUST00000114769_90_90;0.621;0.909;0.864;0.56;0.704;0.826;0.826;0.909;0.667;0.762;0.381;0.762;0.714;0.524;0.826;0.76;0.826;0.667;0.048;0.333;0.476;0.095;0.619;0.429;0.826;0.286;0.826;0.826;0.19;0.826;0.609;1.0;0.76;0.76;0.826;0.739;0.238;0.143
ENSMUST00000114772_90_90;0.75;0.76;0.87;0.577;0.846;0.913;0.913;0.76;0.609;0.696;0.348;0.696;0.652;0.478;0.913;0.917;0.913;0.609;0.043;0.304;0.435;0.087;0.565;0.391;0.913;0.261;0.913;0.913;0.174;0.913;0.696;0.76;1.0;0.917;0.913;0.68;0.217;0.13
ENSMUST00000114773_90_90;0.75;0.76;0.87;0.577;0.846;0.913;0.913;0.76;0.609;0.696;0.348;0.696;0.652;0.478;0.913;1.0;0.913;0.609;0.043;0.304;0.435;0.087;0.565;0.391;0.913;0.261;0.913;0.913;0.174;0.913;0.625;0.76;0.917;1.0;0.913;0.68;0.217;0.13
ENSMUST00000116596_90_90;0.741;0.826;0.952;0.56;0.84;1.0;1.0;0.826;0.667;0.762;0.381;0.762;0.714;0.524;1.0;0.913;1.0;0.667;0.048;0.333;0.476;0.095;0.619;0.429;1.0;0.286;1.0;1.0;0.19;1.0;0.609;0.826;0.913;0.913;1.0;0.739;0.238;0.143
ENSMUST00000144600_90_90;0.667;0.818;0.773;0.48;0.63;0.739;0.739;0.818;0.737;0.842;0.421;0.842;0.789;0.579;0.739;0.68;0.739;0.571;0.053;0.368;0.526;0.105;0.684;0.474;0.739;0.316;0.739;0.739;0.211;0.739;0.522;0.739;0.68;0.68;0.739;1.0;0.263;0.158
ENSMUST00000151033_90_90;0.192;0.238;0.25;0.278;0.2;0.238;0.238;0.238;0.357;0.312;0.625;0.312;0.333;0.455;0.238;0.217;0.238;0.357;0.2;0.714;0.5;0.4;0.385;0.556;0.238;0.833;0.238;0.238;0.8;0.238;0.312;0.238;0.217;0.217;0.238;0.263;1.0;0.6
ENSMUST00000155882_90_90;0.115;0.143;0.15;0.167;0.12;0.143;0.143;0.143;0.214;0.188;0.375;0.188;0.2;0.273;0.143;0.13;0.143;0.214;0.333;0.429;0.3;0.667;0.231;0.333;0.143;0.5;0.143;0.143;0.75;0.143;0.188;0.143;0.13;0.13;0.143;0.158;0.6;1.0
