;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript23_ENSAPOG00000023408;0.364;0.538;0.78;0.78;0.741;0.771;0.276;0.326;0.437;0.686;1.0;1.0;0.731;0.732;0.864;0.977;0.987;0.835;0.829;0.757;0.901;0.901;0.829;0.793;0.835
transcript23_ENSPNYG00000024266;0.427;0.686;0.948;0.948;0.822;0.859;0.276;0.326;0.437;0.686;1.0;1.0;0.846;0.849;0.869;0.983;0.992;0.84;0.96;0.92;0.96;0.96;0.96;0.923;0.964
transcript28_ENSAPOG00000023408;0.518;0.728;0.849;0.849;0.684;0.731;0.251;0.29;0.408;0.519;0.731;0.846;1.0;1.0;0.611;0.675;0.741;0.638;0.902;0.826;0.822;0.822;0.902;0.868;0.897
transcript28_ENSAOCG00000015695;0.518;0.728;0.842;0.842;0.686;0.733;0.251;0.29;0.408;0.519;0.732;0.849;1.0;1.0;0.612;0.677;0.741;0.64;0.904;0.819;0.824;0.824;0.904;0.871;0.899
transcript29_ENSAPOG00000023408;0.367;0.541;0.673;0.673;0.599;0.626;0.314;0.325;0.535;0.692;0.864;0.869;0.611;0.612;1.0;1.0;0.871;0.947;0.719;0.659;0.788;0.788;0.719;0.676;0.718
transcript29_ENSAOCG00000015695;0.367;0.541;0.73;0.73;0.676;0.711;0.314;0.325;0.535;0.692;0.977;0.983;0.675;0.677;1.0;1.0;0.986;0.947;0.795;0.716;0.88;0.88;0.795;0.75;0.795
transcript30_ENSAPOG00000023408;0.364;0.532;0.785;0.785;0.747;0.777;0.274;0.322;0.436;0.676;0.987;0.992;0.741;0.741;0.871;0.986;1.0;0.842;0.834;0.762;0.907;0.907;0.834;0.799;0.828
transcript31_ENSAPOG00000023408;0.377;0.532;0.651;0.651;0.571;0.597;0.324;0.337;0.535;0.676;0.835;0.84;0.638;0.64;0.947;0.947;0.842;1.0;0.695;0.626;0.762;0.762;0.695;0.652;0.687
transcript17_ENSAOCG00000015695;0.464;0.691;0.931;0.931;0.793;0.847;0.223;0.255;0.406;0.492;0.829;0.96;0.902;0.904;0.719;0.795;0.834;0.695;1.0;0.909;0.92;0.92;1.0;0.969;0.996
transcript18_ENSAOCG00000015695;0.44;0.615;0.977;0.977;0.727;0.807;0.214;0.239;0.397;0.439;0.757;0.92;0.826;0.819;0.659;0.716;0.762;0.626;0.909;1.0;0.834;0.834;0.965;0.934;0.968
transcript26_ENSAOCG00000015695;0.331;0.492;0.857;0.857;0.705;0.752;0.245;0.284;0.406;0.614;0.901;0.96;0.822;0.824;0.788;0.88;0.907;0.762;0.92;0.834;1.0;1.0;0.92;0.887;0.915
transcript27_ENSAOCG00000015695;0.331;0.492;0.857;0.857;0.705;0.752;0.245;0.284;0.406;0.614;0.901;0.96;0.822;0.824;0.788;0.88;0.907;0.762;0.92;0.834;1.0;1.0;0.92;0.887;0.915
transcript12_ENSPNYG00000024266;0.464;0.691;0.989;0.989;0.793;0.847;0.223;0.255;0.406;0.492;0.829;0.96;0.902;0.904;0.719;0.795;0.834;0.695;1.0;0.965;0.92;0.92;1.0;0.969;0.996
transcript22_ENSPNYG00000024266;0.486;0.745;0.959;0.959;0.752;0.805;0.239;0.276;0.432;0.532;0.793;0.923;0.868;0.871;0.676;0.75;0.799;0.652;0.969;0.934;0.887;0.887;0.969;1.0;0.965
transcript24_ENSPNYG00000024266;0.467;0.71;0.985;0.985;0.786;0.84;0.227;0.26;0.409;0.506;0.835;0.964;0.897;0.899;0.718;0.795;0.828;0.687;0.996;0.968;0.915;0.915;0.996;0.965;1.0
