;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript42_ENSCGRG00000018457;0.716;1.0;0.716;0.716;0.351;0.315;0.166;0.978;0.9;0.978;0.957;0.978;0.978;1.0;0.976;0.965;0.99;0.922;0.922;0.954;0.91;0.968;0.887;0.888;0.968;0.893;0.968
transcript43_ENSCGRG00000018457;0.716;1.0;0.716;0.716;0.357;0.315;0.168;0.957;0.879;0.957;0.933;0.957;0.957;0.976;1.0;0.95;0.976;0.899;0.899;0.932;0.883;0.946;0.86;0.861;0.946;0.871;0.946
transcript7_ENSCGRG00001010245;0.716;1.0;0.716;0.716;0.359;0.315;0.169;0.963;0.986;0.963;0.95;0.963;0.963;0.965;0.95;1.0;0.976;0.912;0.912;0.948;0.875;0.951;0.849;0.851;0.951;0.871;0.951
transcript29_ENSCGRG00001010245;0.716;1.0;0.716;0.716;0.351;0.315;0.166;0.987;0.907;0.987;0.964;0.987;0.987;0.99;0.976;0.976;1.0;0.929;0.929;0.963;0.919;0.976;0.895;0.896;0.976;0.9;0.976
transcript15_ENSPEMG00000024651;0.716;0.97;0.716;0.716;0.347;0.319;0.165;0.942;0.879;0.942;0.952;0.942;0.942;0.922;0.899;0.912;0.929;1.0;1.0;0.948;0.916;0.952;0.89;0.886;0.952;0.882;0.952
transcript24_ENSPEMG00000024651;0.716;0.97;0.716;0.716;0.347;0.319;0.165;0.942;0.879;0.942;0.952;0.942;0.942;0.922;0.899;0.912;0.929;1.0;1.0;0.948;0.916;0.952;0.89;0.886;0.952;0.882;0.952
transcript31_ENSPEMG00000024651;0.708;0.97;0.708;0.708;0.345;0.312;0.165;0.969;0.906;0.969;0.997;0.969;0.969;0.954;0.932;0.948;0.963;0.948;0.948;1.0;0.906;0.947;0.881;0.884;0.947;0.877;0.947
transcript5_ENSNGAG00000018584;0.689;0.914;0.689;0.689;0.315;0.302;0.147;0.939;0.848;0.939;0.91;0.939;0.939;0.91;0.883;0.875;0.919;0.916;0.916;0.906;1.0;0.946;0.976;0.972;0.946;0.881;0.946
transcript5_ENSSTOG00000019743;0.716;1.0;0.716;0.716;0.339;0.315;0.159;0.99;0.911;0.99;0.95;0.99;0.99;0.968;0.946;0.951;0.976;0.952;0.952;0.947;0.946;1.0;0.923;0.919;1.0;0.925;1.0
transcript17_ENSNGAG00000018584;0.624;0.806;0.624;0.624;0.28;0.233;0.107;0.915;0.825;0.915;0.885;0.915;0.915;0.887;0.86;0.849;0.895;0.89;0.89;0.881;0.976;0.923;1.0;0.996;0.923;0.858;0.923
transcript20_ENSNGAG00000018584;0.624;0.806;0.624;0.624;0.28;0.233;0.108;0.916;0.825;0.916;0.888;0.916;0.916;0.888;0.861;0.851;0.896;0.886;0.886;0.884;0.972;0.919;0.996;1.0;0.919;0.855;0.919
transcript12_ENSSTOG00000019743;0.716;1.0;0.716;0.716;0.339;0.315;0.159;0.99;0.911;0.99;0.95;0.99;0.99;0.968;0.946;0.951;0.976;0.952;0.952;0.947;0.946;1.0;0.923;0.919;1.0;0.925;1.0
transcript13_ENSSTOG00000019743;0.507;0.704;0.507;0.507;0.24;0.085;0.046;0.913;0.836;0.913;0.879;0.913;0.913;0.893;0.871;0.871;0.9;0.882;0.882;0.877;0.881;0.925;0.858;0.855;0.925;1.0;0.925
transcript14_ENSSTOG00000019743;0.716;1.0;0.716;0.716;0.339;0.315;0.159;0.99;0.911;0.99;0.95;0.99;0.99;0.968;0.946;0.951;0.976;0.952;0.952;0.947;0.946;1.0;0.923;0.919;1.0;0.925;1.0
