;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENST00000507210_90_90;0.312;0.444;0.444;0.48;0.5;0.5;0.154;0.923;0.32;0.167;1.0;0.444;0.917;0.296;0.917;0.182;0.833;1.0;0.222;0.571;0.25;0.6;0.444;0.417;0.857;0.312;0.333;0.333;0.333;0.231;0.526;0.176;0.154;0.333
ENST00000508293_90_90;0.676;1.0;1.0;0.793;0.889;0.889;0.667;0.481;0.778;0.593;0.444;1.0;0.407;0.852;0.407;0.519;0.37;0.444;0.37;0.778;0.111;0.741;1.0;0.185;0.519;0.541;0.571;0.571;0.571;0.107;0.419;0.167;0.452;0.571
ENST00000508996_90_90;0.281;0.407;0.407;0.44;0.458;0.458;0.115;0.846;0.28;0.125;0.917;0.407;1.0;0.259;1.0;0.136;0.909;0.917;0.167;0.524;0.273;0.55;0.407;0.455;0.786;0.281;0.3;0.3;0.3;0.25;0.474;0.188;0.115;0.3
ENST00000509122_90_90;0.559;0.852;0.852;0.655;0.741;0.741;0.783;0.333;0.913;0.696;0.296;0.852;0.259;1.0;0.259;0.609;0.222;0.296;0.435;0.63;0.083;0.593;0.852;0.077;0.37;0.432;0.457;0.457;0.457;0.038;0.29;0.148;0.519;0.457
ENST00000509164_90_90;0.281;0.407;0.407;0.44;0.458;0.458;0.115;0.846;0.28;0.125;0.917;0.407;1.0;0.259;1.0;0.136;0.909;0.917;0.167;0.524;0.273;0.55;0.407;0.455;0.786;0.281;0.3;0.3;0.3;0.25;0.474;0.188;0.115;0.3
ENST00000509246_90_90;0.419;0.519;0.519;0.56;0.583;0.583;0.778;0.227;0.667;0.875;0.182;0.519;0.136;0.609;0.136;1.0;0.091;0.182;0.714;0.591;0.0;0.545;0.519;0.0;0.273;0.419;0.448;0.448;0.448;0.0;0.292;0.158;0.684;0.448
ENST00000509664_90_90;0.25;0.37;0.37;0.4;0.417;0.417;0.077;0.769;0.24;0.083;0.833;0.37;0.909;0.222;0.909;0.091;1.0;0.833;0.111;0.476;0.3;0.5;0.37;0.5;0.714;0.25;0.267;0.267;0.267;0.273;0.421;0.2;0.077;0.267
ENST00000509963_90_90;0.312;0.444;0.444;0.48;0.5;0.5;0.154;0.923;0.32;0.167;1.0;0.444;0.917;0.296;0.917;0.182;0.833;1.0;0.222;0.571;0.25;0.6;0.444;0.417;0.857;0.312;0.333;0.333;0.333;0.231;0.526;0.176;0.154;0.333
ENST00000510824_90_90;0.29;0.37;0.37;0.4;0.417;0.417;0.556;0.278;0.476;0.625;0.222;0.37;0.167;0.435;0.167;0.714;0.111;0.222;1.0;0.476;0.0;0.5;0.37;0.0;0.333;0.29;0.31;0.31;0.31;0.0;0.35;0.125;0.474;0.31
ENST00000511102_90_90;0.545;0.778;0.778;0.84;0.875;0.875;0.5;0.619;0.68;0.542;0.571;0.778;0.524;0.63;0.524;0.591;0.476;0.571;0.476;1.0;0.143;0.952;0.778;0.238;0.667;0.545;0.581;0.581;0.581;0.136;0.52;0.208;0.444;0.581
ENST00000511662_90_90;0.065;0.111;0.111;0.12;0.125;0.125;0.0;0.231;0.091;0.0;0.25;0.111;0.273;0.083;0.273;0.0;0.3;0.25;0.0;0.143;1.0;0.15;0.111;0.6;0.214;0.065;0.069;0.069;0.069;0.4;0.111;0.0;0.0;0.069
ENST00000512236_90_90;0.515;0.741;0.741;0.8;0.833;0.833;0.462;0.65;0.64;0.5;0.6;0.741;0.55;0.593;0.55;0.545;0.5;0.6;0.5;0.952;0.15;1.0;0.741;0.25;0.7;0.515;0.548;0.548;0.548;0.143;0.542;0.217;0.407;0.548
ENST00000513391_90_90;0.676;1.0;1.0;0.793;0.889;0.889;0.667;0.481;0.778;0.593;0.444;1.0;0.407;0.852;0.407;0.519;0.37;0.444;0.37;0.778;0.111;0.741;1.0;0.185;0.519;0.541;0.571;0.571;0.571;0.107;0.419;0.167;0.452;0.571
ENST00000513641_90_90;0.129;0.185;0.185;0.2;0.208;0.208;0.0;0.385;0.083;0.0;0.417;0.185;0.455;0.077;0.455;0.0;0.5;0.417;0.0;0.238;0.6;0.25;0.185;1.0;0.357;0.129;0.138;0.138;0.138;0.5;0.222;0.0;0.0;0.138
ENST00000514981_90_90;0.375;0.519;0.519;0.56;0.583;0.583;0.231;0.929;0.4;0.25;0.857;0.519;0.786;0.37;0.786;0.273;0.714;0.857;0.333;0.667;0.214;0.7;0.519;0.357;1.0;0.375;0.4;0.4;0.4;0.2;0.632;0.158;0.231;0.4
ENSMUST00000031038_90_90;0.765;0.541;0.541;0.571;0.588;0.588;0.412;0.344;0.457;0.438;0.312;0.541;0.281;0.432;0.281;0.419;0.25;0.312;0.29;0.545;0.065;0.515;0.541;0.129;0.375;1.0;0.812;0.812;0.933;0.133;0.567;0.226;0.6;0.812
ENSMUST00000071081_90_90;0.871;0.571;0.571;0.71;0.625;0.625;0.438;0.367;0.485;0.467;0.333;0.571;0.3;0.457;0.3;0.448;0.267;0.333;0.31;0.581;0.069;0.548;0.571;0.138;0.4;0.812;1.0;1.0;0.867;0.143;0.552;0.241;0.586;1.0
ENSMUST00000166823_90_90;0.871;0.571;0.571;0.71;0.625;0.625;0.438;0.367;0.485;0.467;0.333;0.571;0.3;0.457;0.3;0.448;0.267;0.333;0.31;0.581;0.069;0.548;0.571;0.138;0.4;0.812;1.0;1.0;0.867;0.143;0.552;0.241;0.586;1.0
ENSMUST00000200935_90_90;0.812;0.571;0.571;0.606;0.625;0.625;0.438;0.367;0.485;0.467;0.333;0.571;0.3;0.457;0.3;0.448;0.267;0.333;0.31;0.581;0.069;0.548;0.571;0.138;0.4;0.933;0.867;0.867;1.0;0.143;0.607;0.241;0.586;0.867
ENSMUST00000201505_90_90;0.133;0.107;0.107;0.115;0.12;0.12;0.0;0.214;0.042;0.0;0.231;0.107;0.25;0.038;0.25;0.0;0.273;0.231;0.0;0.136;0.4;0.143;0.107;0.5;0.2;0.133;0.143;0.143;0.143;1.0;0.235;0.0;0.0;0.143
ENSMUST00000201556_90_90;0.516;0.419;0.419;0.448;0.464;0.464;0.25;0.579;0.31;0.269;0.526;0.419;0.474;0.29;0.474;0.292;0.421;0.526;0.35;0.52;0.111;0.542;0.419;0.222;0.632;0.567;0.552;0.552;0.607;0.235;1.0;0.19;0.25;0.552
ENSMUST00000201739_90_90;0.226;0.167;0.167;0.179;0.185;0.185;0.13;0.167;0.16;0.143;0.176;0.167;0.188;0.148;0.188;0.158;0.2;0.176;0.125;0.208;0.0;0.217;0.167;0.0;0.158;0.226;0.241;0.241;0.241;0.0;0.19;1.0;0.182;0.241
ENSMUST00000202237_90_90;0.548;0.452;0.452;0.483;0.5;0.5;0.636;0.192;0.56;0.7;0.154;0.452;0.115;0.519;0.115;0.684;0.077;0.154;0.474;0.444;0.0;0.407;0.452;0.0;0.231;0.6;0.586;0.586;0.586;0.0;0.25;0.182;1.0;0.586
ENSMUST00000202250_90_90;0.871;0.571;0.571;0.71;0.625;0.625;0.438;0.367;0.485;0.467;0.333;0.571;0.3;0.457;0.3;0.448;0.267;0.333;0.31;0.581;0.069;0.548;0.571;0.138;0.4;0.812;1.0;1.0;0.867;0.143;0.552;0.241;0.586;1.0
