;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript22_ENSPEMG00000024651;0.195;0.188;0.195;0.195;0.199;0.087;0.088;0.948;0.852;0.948;1.0;0.948;0.948;0.933;0.916;0.802;0.897;0.961;0.961;0.998;0.825;0.928;0.8;0.802;0.928;0.879;0.928
transcript26_ENSCGRG00000018457;0.2;0.192;0.2;0.2;0.204;0.087;0.089;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.836;0.943;0.912;0.912;0.946;0.869;0.979;0.844;0.846;0.979;0.921;0.979
transcript26_ENSCGRG00001010245;0.2;0.192;0.2;0.2;0.204;0.087;0.089;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.836;0.943;0.912;0.912;0.946;0.869;0.979;0.844;0.846;0.979;0.921;0.979
transcript42_ENSCGRG00000018457;0.203;0.195;0.203;0.203;0.207;0.089;0.09;0.983;0.874;0.983;0.933;0.983;0.983;1.0;0.947;0.82;0.927;0.898;0.898;0.931;0.857;0.962;0.833;0.834;0.962;0.905;0.962
transcript43_ENSCGRG00000018457;0.207;0.199;0.207;0.207;0.211;0.091;0.092;0.964;0.854;0.964;0.916;0.964;0.964;0.947;1.0;0.867;0.978;0.881;0.881;0.914;0.833;0.943;0.808;0.81;0.943;0.886;0.943
transcript7_ENSCGRG00001010245;0.228;0.219;0.228;0.228;0.233;0.1;0.101;0.836;0.936;0.836;0.802;0.836;0.836;0.82;0.867;1.0;0.889;0.806;0.806;0.8;0.741;0.857;0.716;0.714;0.857;0.8;0.857
transcript29_ENSCGRG00001010245;0.203;0.195;0.203;0.203;0.207;0.089;0.09;0.943;0.836;0.943;0.897;0.943;0.943;0.927;0.978;0.889;1.0;0.901;0.901;0.895;0.848;0.965;0.823;0.821;0.965;0.907;0.965
transcript15_ENSPEMG00000024651;0.194;0.187;0.194;0.194;0.198;0.086;0.088;0.912;0.818;0.912;0.961;0.912;0.912;0.898;0.881;0.806;0.901;1.0;1.0;0.959;0.828;0.932;0.804;0.803;0.932;0.883;0.932
transcript24_ENSPEMG00000024651;0.194;0.187;0.194;0.194;0.198;0.086;0.088;0.912;0.818;0.912;0.961;0.912;0.912;0.898;0.881;0.806;0.901;1.0;1.0;0.959;0.828;0.932;0.804;0.803;0.932;0.883;0.932
transcript31_ENSPEMG00000024651;0.195;0.189;0.195;0.195;0.2;0.087;0.088;0.946;0.85;0.946;0.998;0.946;0.946;0.931;0.914;0.8;0.895;0.959;0.959;1.0;0.823;0.926;0.799;0.8;0.926;0.877;0.926
transcript5_ENSNGAG00000018584;0.175;0.166;0.175;0.175;0.178;0.078;0.079;0.869;0.761;0.869;0.825;0.869;0.869;0.857;0.833;0.741;0.848;0.828;0.828;0.823;1.0;0.883;0.972;0.97;0.883;0.845;0.883
transcript5_ENSSTOG00000019743;0.195;0.188;0.195;0.195;0.199;0.085;0.087;0.979;0.871;0.979;0.928;0.979;0.979;0.962;0.943;0.857;0.965;0.932;0.932;0.926;0.883;1.0;0.859;0.857;1.0;0.943;1.0
transcript17_ENSNGAG00000018584;0.149;0.14;0.149;0.149;0.151;0.051;0.052;0.844;0.736;0.844;0.8;0.844;0.844;0.833;0.808;0.716;0.823;0.804;0.804;0.799;0.972;0.859;1.0;0.998;0.859;0.82;0.859
transcript20_ENSNGAG00000018584;0.149;0.14;0.149;0.149;0.152;0.051;0.052;0.846;0.738;0.846;0.802;0.846;0.846;0.834;0.81;0.714;0.821;0.803;0.803;0.8;0.97;0.857;0.998;1.0;0.857;0.819;0.857
transcript12_ENSSTOG00000019743;0.195;0.188;0.195;0.195;0.199;0.085;0.087;0.979;0.871;0.979;0.928;0.979;0.979;0.962;0.943;0.857;0.965;0.932;0.932;0.926;0.883;1.0;0.859;0.857;1.0;0.943;1.0
transcript13_ENSSTOG00000019743;0.14;0.135;0.14;0.14;0.142;0.03;0.03;0.921;0.814;0.921;0.879;0.921;0.921;0.905;0.886;0.8;0.907;0.883;0.883;0.877;0.845;0.943;0.82;0.819;0.943;1.0;0.943
transcript14_ENSSTOG00000019743;0.195;0.188;0.195;0.195;0.199;0.085;0.087;0.979;0.871;0.979;0.928;0.979;0.979;0.962;0.943;0.857;0.965;0.932;0.932;0.926;0.883;1.0;0.859;0.857;1.0;0.943;1.0
