;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENST00000509963_90_90;0.387;0.396;0.396;0.519;0.5;0.5;0.184;0.879;0.358;0.222;1.0;0.396;0.828;0.286;0.828;0.248;0.753;1.0;0.274;0.563;0.299;0.567;0.396;0.474;0.866;0.387;0.505;0.505;0.487;0.38;0.701;0.169;0.185;0.505
ENST00000510824_90_90;0.415;0.42;0.42;0.551;0.531;0.531;0.574;0.359;0.611;0.736;0.274;0.42;0.168;0.472;0.168;0.861;0.121;0.274;1.0;0.598;0.0;0.602;0.42;0.0;0.369;0.415;0.542;0.542;0.523;0.0;0.428;0.116;0.576;0.542
ENST00000511102_90_90;0.689;0.703;0.703;0.922;0.888;0.888;0.507;0.64;0.743;0.61;0.563;0.703;0.466;0.593;0.466;0.681;0.424;0.563;0.598;1.0;0.168;0.992;0.703;0.267;0.65;0.689;0.898;0.898;0.867;0.214;0.679;0.128;0.508;0.898
ENST00000511662_90_90;0.116;0.118;0.118;0.155;0.149;0.149;0.0;0.263;0.108;0.0;0.299;0.118;0.361;0.085;0.361;0.0;0.397;0.299;0.0;0.168;1.0;0.17;0.118;0.63;0.259;0.116;0.151;0.151;0.146;0.761;0.21;0.0;0.0;0.151
ENST00000512236_90_90;0.683;0.698;0.698;0.914;0.881;0.881;0.501;0.645;0.736;0.603;0.567;0.698;0.47;0.588;0.47;0.674;0.427;0.567;0.602;0.992;0.17;1.0;0.698;0.269;0.655;0.683;0.891;0.891;0.86;0.216;0.684;0.129;0.502;0.891
ENST00000513391_90_90;0.976;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.582;0.715;0.715;0.696;0.151;0.486;0.09;0.434;0.715
ENST00000513641_90_90;0.185;0.188;0.188;0.246;0.237;0.237;0.0;0.417;0.099;0.0;0.474;0.188;0.573;0.079;0.573;0.0;0.63;0.474;0.0;0.267;0.63;0.269;0.188;1.0;0.411;0.185;0.241;0.241;0.233;0.799;0.335;0.0;0.0;0.241
ENST00000514981_90_90;0.448;0.457;0.457;0.599;0.577;0.577;0.249;0.985;0.434;0.299;0.866;0.457;0.717;0.347;0.717;0.334;0.652;0.866;0.369;0.65;0.259;0.655;0.457;0.411;1.0;0.448;0.584;0.584;0.563;0.329;0.81;0.148;0.25;0.584
ENSMUST00000031038_90_90;0.595;0.582;0.582;0.715;0.696;0.696;0.429;0.441;0.589;0.494;0.387;0.582;0.32;0.495;0.32;0.482;0.29;0.387;0.415;0.689;0.116;0.683;0.582;0.185;0.448;1.0;0.732;0.732;0.794;0.151;0.551;0.095;0.721;0.732
ENSMUST00000071081_90_90;0.737;0.715;0.715;0.975;0.896;0.896;0.533;0.575;0.756;0.637;0.505;0.715;0.418;0.609;0.418;0.63;0.379;0.505;0.542;0.898;0.151;0.891;0.715;0.241;0.584;0.732;1.0;1.0;0.919;0.198;0.63;0.124;0.551;1.0
ENSMUST00000166823_90_90;0.737;0.715;0.715;0.975;0.896;0.896;0.533;0.575;0.756;0.637;0.505;0.715;0.418;0.609;0.418;0.63;0.379;0.505;0.542;0.898;0.151;0.891;0.715;0.241;0.584;0.732;1.0;1.0;0.919;0.198;0.63;0.124;0.551;1.0
ENSMUST00000200935_90_90;0.713;0.696;0.696;0.896;0.866;0.866;0.518;0.555;0.731;0.615;0.487;0.696;0.403;0.592;0.403;0.608;0.365;0.487;0.523;0.867;0.146;0.86;0.696;0.233;0.563;0.794;0.919;0.919;1.0;0.19;0.694;0.12;0.535;0.919
ENSMUST00000201505_90_90;0.151;0.151;0.151;0.198;0.19;0.19;0.0;0.334;0.102;0.0;0.38;0.151;0.459;0.08;0.459;0.0;0.505;0.38;0.0;0.214;0.761;0.216;0.151;0.799;0.329;0.151;0.198;0.198;0.19;1.0;0.275;0.0;0.0;0.198
ENSMUST00000201556_90_90;0.488;0.486;0.486;0.629;0.607;0.607;0.294;0.798;0.472;0.351;0.701;0.486;0.579;0.381;0.579;0.389;0.526;0.701;0.428;0.679;0.21;0.684;0.486;0.335;0.81;0.551;0.63;0.63;0.694;0.275;1.0;0.126;0.296;0.63
ENSMUST00000201739_90_90;0.095;0.09;0.09;0.118;0.114;0.114;0.079;0.15;0.128;0.1;0.169;0.09;0.202;0.1;0.202;0.116;0.22;0.169;0.116;0.128;0.0;0.129;0.09;0.0;0.148;0.095;0.124;0.124;0.12;0.0;0.126;1.0;0.086;0.124
ENSMUST00000202237_90_90;0.442;0.434;0.434;0.54;0.525;0.525;0.558;0.243;0.585;0.674;0.185;0.434;0.114;0.478;0.114;0.669;0.082;0.185;0.576;0.508;0.0;0.502;0.434;0.0;0.25;0.721;0.551;0.551;0.535;0.0;0.296;0.086;1.0;0.551
ENSMUST00000202250_90_90;0.737;0.715;0.715;0.975;0.896;0.896;0.533;0.575;0.756;0.637;0.505;0.715;0.418;0.609;0.418;0.63;0.379;0.505;0.542;0.898;0.151;0.891;0.715;0.241;0.584;0.732;1.0;1.0;0.919;0.198;0.63;0.124;0.551;1.0
