;ENSCAFT00000030055_90_90;ENST00000345434_90_90;ENST00000370674_90_90;ENST00000370676_90_90;ENST00000370683_90_90;ENST00000370690_90_90;ENST00000394153_90_90;ENST00000394155_90_90;ENST00000420362_90_90;ENST00000434885_90_90;ENST00000449474_90_90;ENST00000452016_90_90;ENST00000456445_90_90;ENST00000458357_90_90;ENST00000535737_90_90;ENST00000539015_90_90;ENST00000543669_90_90;ENST00000618438_90_90;ENST00000625935_90_90;ENST00000627383_90_90;ENST00000627578_90_90;ENST00000627812_90_90;ENST00000628032_90_90;ENST00000628443_90_90;ENST00000628568_90_90;ENST00000628919_90_90;ENST00000629039_90_90;ENST00000630084_90_90;ENST00000630278_90_90;ENSMUST00000023854_90_90;ENSMUST00000114768_90_90;ENSMUST00000114769_90_90;ENSMUST00000114772_90_90;ENSMUST00000114773_90_90;ENSMUST00000116596_90_90;ENSMUST00000144600_90_90;ENSMUST00000151033_90_90;ENSMUST00000155882_90_90
ENST00000449474_90_90;0.42;0.409;0.474;0.586;0.412;0.443;0.443;0.409;0.63;0.59;1.0;0.59;0.61;0.819;0.443;0.402;0.443;0.649;0.129;0.928;0.862;0.359;0.711;0.922;0.443;0.837;0.443;0.443;0.526;0.443;0.586;0.418;0.412;0.402;0.443;0.529;0.629;0.445
ENST00000452016_90_90;0.714;0.702;0.803;0.633;0.698;0.751;0.751;0.702;0.93;1.0;0.59;1.0;0.965;0.718;0.751;0.683;0.751;0.69;0.076;0.552;0.68;0.222;0.828;0.637;0.751;0.502;0.751;0.751;0.313;0.751;0.633;0.722;0.698;0.683;0.751;0.896;0.371;0.269
ENST00000456445_90_90;0.689;0.675;0.774;0.652;0.673;0.724;0.724;0.675;0.964;0.965;0.61;0.965;1.0;0.744;0.724;0.659;0.724;0.712;0.079;0.57;0.705;0.227;0.859;0.659;0.724;0.517;0.724;0.724;0.323;0.724;0.652;0.694;0.673;0.659;0.724;0.865;0.384;0.276
ENST00000458357_90_90;0.512;0.502;0.576;0.713;0.501;0.539;0.539;0.502;0.772;0.718;0.819;0.718;0.744;1.0;0.539;0.49;0.539;0.792;0.105;0.764;0.947;0.304;0.866;0.885;0.539;0.693;0.539;0.539;0.433;0.539;0.713;0.515;0.501;0.49;0.539;0.643;0.515;0.371
ENST00000535737_90_90;0.927;0.782;0.935;0.632;0.929;1.0;1.0;0.782;0.699;0.751;0.443;0.751;0.724;0.539;1.0;0.909;1.0;0.68;0.058;0.413;0.51;0.165;0.622;0.478;1.0;0.376;1.0;1.0;0.235;1.0;0.632;0.802;0.929;0.909;1.0;0.795;0.278;0.202
ENST00000539015_90_90;0.933;0.721;0.851;0.633;0.915;0.909;0.909;0.721;0.635;0.683;0.402;0.683;0.659;0.49;0.909;1.0;0.909;0.619;0.051;0.376;0.465;0.15;0.565;0.434;0.909;0.342;0.909;0.909;0.213;0.909;0.633;0.738;0.915;1.0;0.909;0.724;0.253;0.182
ENST00000543669_90_90;0.927;0.782;0.935;0.632;0.929;1.0;1.0;0.782;0.699;0.751;0.443;0.751;0.724;0.539;1.0;0.909;1.0;0.68;0.058;0.413;0.51;0.165;0.622;0.478;1.0;0.376;1.0;1.0;0.235;1.0;0.632;0.802;0.929;0.909;1.0;0.795;0.278;0.202
ENST00000618438_90_90;0.623;0.634;0.727;0.899;0.632;0.68;0.68;0.634;0.736;0.69;0.649;0.69;0.712;0.792;0.68;0.619;0.68;1.0;0.083;0.607;0.75;0.241;0.814;0.702;0.68;0.55;0.68;0.68;0.344;0.68;0.899;0.65;0.632;0.619;0.68;0.625;0.408;0.294
ENST00000625935_90_90;0.054;0.053;0.061;0.075;0.053;0.058;0.058;0.053;0.081;0.076;0.129;0.076;0.079;0.105;0.058;0.051;0.058;0.083;1.0;0.139;0.111;0.391;0.092;0.118;0.058;0.155;0.058;0.058;0.244;0.058;0.075;0.054;0.053;0.051;0.058;0.069;0.205;0.295
ENST00000627383_90_90;0.393;0.381;0.444;0.548;0.386;0.413;0.413;0.381;0.589;0.552;0.928;0.552;0.57;0.764;0.413;0.376;0.413;0.607;0.139;1.0;0.803;0.381;0.664;0.858;0.413;0.899;0.413;0.413;0.567;0.413;0.548;0.389;0.386;0.376;0.413;0.495;0.68;0.477
ENST00000627578_90_90;0.486;0.474;0.546;0.676;0.476;0.51;0.51;0.474;0.73;0.68;0.862;0.68;0.705;0.947;0.51;0.465;0.51;0.75;0.111;0.803;1.0;0.316;0.821;0.933;0.51;0.727;0.51;0.51;0.456;0.51;0.676;0.486;0.476;0.465;0.51;0.611;0.542;0.388
ENST00000627812_90_90;0.157;0.149;0.178;0.22;0.155;0.165;0.165;0.149;0.233;0.222;0.359;0.222;0.227;0.304;0.165;0.15;0.165;0.241;0.391;0.381;0.316;1.0;0.266;0.335;0.165;0.419;0.165;0.165;0.673;0.165;0.22;0.152;0.155;0.15;0.165;0.199;0.57;0.788
ENST00000628032_90_90;0.591;0.581;0.665;0.736;0.578;0.622;0.622;0.581;0.893;0.828;0.711;0.828;0.859;0.866;0.622;0.565;0.622;0.814;0.092;0.664;0.821;0.266;1.0;0.768;0.622;0.604;0.622;0.622;0.377;0.622;0.736;0.596;0.578;0.565;0.622;0.742;0.448;0.323
ENST00000628443_90_90;0.454;0.443;0.512;0.633;0.445;0.478;0.478;0.443;0.683;0.637;0.922;0.637;0.659;0.885;0.478;0.434;0.478;0.702;0.118;0.858;0.933;0.335;0.768;1.0;0.478;0.775;0.478;0.478;0.486;0.478;0.633;0.454;0.445;0.434;0.478;0.572;0.581;0.412
ENST00000628568_90_90;0.927;0.782;0.935;0.632;0.929;1.0;1.0;0.782;0.699;0.751;0.443;0.751;0.724;0.539;1.0;0.909;1.0;0.68;0.058;0.413;0.51;0.165;0.622;0.478;1.0;0.376;1.0;1.0;0.235;1.0;0.632;0.802;0.929;0.909;1.0;0.795;0.278;0.202
ENST00000628919_90_90;0.357;0.345;0.403;0.498;0.351;0.376;0.376;0.345;0.533;0.502;0.837;0.502;0.517;0.693;0.376;0.342;0.376;0.55;0.155;0.899;0.727;0.419;0.604;0.775;0.376;1.0;0.376;0.376;0.633;0.376;0.498;0.352;0.351;0.342;0.376;0.45;0.759;0.529
ENST00000629039_90_90;0.927;0.782;0.935;0.632;0.929;1.0;1.0;0.782;0.699;0.751;0.443;0.751;0.724;0.539;1.0;0.909;1.0;0.68;0.058;0.413;0.51;0.165;0.622;0.478;1.0;0.376;1.0;1.0;0.235;1.0;0.632;0.802;0.929;0.909;1.0;0.795;0.278;0.202
ENST00000630084_90_90;0.927;0.782;0.935;0.632;0.929;1.0;1.0;0.782;0.699;0.751;0.443;0.751;0.724;0.539;1.0;0.909;1.0;0.68;0.058;0.413;0.51;0.165;0.622;0.478;1.0;0.376;1.0;1.0;0.235;1.0;0.632;0.802;0.929;0.909;1.0;0.795;0.278;0.202
ENST00000630278_90_90;0.223;0.215;0.252;0.31;0.219;0.235;0.235;0.215;0.334;0.313;0.526;0.313;0.323;0.433;0.235;0.213;0.235;0.344;0.244;0.567;0.456;0.673;0.377;0.486;0.235;0.633;0.235;0.235;1.0;0.235;0.31;0.221;0.219;0.213;0.235;0.281;0.837;0.841
ENSMUST00000023854_90_90;0.927;0.782;0.935;0.632;0.929;1.0;1.0;0.782;0.699;0.751;0.443;0.751;0.724;0.539;1.0;0.909;1.0;0.68;0.058;0.413;0.51;0.165;0.622;0.478;1.0;0.376;1.0;1.0;0.235;1.0;0.632;0.782;0.929;0.909;1.0;0.772;0.278;0.202
ENSMUST00000114768_90_90;0.654;0.591;0.673;1.0;0.702;0.632;0.632;0.591;0.671;0.633;0.586;0.633;0.652;0.713;0.632;0.633;0.632;0.899;0.075;0.548;0.676;0.22;0.736;0.633;0.632;0.498;0.632;0.632;0.31;0.632;1.0;0.591;0.702;0.633;0.632;0.561;0.368;0.267
ENSMUST00000114769_90_90;0.841;0.976;0.849;0.605;0.75;0.802;0.802;0.976;0.666;0.722;0.418;0.722;0.694;0.515;0.802;0.738;0.802;0.65;0.054;0.389;0.486;0.152;0.596;0.454;0.802;0.352;0.802;0.802;0.221;0.782;0.591;1.0;0.734;0.721;0.782;0.718;0.258;0.184
ENSMUST00000114772_90_90;0.956;0.734;0.869;0.702;1.0;0.929;0.929;0.734;0.649;0.698;0.412;0.698;0.673;0.501;0.929;0.915;0.929;0.632;0.053;0.386;0.476;0.155;0.578;0.445;0.929;0.351;0.929;0.929;0.219;0.929;0.702;0.734;1.0;0.915;0.929;0.721;0.26;0.188
ENSMUST00000114773_90_90;0.933;0.721;0.851;0.633;0.915;0.909;0.909;0.721;0.635;0.683;0.402;0.683;0.659;0.49;0.909;1.0;0.909;0.619;0.051;0.376;0.465;0.15;0.565;0.434;0.909;0.342;0.909;0.909;0.213;0.909;0.633;0.721;0.915;1.0;0.909;0.705;0.253;0.182
ENSMUST00000116596_90_90;0.927;0.782;0.935;0.632;0.929;1.0;1.0;0.782;0.699;0.751;0.443;0.751;0.724;0.539;1.0;0.909;1.0;0.68;0.058;0.413;0.51;0.165;0.622;0.478;1.0;0.376;1.0;1.0;0.235;1.0;0.632;0.782;0.929;0.909;1.0;0.772;0.278;0.202
ENSMUST00000144600_90_90;0.797;0.784;0.85;0.579;0.741;0.795;0.795;0.784;0.834;0.896;0.529;0.896;0.865;0.643;0.795;0.724;0.795;0.625;0.069;0.495;0.611;0.199;0.742;0.572;0.795;0.45;0.795;0.795;0.281;0.772;0.561;0.718;0.721;0.705;0.772;1.0;0.322;0.234
ENSMUST00000151033_90_90;0.265;0.258;0.298;0.368;0.26;0.278;0.278;0.258;0.397;0.371;0.629;0.371;0.384;0.515;0.278;0.253;0.278;0.408;0.205;0.68;0.542;0.57;0.448;0.581;0.278;0.759;0.278;0.278;0.837;0.278;0.368;0.258;0.26;0.253;0.278;0.322;1.0;0.706
ENSMUST00000155882_90_90;0.191;0.184;0.216;0.267;0.188;0.202;0.202;0.184;0.285;0.269;0.445;0.269;0.276;0.371;0.202;0.182;0.202;0.294;0.295;0.477;0.388;0.788;0.323;0.412;0.202;0.529;0.202;0.202;0.841;0.202;0.267;0.184;0.188;0.182;0.202;0.234;0.706;1.0
