;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript7_ENSPCIG00000036398;0.741;0.741;0.741;0.741;0.741;0.55;0.741;0.507;0.55;0.734;0.752;0.752;0.33;1.0;1.0;0.377;1.0;0.334;0.798;0.351;0.33;0.325;0.351;0.336;0.825
transcript8_ENSPCIG00000036398;0.741;0.741;0.741;0.741;0.741;0.55;0.741;0.507;0.55;0.734;0.752;0.752;0.33;1.0;1.0;0.377;1.0;0.334;0.798;0.351;0.33;0.325;0.351;0.336;0.825
transcript15_ENSPCIG00000036398;0.756;0.756;0.756;0.72;0.72;0.205;0.72;0.17;0.205;0.701;0.788;0.788;0.882;0.377;0.377;1.0;0.377;0.893;0.361;0.867;0.885;0.907;0.867;0.893;0.387
transcript18_ENSPCIG00000036398;0.741;0.741;0.741;0.741;0.741;0.55;0.741;0.507;0.55;0.734;0.752;0.752;0.33;1.0;1.0;0.377;1.0;0.334;0.798;0.351;0.33;0.325;0.351;0.336;0.825
transcript3_ENSMUNG00000007775;0.748;0.748;0.748;0.721;0.721;0.199;0.721;0.165;0.199;0.703;0.78;0.78;0.984;0.334;0.334;0.893;0.334;1.0;0.438;0.931;0.977;0.994;0.931;1.0;0.445
transcript8_ENSMUNG00000002377;0.758;0.758;0.758;0.754;0.754;0.545;0.754;0.498;0.545;0.755;0.755;0.755;0.43;0.798;0.798;0.361;0.798;0.438;1.0;0.471;0.438;0.441;0.471;0.438;0.976
transcript15_ENSMUNG00000002377;0.726;0.726;0.726;0.69;0.69;0.205;0.69;0.17;0.205;0.669;0.754;0.754;0.932;0.351;0.351;0.867;0.351;0.931;0.471;1.0;0.891;0.937;1.0;0.931;0.473
transcript16_ENSMUNG00000002377;0.738;0.738;0.738;0.708;0.708;0.203;0.708;0.169;0.203;0.688;0.774;0.774;0.974;0.33;0.33;0.885;0.33;0.977;0.438;0.891;1.0;0.95;0.891;0.975;0.443
transcript22_ENSMUNG00000002377;0.75;0.75;0.75;0.72;0.72;0.202;0.72;0.168;0.202;0.7;0.783;0.783;0.996;0.325;0.325;0.907;0.325;0.994;0.441;0.937;0.95;1.0;0.937;0.994;0.436
transcript23_ENSMUNG00000002377;0.726;0.726;0.726;0.69;0.69;0.205;0.69;0.17;0.205;0.669;0.754;0.754;0.932;0.351;0.351;0.867;0.351;0.931;0.471;1.0;0.891;0.937;1.0;0.931;0.473
transcript3_ENSMUNG00000002391;0.748;0.748;0.748;0.721;0.721;0.199;0.721;0.165;0.199;0.703;0.78;0.78;0.98;0.336;0.336;0.893;0.336;1.0;0.438;0.931;0.975;0.994;0.931;1.0;0.447
transcript10_ENSMUNG00000002391;0.764;0.764;0.764;0.76;0.76;0.534;0.76;0.489;0.534;0.751;0.765;0.765;0.447;0.825;0.825;0.387;0.825;0.445;0.976;0.473;0.443;0.436;0.473;0.447;1.0
