;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENST00000542389_90_90;0.66;0.56;0.66;0.516;0.716;0.56;0.73;0.383;0.673;0.88;0.583;0.632;1.0;0.332;0.661;0.528;0.606;0.657;0.611;0.557;0.713;0.557;0.513;0.713;0.759;0.678;0.666;0.394
ENST00000543085_90_90;0.562;0.73;0.568;0.663;0.616;0.73;0.349;0.064;0.476;0.266;0.622;0.594;0.332;1.0;0.549;0.178;0.294;0.564;0.434;0.725;0.612;0.725;0.659;0.612;0.377;0.513;0.55;0.096
ENST00000543524_90_90;0.629;0.818;0.636;0.744;0.69;0.818;0.756;0.397;0.893;0.571;0.859;0.947;0.661;0.549;1.0;0.547;0.624;0.631;0.858;0.811;0.685;0.811;0.737;0.685;0.79;0.955;0.64;0.408
ENST00000545798_90_90;0.347;0.448;0.348;0.407;0.378;0.448;0.724;0.706;0.559;0.549;0.47;0.518;0.528;0.178;0.547;1.0;0.579;0.346;0.627;0.444;0.375;0.444;0.404;0.375;0.687;0.564;0.35;0.682
ENST00000546251_90_90;0.475;0.527;0.423;0.485;0.454;0.527;0.783;0.419;0.636;0.596;0.549;0.596;0.606;0.294;0.624;0.579;1.0;0.473;0.69;0.608;0.513;0.608;0.553;0.513;0.94;0.772;0.48;0.525
ENSMUST00000079176_90_90;0.975;0.772;0.995;0.85;0.916;0.772;0.479;0.259;0.594;0.605;0.708;0.667;0.657;0.564;0.631;0.346;0.473;1.0;0.551;0.778;0.922;0.778;0.856;0.922;0.503;0.613;0.986;0.372
ENSMUST00000107043_90_90;0.55;0.702;0.546;0.638;0.592;0.702;0.699;0.47;0.889;0.541;0.769;0.812;0.611;0.434;0.858;0.627;0.69;0.551;1.0;0.709;0.598;0.709;0.644;0.598;0.74;0.899;0.559;0.466
ENSMUST00000107044_90_90;0.777;0.993;0.772;0.902;0.838;0.993;0.616;0.333;0.764;0.5;0.91;0.857;0.557;0.725;0.811;0.444;0.608;0.778;0.709;1.0;0.844;1.0;0.909;0.844;0.647;0.788;0.764;0.343
ENSMUST00000107045_90_90;0.921;0.838;0.916;0.772;0.994;0.838;0.519;0.281;0.644;0.656;0.768;0.723;0.713;0.612;0.685;0.375;0.513;0.922;0.598;0.844;1.0;0.844;0.778;1.0;0.546;0.665;0.908;0.294
ENSMUST00000107046_90_90;0.777;0.993;0.772;0.902;0.838;0.993;0.616;0.333;0.764;0.5;0.91;0.857;0.557;0.725;0.811;0.444;0.608;0.778;0.709;1.0;0.844;1.0;0.909;0.844;0.647;0.788;0.764;0.343
ENSMUST00000107047_90_90;0.831;0.902;0.85;0.994;0.772;0.902;0.559;0.303;0.694;0.461;0.827;0.779;0.513;0.659;0.737;0.404;0.553;0.856;0.644;0.909;0.778;0.909;1.0;0.778;0.588;0.716;0.842;0.434
ENSMUST00000116287_90_90;0.921;0.838;0.916;0.772;0.994;0.838;0.519;0.281;0.644;0.656;0.768;0.723;0.713;0.612;0.685;0.375;0.513;0.922;0.598;0.844;1.0;0.844;0.778;1.0;0.546;0.665;0.908;0.294
ENSMUST00000138830_90_90;0.506;0.646;0.502;0.587;0.545;0.646;0.951;0.515;0.839;0.712;0.708;0.748;0.759;0.377;0.79;0.687;0.94;0.503;0.74;0.647;0.546;0.647;0.588;0.546;1.0;0.821;0.51;0.505
ENSMUST00000139708_90_90;0.612;0.781;0.608;0.71;0.659;0.781;0.781;0.423;0.969;0.609;0.855;0.904;0.678;0.513;0.955;0.564;0.772;0.613;0.899;0.788;0.665;0.788;0.716;0.665;0.821;1.0;0.622;0.425
ENSMUST00000151123_90_90;0.961;0.759;0.981;0.837;0.903;0.759;0.485;0.263;0.602;0.613;0.718;0.676;0.666;0.55;0.64;0.35;0.48;0.986;0.559;0.764;0.908;0.764;0.842;0.908;0.51;0.622;1.0;0.377
ENSMUST00000208812_90_90;0.348;0.341;0.37;0.432;0.292;0.341;0.52;0.697;0.431;0.427;0.371;0.389;0.394;0.096;0.408;0.682;0.525;0.372;0.466;0.343;0.294;0.343;0.434;0.294;0.505;0.425;0.377;1.0
