;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript7_ENSHGLG00100006079;0.558;0.706;0.652;0.652;0.652;0.652;0.547;0.553;0.558;0.558;1.0;1.0;0.782;0.701;0.074;0.059;0.074;0.782;0.782;0.782;0.782;0.782;0.782;0.77;0.691
transcript10_ENSHGLG00100006079;0.558;0.706;0.652;0.652;0.652;0.652;0.547;0.553;0.558;0.558;1.0;1.0;0.782;0.701;0.074;0.059;0.074;0.782;0.782;0.782;0.782;0.782;0.782;0.77;0.691
transcript10_ENSMUNG00000002391;0.562;0.885;0.819;0.819;0.819;0.819;0.567;0.573;0.562;0.562;0.782;0.782;1.0;0.897;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.887
transcript3_ENSMUNG00000002391;0.505;0.794;0.866;0.866;0.866;0.866;0.636;0.626;0.505;0.505;0.701;0.701;0.897;1.0;0.052;0.041;0.052;0.897;0.897;0.897;0.897;0.897;0.897;0.887;0.99
transcript11_ENSHGLG00000019563;0.075;0.065;0.06;0.06;0.06;0.06;0.077;0.078;0.075;0.075;0.074;0.074;0.057;0.052;1.0;0.8;1.0;0.057;0.057;0.057;0.057;0.057;0.057;0.046;0.052
transcript26_ENSHGLG00000019563;0.057;0.052;0.048;0.048;0.048;0.048;0.062;0.062;0.057;0.057;0.059;0.059;0.046;0.041;0.8;1.0;0.8;0.046;0.046;0.046;0.046;0.046;0.046;0.034;0.042
transcript27_ENSHGLG00000019563;0.075;0.065;0.06;0.06;0.06;0.06;0.077;0.078;0.075;0.075;0.074;0.074;0.057;0.052;1.0;0.8;1.0;0.057;0.057;0.057;0.057;0.057;0.057;0.046;0.052
transcript8_ENSHGLG00100003156;0.562;0.885;0.819;0.819;0.819;0.819;0.567;0.573;0.562;0.562;0.782;0.782;1.0;0.897;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.887
transcript10_ENSHGLG00100003156;0.562;0.885;0.819;0.819;0.819;0.819;0.567;0.573;0.562;0.562;0.782;0.782;1.0;0.897;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.887
transcript20_ENSHGLG00100003156;0.562;0.885;0.819;0.819;0.819;0.819;0.567;0.573;0.562;0.562;0.782;0.782;1.0;0.897;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.887
transcript8_ENSHGLG00000019563;0.562;0.885;0.819;0.819;0.819;0.819;0.567;0.573;0.562;0.562;0.782;0.782;1.0;0.897;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.887
transcript10_ENSHGLG00000019563;0.562;0.885;0.819;0.819;0.819;0.819;0.567;0.573;0.562;0.562;0.782;0.782;1.0;0.897;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.887
transcript13_ENSHGLG00000019563;0.562;0.885;0.819;0.819;0.819;0.819;0.567;0.573;0.562;0.562;0.782;0.782;1.0;0.897;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.887
transcript28_ENSHGLG00000019563;0.551;0.874;0.809;0.809;0.809;0.809;0.557;0.562;0.551;0.551;0.77;0.77;0.989;0.887;0.046;0.034;0.046;0.989;0.989;0.989;0.989;0.989;0.989;1.0;0.876
transcript3_ENSMUNG00000007775;0.51;0.784;0.856;0.856;0.856;0.856;0.643;0.633;0.51;0.51;0.691;0.691;0.887;0.99;0.052;0.042;0.052;0.887;0.887;0.887;0.887;0.887;0.887;0.876;1.0
