;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENST00000451769_90_90;0.051;0.056;0.056;0.046;0.046;0.202;0.436;0.262;0.046;0.0;0.316;0.316;0.494;0.0;0.049;1.0;0.882;0.457;0.046;0.046;0.05;0.05;0.083;0.282;0.187
ENST00000456590_90_90;0.045;0.049;0.049;0.04;0.04;0.179;0.385;0.231;0.04;0.0;0.279;0.279;0.56;0.0;0.043;0.882;1.0;0.403;0.041;0.041;0.044;0.044;0.073;0.32;0.165
ENST00000457529_90_90;0.112;0.123;0.123;0.1;0.1;0.443;0.954;0.574;0.1;0.0;0.691;0.691;0.226;0.0;0.108;0.457;0.403;1.0;0.101;0.101;0.108;0.108;0.182;0.129;0.41
ENSMUST00000005072_90_90;0.784;0.724;0.724;0.975;0.975;0.228;0.106;0.176;0.975;0.122;0.146;0.146;0.023;0.829;0.918;0.046;0.041;0.101;1.0;0.998;0.924;0.924;0.527;0.013;0.245
ENSMUST00000111142_90_90;0.785;0.726;0.726;0.977;0.977;0.228;0.106;0.176;0.977;0.123;0.146;0.146;0.023;0.83;0.92;0.046;0.041;0.101;0.998;1.0;0.926;0.926;0.526;0.013;0.244
ENSMUST00000111144_90_90;0.719;0.778;0.778;0.911;0.911;0.244;0.114;0.188;0.911;0.132;0.156;0.156;0.024;0.764;0.985;0.05;0.044;0.108;0.924;0.926;1.0;1.0;0.567;0.014;0.264
ENSMUST00000111145_90_90;0.719;0.778;0.778;0.911;0.911;0.244;0.114;0.188;0.911;0.132;0.156;0.156;0.024;0.764;0.985;0.05;0.044;0.108;0.924;0.926;1.0;1.0;0.567;0.014;0.264
ENSMUST00000125827_90_90;0.694;0.744;0.744;0.558;0.558;0.409;0.19;0.315;0.558;0.088;0.262;0.262;0.041;0.41;0.588;0.083;0.073;0.182;0.527;0.526;0.567;0.567;1.0;0.022;0.424
ENSMUST00000130345_90_90;0.016;0.018;0.018;0.013;0.013;0.057;0.123;0.074;0.013;0.0;0.09;0.09;0.571;0.0;0.014;0.282;0.32;0.129;0.013;0.013;0.014;0.014;0.022;1.0;0.053
ENSMUST00000199239_90_90;0.308;0.34;0.34;0.247;0.247;0.923;0.43;0.711;0.247;0.0;0.59;0.59;0.093;0.099;0.268;0.187;0.165;0.41;0.245;0.244;0.264;0.264;0.424;0.053;1.0
