;transcript14_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript9_ENSMLUG00000027828;transcript7_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript32_ENSCPOG00000024843;transcript10_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript18_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript7_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript33_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript7_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript9_ENSSTOG00000019743
transcript12_ENSECAG00000007947;0.849;0.894;0.737;0.071;0.607;0.846;0.898;0.753;0.995;1.0;1.0;0.746;0.09;0.504;0.885;0.889;0.889;0.833;0.871;0.802;0.703;0.565;0.918;0.918;0.752;0.845;0.067;0.618;0.824;0.869;0.097
transcript18_ENSCCNG00000000226;0.701;0.746;0.56;0.084;0.82;0.743;0.792;0.58;0.751;0.746;0.746;1.0;0.138;0.657;0.755;0.75;0.75;0.688;0.762;0.645;0.539;0.718;0.772;0.772;0.962;0.68;0.082;0.805;0.69;0.75;0.142
transcript9_ENSCCNG00000000226;0.085;0.085;0.109;0.864;0.199;0.108;0.095;0.109;0.09;0.09;0.09;0.138;1.0;0.197;0.092;0.092;0.092;0.092;0.094;0.092;0.115;0.188;0.087;0.087;0.128;0.087;0.933;0.198;0.103;0.092;0.967
transcript7_ENSMPUG00000020072;0.518;0.491;0.392;0.125;0.937;0.556;0.459;0.404;0.501;0.504;0.504;0.657;0.197;1.0;0.542;0.545;0.545;0.581;0.556;0.433;0.423;0.94;0.502;0.502;0.649;0.404;0.12;0.895;0.535;0.492;0.186
transcript10_ENSMPUG00000020072;0.849;0.883;0.725;0.068;0.604;0.863;0.908;0.757;0.889;0.885;0.885;0.755;0.092;0.542;1.0;0.995;0.995;0.933;0.976;0.881;0.776;0.561;0.925;0.925;0.755;0.831;0.065;0.619;0.838;0.887;0.097
transcript17_ENSMPUG00000020072;0.844;0.886;0.727;0.069;0.604;0.858;0.903;0.754;0.885;0.889;0.889;0.75;0.092;0.545;0.995;1.0;1.0;0.938;0.981;0.885;0.78;0.563;0.921;0.921;0.75;0.826;0.065;0.619;0.833;0.882;0.097
transcript20_ENSMPUG00000020072;0.844;0.886;0.727;0.069;0.604;0.858;0.903;0.754;0.885;0.889;0.889;0.75;0.092;0.545;0.995;1.0;1.0;0.938;0.981;0.885;0.78;0.563;0.921;0.921;0.75;0.826;0.065;0.619;0.833;0.882;0.097
transcript23_ENSMPUG00000020072;0.884;0.838;0.674;0.073;0.604;0.799;0.838;0.694;0.828;0.833;0.833;0.688;0.092;0.581;0.933;0.938;0.938;1.0;0.919;0.823;0.718;0.596;0.864;0.864;0.69;0.768;0.07;0.625;0.777;0.827;0.1
transcript25_ENSMPUG00000020072;0.826;0.868;0.707;0.07;0.615;0.841;0.884;0.735;0.866;0.871;0.871;0.762;0.094;0.556;0.976;0.981;0.981;0.919;1.0;0.866;0.761;0.573;0.903;0.903;0.762;0.808;0.067;0.631;0.813;0.863;0.1
transcript24_ENSMPUG00000020072;0.754;0.798;0.63;0.078;0.487;0.757;0.903;0.642;0.798;0.802;0.802;0.645;0.092;0.433;0.881;0.885;0.885;0.823;0.866;1.0;0.665;0.447;0.815;0.815;0.638;0.911;0.074;0.494;0.736;0.788;0.116
transcript22_ENSMPUG00000020072;0.631;0.676;0.879;0.089;0.469;0.656;0.683;0.923;0.7;0.703;0.703;0.539;0.115;0.423;0.776;0.78;0.78;0.718;0.761;0.665;1.0;0.434;0.718;0.718;0.536;0.62;0.084;0.455;0.634;0.689;0.097
transcript7_ENSCPOG00000024843;0.585;0.557;0.434;0.122;0.972;0.618;0.524;0.453;0.563;0.565;0.565;0.718;0.188;0.94;0.561;0.563;0.563;0.596;0.573;0.447;0.434;1.0;0.576;0.576;0.728;0.472;0.12;0.945;0.602;0.558;0.181
transcript17_ENSCPOG00000024843;0.896;0.935;0.747;0.066;0.608;0.887;0.944;0.801;0.923;0.918;0.918;0.772;0.087;0.502;0.925;0.921;0.921;0.864;0.903;0.815;0.718;0.576;1.0;1.0;0.8;0.907;0.064;0.634;0.881;0.939;0.093
transcript33_ENSCPOG00000024843;0.896;0.935;0.747;0.066;0.608;0.887;0.944;0.801;0.923;0.918;0.918;0.772;0.087;0.502;0.925;0.921;0.921;0.864;0.903;0.815;0.718;0.576;1.0;1.0;0.8;0.907;0.064;0.634;0.881;0.939;0.093
transcript18_ENSCPOG00000024843;0.726;0.769;0.561;0.085;0.783;0.709;0.752;0.586;0.757;0.752;0.752;0.962;0.128;0.649;0.755;0.75;0.75;0.69;0.762;0.638;0.536;0.728;0.8;0.8;1.0;0.701;0.083;0.815;0.702;0.766;0.137
transcript24_ENSCPOG00000024843;0.819;0.86;0.663;0.074;0.504;0.799;0.944;0.702;0.85;0.845;0.845;0.68;0.087;0.404;0.831;0.826;0.826;0.768;0.808;0.911;0.62;0.472;0.907;0.907;0.701;1.0;0.072;0.522;0.797;0.858;0.109
transcript9_ENSCPOG00000024843;0.067;0.064;0.085;0.933;0.117;0.069;0.071;0.083;0.066;0.067;0.067;0.082;0.933;0.12;0.065;0.065;0.065;0.07;0.067;0.074;0.084;0.12;0.064;0.064;0.083;0.072;1.0;0.118;0.069;0.063;0.968
transcript7_ENSSTOG00000019743;0.626;0.618;0.455;0.125;0.934;0.686;0.588;0.471;0.618;0.618;0.618;0.805;0.198;0.895;0.619;0.619;0.619;0.625;0.631;0.494;0.455;0.945;0.634;0.634;0.815;0.522;0.118;1.0;0.743;0.687;0.199
transcript26_ENSSTOG00000019743;0.799;0.838;0.649;0.074;0.645;0.91;0.845;0.685;0.83;0.824;0.824;0.69;0.103;0.535;0.838;0.833;0.833;0.777;0.813;0.736;0.634;0.602;0.881;0.881;0.702;0.797;0.069;0.743;1.0;0.94;0.118
transcript17_ENSSTOG00000019743;0.861;0.898;0.717;0.068;0.595;0.851;0.903;0.748;0.874;0.869;0.869;0.75;0.092;0.492;0.887;0.882;0.882;0.827;0.863;0.788;0.689;0.558;0.939;0.939;0.766;0.858;0.063;0.687;0.94;1.0;0.104
transcript9_ENSSTOG00000019743;0.1;0.098;0.098;0.942;0.186;0.11;0.113;0.093;0.097;0.097;0.097;0.142;0.967;0.186;0.097;0.097;0.097;0.1;0.1;0.116;0.097;0.181;0.093;0.093;0.137;0.109;0.968;0.199;0.118;0.104;1.0
