;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript22_ENSPEMG00000024651;1.0;1.0;1.0;1.0;0.323;0.411;0.131;1.0;0.972;1.0;1.0;1.0;1.0;0.981;0.989;0.933;0.96;0.944;0.944;0.998;0.973;0.971;0.94;0.949;0.971;0.882;0.971
transcript26_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.311;0.405;0.125;1.0;0.955;1.0;1.0;1.0;1.0;0.981;0.983;0.937;0.983;0.972;0.972;0.998;1.0;1.0;0.974;0.974;1.0;0.908;1.0
transcript26_ENSCGRG00001010245;1.0;1.0;1.0;1.0;0.311;0.405;0.125;1.0;0.955;1.0;1.0;1.0;1.0;0.981;0.983;0.912;0.956;0.944;0.944;0.998;0.975;0.973;0.949;0.958;0.973;0.883;0.973
transcript42_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.317;0.405;0.128;0.981;0.936;0.981;0.981;0.981;0.981;1.0;0.964;0.919;0.964;0.953;0.953;0.979;0.981;0.981;0.955;0.955;0.981;0.889;0.981
transcript43_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.317;0.405;0.127;0.983;0.937;0.983;0.989;0.983;0.983;0.964;1.0;0.954;1.0;0.961;0.961;0.987;0.974;0.983;0.948;0.948;0.983;0.89;0.983
transcript7_ENSCGRG00001010245;1.0;1.0;1.0;1.0;0.323;0.405;0.13;0.937;0.982;0.937;0.933;0.937;0.912;0.919;0.954;1.0;0.955;0.934;0.934;0.931;0.908;0.939;0.883;0.874;0.939;0.849;0.939
transcript29_ENSCGRG00001010245;1.0;1.0;1.0;1.0;0.308;0.405;0.124;0.983;0.937;0.983;0.96;0.983;0.956;0.964;1.0;0.955;1.0;0.962;0.962;0.958;0.975;0.983;0.949;0.94;0.983;0.893;0.983
transcript15_ENSPEMG00000024651;1.0;1.0;1.0;1.0;0.322;0.411;0.131;0.972;0.944;0.972;0.944;0.972;0.944;0.953;0.961;0.934;0.962;1.0;1.0;0.942;0.976;0.973;0.943;0.935;0.973;0.883;0.973
transcript24_ENSPEMG00000024651;1.0;1.0;1.0;1.0;0.322;0.411;0.131;0.972;0.944;0.972;0.944;0.972;0.944;0.953;0.961;0.934;0.962;1.0;1.0;0.942;0.976;0.973;0.943;0.935;0.973;0.883;0.973
transcript31_ENSPEMG00000024651;1.0;1.0;1.0;1.0;0.323;0.411;0.132;0.998;0.97;0.998;0.998;0.998;0.998;0.979;0.987;0.931;0.958;0.942;0.942;1.0;0.97;0.969;0.938;0.946;0.969;0.88;0.969
transcript5_ENSNGAG00000018584;1.0;1.0;1.0;1.0;0.306;0.394;0.12;1.0;0.932;1.0;0.973;1.0;0.975;0.981;0.974;0.908;0.975;0.976;0.976;0.97;1.0;1.0;0.975;0.966;1.0;0.906;1.0
transcript5_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.303;0.405;0.122;1.0;0.955;1.0;0.971;1.0;0.973;0.981;0.983;0.939;0.983;0.973;0.973;0.969;1.0;1.0;0.975;0.966;1.0;0.91;1.0
transcript17_ENSNGAG00000018584;0.913;0.901;0.913;0.913;0.28;0.307;0.094;0.974;0.906;0.974;0.94;0.974;0.949;0.955;0.948;0.883;0.949;0.943;0.943;0.938;0.975;0.975;1.0;0.991;0.975;0.88;0.975
transcript20_ENSNGAG00000018584;0.913;0.901;0.913;0.913;0.283;0.307;0.095;0.974;0.906;0.974;0.949;0.974;0.958;0.955;0.948;0.874;0.94;0.935;0.935;0.946;0.966;0.966;0.991;1.0;0.966;0.871;0.966
transcript12_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.303;0.405;0.122;1.0;0.955;1.0;0.971;1.0;0.973;0.981;0.983;0.939;0.983;0.973;0.973;0.969;1.0;1.0;0.975;0.966;1.0;0.91;1.0
transcript13_ENSSTOG00000019743;0.705;0.697;0.705;0.705;0.213;0.111;0.032;0.908;0.862;0.908;0.882;0.908;0.883;0.889;0.89;0.849;0.893;0.883;0.883;0.88;0.906;0.91;0.88;0.871;0.91;1.0;0.91
transcript14_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.303;0.405;0.122;1.0;0.955;1.0;0.971;1.0;0.973;0.981;0.983;0.939;0.983;0.973;0.973;0.969;1.0;1.0;0.975;0.966;1.0;0.91;1.0
