;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENSMUST00000117253_90_90;0.361;0.595;0.317;0.837;0.796;0.68;0.694;0.817;0.642;0.8;0.709;0.744;0.76;0.78;0.857;0.656;0.724;0.611;0.661;1.0;0.838;0.721;0.737;0.819;0.764;0.78;0.682;0.801;0.879;0.859;0.82;0.692;0.707;0.674;0.681;0.653;0.261;0.145
ENSMUST00000117407_90_90;0.384;0.683;0.283;0.777;0.771;0.671;0.683;0.839;0.661;0.822;0.632;0.8;0.818;0.754;0.794;0.609;0.644;0.727;0.794;0.838;1.0;0.785;0.804;0.887;0.913;0.936;0.738;0.865;0.95;0.926;0.974;0.827;0.849;0.815;0.746;0.79;0.31;0.144
ENSMUST00000117985_90_90;0.511;0.752;0.267;0.702;0.657;0.615;0.594;0.651;0.574;0.673;0.638;0.652;0.629;0.68;0.679;0.619;0.617;0.8;0.872;0.721;0.785;1.0;0.972;0.76;0.752;0.728;0.853;0.786;0.82;0.846;0.809;0.954;0.928;0.847;0.908;0.867;0.439;0.147
ENSMUST00000118034_90_90;0.521;0.768;0.271;0.679;0.67;0.594;0.606;0.665;0.585;0.651;0.617;0.629;0.643;0.657;0.693;0.596;0.629;0.778;0.847;0.737;0.804;0.972;1.0;0.78;0.728;0.746;0.828;0.76;0.842;0.82;0.785;0.928;0.954;0.868;0.933;0.889;0.448;0.154
ENSMUST00000118078_90_90;0.42;0.674;0.308;0.791;0.859;0.609;0.621;0.771;0.653;0.754;0.635;0.797;0.817;0.838;0.809;0.667;0.647;0.723;0.798;0.819;0.887;0.76;0.78;1.0;0.92;0.948;0.735;0.97;0.933;0.908;0.865;0.728;0.746;0.82;0.832;0.792;0.344;0.166
ENSMUST00000118442_90_90;0.394;0.703;0.29;0.778;0.797;0.671;0.649;0.8;0.681;0.824;0.631;0.871;0.845;0.823;0.754;0.662;0.609;0.789;0.869;0.764;0.913;0.752;0.728;0.92;1.0;0.972;0.803;0.949;0.865;0.891;0.939;0.796;0.77;0.843;0.772;0.818;0.321;0.15
ENSMUST00000119385_90_90;0.402;0.718;0.295;0.754;0.817;0.649;0.661;0.818;0.695;0.8;0.609;0.845;0.866;0.797;0.771;0.639;0.621;0.765;0.843;0.78;0.936;0.728;0.746;0.948;0.972;1.0;0.778;0.92;0.887;0.865;0.913;0.77;0.79;0.867;0.792;0.839;0.328;0.158
ENSMUST00000119788_90_90;0.495;0.804;0.26;0.658;0.636;0.639;0.618;0.676;0.617;0.698;0.602;0.701;0.677;0.659;0.635;0.6;0.581;0.851;0.926;0.682;0.738;0.853;0.828;0.735;0.803;0.778;1.0;0.76;0.697;0.72;0.76;0.895;0.871;0.9;0.876;0.921;0.424;0.14
ENSMUST00000120128_90_90;0.412;0.661;0.303;0.817;0.838;0.631;0.609;0.754;0.639;0.778;0.657;0.823;0.797;0.865;0.791;0.691;0.635;0.746;0.824;0.801;0.865;0.786;0.76;0.97;0.949;0.92;0.76;1.0;0.908;0.935;0.891;0.752;0.728;0.798;0.808;0.772;0.336;0.159
ENSMUST00000120144_90_90;0.4;0.641;0.295;0.815;0.809;0.632;0.644;0.794;0.621;0.777;0.659;0.754;0.771;0.791;0.833;0.635;0.67;0.686;0.752;0.879;0.95;0.82;0.842;0.933;0.865;0.887;0.697;0.908;1.0;0.972;0.926;0.785;0.804;0.77;0.78;0.746;0.325;0.151
ENSMUST00000120292_90_90;0.393;0.629;0.29;0.839;0.791;0.653;0.632;0.777;0.609;0.8;0.68;0.778;0.754;0.817;0.815;0.657;0.659;0.709;0.776;0.859;0.926;0.846;0.82;0.908;0.891;0.865;0.72;0.935;0.972;1.0;0.952;0.809;0.785;0.752;0.76;0.728;0.318;0.145
ENSMUST00000120445_90_90;0.377;0.669;0.279;0.8;0.754;0.692;0.671;0.822;0.649;0.845;0.653;0.824;0.8;0.778;0.777;0.631;0.632;0.749;0.819;0.82;0.974;0.809;0.785;0.865;0.939;0.913;0.76;0.891;0.926;0.952;1.0;0.853;0.827;0.794;0.728;0.77;0.304;0.139
ENSMUST00000120673_90_90;0.489;0.795;0.257;0.673;0.629;0.652;0.631;0.692;0.611;0.714;0.615;0.693;0.67;0.652;0.651;0.595;0.594;0.841;0.916;0.692;0.827;0.954;0.928;0.728;0.796;0.77;0.895;0.752;0.785;0.809;0.853;1.0;0.973;0.89;0.867;0.912;0.419;0.14
ENSMUST00000121641_90_90;0.498;0.811;0.261;0.651;0.643;0.631;0.643;0.706;0.624;0.692;0.594;0.67;0.684;0.629;0.665;0.574;0.606;0.819;0.89;0.707;0.849;0.928;0.954;0.746;0.77;0.79;0.871;0.728;0.804;0.785;0.827;0.973;1.0;0.913;0.889;0.936;0.427;0.146
ENSMUST00000121707_90_90;0.514;0.838;0.268;0.651;0.702;0.6;0.612;0.707;0.642;0.692;0.563;0.729;0.746;0.685;0.664;0.59;0.574;0.885;0.972;0.674;0.815;0.847;0.868;0.82;0.843;0.867;0.9;0.798;0.77;0.752;0.794;0.89;0.913;1.0;0.923;0.972;0.443;0.153
ENSMUST00000122037_90_90;0.549;0.81;0.284;0.657;0.709;0.574;0.585;0.643;0.615;0.629;0.596;0.662;0.677;0.692;0.67;0.626;0.609;0.818;0.898;0.681;0.746;0.908;0.933;0.832;0.772;0.792;0.876;0.808;0.78;0.76;0.728;0.867;0.889;0.923;1.0;0.95;0.475;0.17
ENSMUST00000122356_90_90;0.524;0.856;0.272;0.629;0.677;0.611;0.624;0.684;0.656;0.67;0.574;0.706;0.721;0.662;0.643;0.602;0.585;0.861;0.945;0.653;0.79;0.867;0.889;0.792;0.818;0.839;0.921;0.772;0.746;0.728;0.77;0.912;0.936;0.972;0.95;1.0;0.452;0.161
ENSMUST00000124117_90_90;0.634;0.416;0.393;0.261;0.278;0.225;0.228;0.254;0.237;0.25;0.233;0.261;0.266;0.273;0.265;0.243;0.237;0.419;0.432;0.261;0.31;0.439;0.448;0.344;0.321;0.328;0.424;0.336;0.325;0.318;0.304;0.419;0.427;0.443;0.475;0.452;1.0;0.0
ENSMUST00000132375_90_90;0.0;0.128;0.0;0.121;0.138;0.108;0.112;0.12;0.122;0.115;0.113;0.126;0.131;0.133;0.126;0.122;0.117;0.107;0.146;0.145;0.144;0.147;0.154;0.166;0.15;0.158;0.14;0.159;0.151;0.145;0.139;0.14;0.146;0.153;0.17;0.161;0.0;1.0
