;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript46_ENSMSIG00000000513;0.469;0.536;0.831;0.744;0.295;0.748;0.748;0.742;0.853;0.853;1.0;1.0;0.524;0.492;0.378;0.378;0.3;0.835;0.527;0.532;0.485;0.485;0.481;0.281;0.353;0.514;0.514;0.582;0.49;0.378;0.514
transcript48_ENSMSIG00000000513;0.469;0.536;0.831;0.744;0.295;0.748;0.748;0.742;0.853;0.853;1.0;1.0;0.524;0.492;0.378;0.378;0.3;0.835;0.527;0.532;0.485;0.485;0.481;0.281;0.353;0.514;0.514;0.582;0.49;0.378;0.514
transcript22_MGP-CAROLIEiJ-G0020234;0.265;0.425;0.448;0.686;0.718;0.426;0.426;0.421;0.446;0.446;0.524;0.524;1.0;0.968;0.853;0.853;0.775;0.642;0.984;0.971;0.789;0.789;0.785;0.794;0.875;0.92;0.92;0.92;0.761;0.786;0.882
transcript8_MGP-CAROLIEiJ-G0020234;0.273;0.445;0.415;0.644;0.742;0.4;0.4;0.395;0.414;0.414;0.492;0.492;0.968;1.0;0.881;0.881;0.8;0.596;0.952;0.939;0.763;0.763;0.76;0.815;0.897;0.889;0.889;0.889;0.735;0.812;0.85
transcript32_MGP-CAROLIEiJ-G0020234;0.306;0.513;0.3;0.492;0.841;0.307;0.307;0.302;0.3;0.3;0.378;0.378;0.853;0.881;1.0;1.0;0.908;0.43;0.839;0.826;0.673;0.673;0.669;0.895;0.986;0.777;0.777;0.777;0.643;0.921;0.735
transcript42_MGP-CAROLIEiJ-G0020234;0.306;0.513;0.3;0.492;0.841;0.307;0.307;0.302;0.3;0.3;0.378;0.378;0.853;0.881;1.0;1.0;0.908;0.43;0.839;0.826;0.673;0.673;0.669;0.895;0.986;0.777;0.777;0.777;0.643;0.921;0.735
transcript33_MGP-CAROLIEiJ-G0020234;0.333;0.53;0.326;0.388;0.923;0.244;0.244;0.245;0.325;0.325;0.3;0.3;0.775;0.8;0.908;0.908;1.0;0.485;0.761;0.749;0.611;0.611;0.607;0.985;0.895;0.701;0.701;0.701;0.58;0.829;0.657
transcript41_MGP-SPRETEiJ-G0021131;0.544;0.586;0.978;0.625;0.473;0.618;0.618;0.623;0.978;0.978;0.835;0.835;0.642;0.596;0.43;0.43;0.485;1.0;0.656;0.66;0.5;0.5;0.494;0.528;0.465;0.616;0.616;0.616;0.491;0.424;0.623
transcript22_MGP-SPRETEiJ-G0021131;0.274;0.45;0.442;0.735;0.719;0.444;0.444;0.439;0.449;0.449;0.527;0.527;0.984;0.952;0.839;0.839;0.761;0.656;1.0;0.979;0.824;0.824;0.82;0.802;0.883;0.922;0.922;0.922;0.785;0.787;0.875
transcript36_ENSMUSG00000054036;0.275;0.459;0.447;0.848;0.707;0.486;0.486;0.481;0.454;0.454;0.532;0.532;0.971;0.939;0.826;0.826;0.749;0.66;0.979;1.0;0.88;0.88;0.876;0.79;0.87;0.908;0.908;0.908;0.836;0.789;0.877
transcript34_ENSMUGG00000013592;0.325;0.539;0.353;1.0;0.578;0.648;0.648;0.644;0.358;0.358;0.485;0.485;0.789;0.763;0.673;0.673;0.611;0.5;0.824;0.88;1.0;1.0;0.997;0.588;0.646;0.773;0.773;0.798;0.948;0.633;0.703
transcript35_ENSMUGG00000013592;0.325;0.539;0.353;1.0;0.578;0.648;0.648;0.644;0.358;0.358;0.485;0.485;0.789;0.763;0.673;0.673;0.611;0.5;0.824;0.88;1.0;1.0;0.997;0.588;0.646;0.773;0.773;0.798;0.948;0.633;0.703
transcript18_ENSMUGG00000013592;0.32;0.532;0.349;0.995;0.581;0.645;0.645;0.641;0.354;0.354;0.481;0.481;0.785;0.76;0.669;0.669;0.607;0.494;0.82;0.876;0.997;0.997;1.0;0.584;0.642;0.776;0.776;0.802;0.952;0.636;0.706
transcript33_ENSMUGG00000013592;0.34;0.553;0.335;0.362;0.928;0.233;0.233;0.234;0.343;0.343;0.281;0.281;0.794;0.815;0.895;0.895;0.985;0.528;0.802;0.79;0.588;0.588;0.584;1.0;0.909;0.736;0.736;0.656;0.553;0.835;0.681
transcript32_ENSMUGG00000013592;0.312;0.535;0.308;0.456;0.846;0.293;0.293;0.288;0.316;0.316;0.353;0.353;0.875;0.897;0.986;0.986;0.895;0.465;0.883;0.87;0.646;0.646;0.642;0.909;1.0;0.815;0.815;0.727;0.612;0.926;0.761
transcript23_ENSRNOG00000031503;0.255;0.403;0.43;0.672;0.748;0.418;0.418;0.413;0.435;0.435;0.514;0.514;0.92;0.889;0.777;0.777;0.701;0.616;0.922;0.908;0.773;0.773;0.776;0.736;0.815;1.0;1.0;1.0;0.821;0.819;0.909
transcript21_ENSRNOG00000031503;0.255;0.403;0.43;0.672;0.748;0.418;0.418;0.413;0.435;0.435;0.514;0.514;0.92;0.889;0.777;0.777;0.701;0.616;0.922;0.908;0.773;0.773;0.776;0.736;0.815;1.0;1.0;1.0;0.821;0.819;0.909
transcript19_ENSRNOG00000031503;0.255;0.403;0.43;0.73;0.748;0.486;0.486;0.481;0.435;0.435;0.582;0.582;0.92;0.889;0.777;0.777;0.701;0.616;0.922;0.908;0.798;0.798;0.802;0.656;0.727;1.0;1.0;1.0;0.842;0.819;0.909
transcript18_ENSRNOG00000031503;0.314;0.51;0.354;0.961;0.614;0.64;0.64;0.636;0.358;0.358;0.49;0.49;0.761;0.735;0.643;0.643;0.58;0.491;0.785;0.836;0.948;0.948;0.952;0.553;0.612;0.821;0.821;0.842;1.0;0.672;0.747
transcript32_ENSRNOG00000031503;0.303;0.51;0.292;0.477;0.895;0.306;0.306;0.301;0.297;0.297;0.378;0.378;0.786;0.812;0.921;0.921;0.829;0.424;0.787;0.789;0.633;0.633;0.636;0.835;0.926;0.819;0.819;0.819;0.672;1.0;0.783
transcript9_ENSRNOG00000031503;0.247;0.392;0.431;0.632;0.696;0.413;0.413;0.408;0.43;0.43;0.514;0.514;0.882;0.85;0.735;0.735;0.657;0.623;0.875;0.877;0.703;0.703;0.706;0.681;0.761;0.909;0.909;0.909;0.747;0.783;1.0
