;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript26_ENSCGRG00000018457;0.431;1.0;0.431;0.431;0.38;0.249;0.21;1.0;0.89;1.0;0.949;1.0;1.0;0.983;0.964;0.996;0.997;0.915;0.915;0.947;0.877;0.979;0.853;0.854;0.979;0.921;0.979
transcript26_ENSCGRG00001010245;0.431;1.0;0.431;0.431;0.38;0.249;0.21;1.0;0.89;1.0;0.949;1.0;1.0;0.983;0.964;0.996;0.997;0.915;0.915;0.947;0.877;0.979;0.853;0.854;0.979;0.921;0.979
transcript42_ENSCGRG00000018457;0.431;1.0;0.431;0.431;0.382;0.249;0.212;0.983;0.874;0.983;0.936;0.983;0.983;1.0;0.98;0.996;0.997;0.901;0.901;0.934;0.861;0.962;0.836;0.838;0.962;0.905;0.962
transcript43_ENSCGRG00000018457;0.431;1.0;0.431;0.431;0.385;0.249;0.214;0.964;0.854;0.964;0.917;0.964;0.964;0.98;1.0;0.975;0.978;0.882;0.882;0.915;0.841;0.943;0.817;0.818;0.943;0.886;0.943
transcript7_ENSCGRG00001010245;0.431;1.0;0.431;0.431;0.382;0.249;0.212;0.996;0.996;0.996;0.949;0.996;0.996;0.996;0.975;1.0;1.0;0.909;0.909;0.947;0.857;0.972;0.829;0.831;0.972;0.907;0.972
transcript29_ENSCGRG00001010245;0.431;1.0;0.431;0.431;0.382;0.249;0.212;0.997;0.886;0.997;0.947;0.997;0.997;0.997;0.978;1.0;1.0;0.912;0.912;0.946;0.873;0.975;0.848;0.849;0.975;0.917;0.975
transcript15_ENSPEMG00000024651;0.432;0.939;0.432;0.432;0.364;0.256;0.205;0.915;0.82;0.915;0.962;0.915;0.915;0.901;0.882;0.909;0.912;1.0;1.0;0.96;0.856;0.933;0.83;0.829;0.933;0.885;0.933
transcript24_ENSPEMG00000024651;0.432;0.939;0.432;0.432;0.364;0.256;0.205;0.915;0.82;0.915;0.962;0.915;0.915;0.901;0.882;0.909;0.912;1.0;1.0;0.96;0.856;0.933;0.83;0.829;0.933;0.885;0.933
transcript31_ENSPEMG00000024651;0.416;0.939;0.416;0.416;0.367;0.243;0.207;0.947;0.851;0.947;0.998;0.947;0.947;0.934;0.915;0.947;0.946;0.96;0.96;1.0;0.849;0.927;0.824;0.825;0.927;0.878;0.927
transcript5_ENSNGAG00000018584;0.378;0.829;0.378;0.378;0.322;0.225;0.181;0.877;0.769;0.877;0.851;0.877;0.877;0.861;0.841;0.857;0.873;0.856;0.856;0.849;1.0;0.891;0.972;0.97;0.891;0.852;0.891
transcript5_ENSSTOG00000019743;0.431;1.0;0.431;0.431;0.365;0.249;0.2;0.979;0.871;0.979;0.929;0.979;0.979;0.962;0.943;0.972;0.975;0.933;0.933;0.927;0.891;1.0;0.867;0.865;1.0;0.943;1.0
transcript17_ENSNGAG00000018584;0.321;0.698;0.321;0.321;0.274;0.149;0.12;0.853;0.744;0.853;0.826;0.853;0.853;0.836;0.817;0.829;0.848;0.83;0.83;0.824;0.972;0.867;1.0;0.998;0.867;0.827;0.867
transcript20_ENSNGAG00000018584;0.321;0.698;0.321;0.321;0.275;0.149;0.121;0.854;0.745;0.854;0.827;0.854;0.854;0.838;0.818;0.831;0.849;0.829;0.829;0.825;0.97;0.865;0.998;1.0;0.865;0.825;0.865
transcript12_ENSSTOG00000019743;0.431;1.0;0.431;0.431;0.365;0.249;0.2;0.979;0.871;0.979;0.929;0.979;0.979;0.962;0.943;0.972;0.975;0.933;0.933;0.927;0.891;1.0;0.867;0.865;1.0;0.943;1.0
transcript13_ENSSTOG00000019743;0.309;0.715;0.309;0.309;0.26;0.087;0.068;0.921;0.814;0.921;0.88;0.921;0.921;0.905;0.886;0.907;0.917;0.885;0.885;0.878;0.852;0.943;0.827;0.825;0.943;1.0;0.943
transcript14_ENSSTOG00000019743;0.431;1.0;0.431;0.431;0.365;0.249;0.2;0.979;0.871;0.979;0.929;0.979;0.979;0.962;0.943;0.972;0.975;0.933;0.933;0.927;0.891;1.0;0.867;0.865;1.0;0.943;1.0
