;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript7_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript54_ENSMUSG00000054036;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript57_MGP-PahariEiJ-G0020237;transcript70_MGP-SPRETEiJ-G0021131
transcript60_MGP-CAROLIEiJ-G0020234;0.659;0.6;0.602;0.447;0.68;0.657;0.705;0.635;0.496;0.838;1.0;0.514;0.674;0.505;0.663;0.67;0.791;0.448;0.432;0.432;0.504;0.44
transcript59_MGP-SPRETEiJ-G0021131;0.606;0.559;0.65;0.865;0.551;0.535;0.516;0.519;0.718;0.586;0.514;1.0;0.743;0.99;0.733;0.543;0.476;0.858;0.841;0.841;0.719;0.85
transcript59_MGP-CAROLIEiJ-G0020234;0.592;0.543;0.544;0.647;0.537;0.52;0.513;0.504;0.629;0.587;0.674;0.743;1.0;0.733;0.988;0.529;0.607;0.645;0.628;0.628;0.637;0.636
transcript61_MGP-SPRETEiJ-G0021131;0.596;0.55;0.641;0.856;0.543;0.527;0.508;0.511;0.71;0.577;0.505;0.99;0.733;1.0;0.74;0.535;0.468;0.85;0.832;0.832;0.711;0.841
transcript61_MGP-CAROLIEiJ-G0020234;0.583;0.533;0.534;0.639;0.529;0.512;0.504;0.496;0.621;0.577;0.663;0.733;0.988;0.74;1.0;0.521;0.598;0.636;0.62;0.62;0.63;0.628
transcript50_ENSMSIG00000000513;0.718;0.636;0.654;0.595;0.99;0.942;0.874;0.951;0.604;0.798;0.67;0.543;0.529;0.535;0.521;1.0;0.85;0.594;0.579;0.579;0.733;0.586
transcript50_MGP-CAROLIEiJ-G0020234;0.624;0.558;0.574;0.519;0.86;0.798;0.748;0.808;0.53;0.684;0.791;0.476;0.607;0.468;0.598;0.85;1.0;0.519;0.504;0.504;0.637;0.511
transcript62_MGP-SPRETEiJ-G0021131;0.605;0.562;0.646;0.973;0.602;0.634;0.617;0.617;0.709;0.512;0.448;0.858;0.645;0.85;0.636;0.594;0.519;1.0;0.982;0.982;0.81;0.991
transcript69_MGP-SPRETEiJ-G0021131;0.588;0.545;0.628;0.956;0.586;0.618;0.602;0.614;0.694;0.496;0.432;0.841;0.628;0.832;0.62;0.579;0.504;0.982;1.0;0.965;0.796;0.973
transcript72_MGP-SPRETEiJ-G0021131;0.602;0.558;0.643;0.956;0.586;0.618;0.602;0.602;0.694;0.496;0.432;0.841;0.628;0.832;0.62;0.579;0.504;0.982;0.965;1.0;0.796;0.973
transcript57_MGP-PahariEiJ-G0020237;0.578;0.54;0.541;0.788;0.741;0.748;0.696;0.756;0.806;0.585;0.504;0.719;0.637;0.711;0.63;0.733;0.637;0.81;0.796;0.796;1.0;0.803
transcript70_MGP-SPRETEiJ-G0021131;0.597;0.554;0.637;0.965;0.594;0.626;0.609;0.609;0.701;0.504;0.44;0.85;0.636;0.841;0.628;0.586;0.511;0.991;0.973;0.973;0.803;1.0
