;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript32_MGP-CAROLIEiJ-G0020234;0.302;0.302;0.27;0.266;0.297;0.295;0.297;0.3;0.324;0.27;0.324;0.265;0.837;0.853;0.833;0.881;1.0;0.912;0.986;0.908;0.83;0.895;1.0;0.729;0.564;0.592;0.667;0.77;0.77;0.596;0.596
transcript32_ENSRNOG00000031503;0.302;0.302;0.269;0.265;0.297;0.295;0.297;0.289;0.324;0.269;0.324;0.264;0.785;0.779;0.796;0.805;0.912;1.0;0.926;0.821;0.893;0.835;0.912;0.783;0.591;0.562;0.703;0.819;0.819;0.56;0.56
transcript32_ENSMUGG00000013592;0.309;0.309;0.275;0.271;0.304;0.302;0.304;0.296;0.329;0.275;0.329;0.27;0.849;0.843;0.845;0.871;0.986;0.926;1.0;0.895;0.844;0.909;0.986;0.734;0.573;0.601;0.677;0.782;0.782;0.605;0.605
transcript33_MGP-CAROLIEiJ-G0020234;0.329;0.329;0.214;0.21;0.323;0.32;0.323;0.325;0.256;0.214;0.256;0.215;0.759;0.775;0.755;0.8;0.908;0.821;0.895;1.0;0.913;0.985;0.908;0.651;0.509;0.537;0.601;0.695;0.695;0.541;0.541
transcript33_ENSRNOG00000031503;0.327;0.327;0.21;0.206;0.321;0.318;0.321;0.312;0.253;0.21;0.253;0.211;0.716;0.71;0.712;0.733;0.83;0.893;0.844;0.913;1.0;0.928;0.83;0.695;0.539;0.513;0.641;0.747;0.747;0.511;0.511
transcript33_ENSMUGG00000013592;0.336;0.336;0.219;0.215;0.33;0.328;0.33;0.321;0.262;0.219;0.262;0.22;0.771;0.765;0.767;0.791;0.895;0.835;0.909;0.985;0.928;1.0;0.895;0.656;0.517;0.546;0.611;0.706;0.706;0.55;0.55
transcript42_MGP-CAROLIEiJ-G0020234;0.302;0.302;0.27;0.266;0.297;0.295;0.297;0.3;0.324;0.27;0.324;0.265;0.837;0.853;0.833;0.881;1.0;0.912;0.986;0.908;0.83;0.895;1.0;0.729;0.564;0.592;0.667;0.77;0.77;0.596;0.596
transcript9_ENSRNOG00000031503;0.247;0.247;0.362;0.358;0.43;0.428;0.43;0.428;0.439;0.362;0.439;0.357;0.873;0.874;0.884;0.842;0.729;0.783;0.734;0.651;0.695;0.656;0.729;1.0;0.656;0.624;0.781;0.909;0.909;0.622;0.622
transcript18_ENSRNOG00000031503;0.278;0.278;0.64;0.634;0.316;0.314;0.316;0.31;0.49;0.64;0.49;0.636;0.672;0.668;0.67;0.645;0.564;0.591;0.573;0.509;0.539;0.517;0.564;0.656;1.0;0.952;0.84;0.721;0.721;0.948;0.948
transcript18_ENSMUGG00000013592;0.284;0.284;0.644;0.639;0.314;0.312;0.314;0.308;0.481;0.644;0.481;0.64;0.699;0.695;0.696;0.672;0.592;0.562;0.601;0.537;0.513;0.546;0.592;0.624;0.952;1.0;0.799;0.686;0.686;0.996;0.996
transcript19_ENSRNOG00000031503;0.222;0.222;0.484;0.48;0.375;0.373;0.375;0.368;0.582;0.484;0.582;0.48;0.795;0.79;0.791;0.763;0.667;0.703;0.677;0.601;0.641;0.611;0.667;0.781;0.84;0.799;1.0;0.859;0.859;0.796;0.796
transcript21_ENSRNOG00000031503;0.254;0.254;0.368;0.365;0.435;0.433;0.435;0.427;0.443;0.368;0.443;0.364;0.918;0.912;0.914;0.881;0.77;0.819;0.782;0.695;0.747;0.706;0.77;0.909;0.721;0.686;0.859;1.0;1.0;0.684;0.684
transcript23_ENSRNOG00000031503;0.254;0.254;0.368;0.365;0.435;0.433;0.435;0.427;0.443;0.368;0.443;0.364;0.918;0.912;0.914;0.881;0.77;0.819;0.782;0.695;0.747;0.706;0.77;0.909;0.721;0.686;0.859;1.0;1.0;0.684;0.684
transcript34_ENSMUGG00000013592;0.288;0.288;0.648;0.643;0.318;0.316;0.318;0.312;0.485;0.648;0.485;0.644;0.703;0.699;0.7;0.677;0.596;0.56;0.605;0.541;0.511;0.55;0.596;0.622;0.948;0.996;0.796;0.684;0.684;1.0;1.0
transcript35_ENSMUGG00000013592;0.288;0.288;0.648;0.643;0.318;0.316;0.318;0.312;0.485;0.648;0.485;0.644;0.703;0.699;0.7;0.677;0.596;0.56;0.605;0.541;0.511;0.55;0.596;0.622;0.948;0.996;0.796;0.684;0.684;1.0;1.0
