;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENST00000439698_90_90;0.345;0.344;0.345;0.345;0.345;0.344;0.911;0.344;0.553;0.9;0.623;0.797;0.275;0.78;1.0;0.835;0.34;0.341;0.151;0.566;0.133;0.586;0.833;0.109;0.672;0.341
ENST00000453286_90_90;0.288;0.287;0.288;0.288;0.288;0.287;0.917;0.287;0.662;0.752;0.746;0.954;0.33;0.651;0.835;1.0;0.284;0.285;0.18;0.677;0.156;0.7;0.962;0.13;0.803;0.285
ENSMUST00000019050_90_90;0.956;0.994;0.919;0.919;0.919;0.994;0.31;0.994;0.187;0.378;0.211;0.271;0.093;0.378;0.34;0.284;1.0;0.925;0.053;0.202;0.052;0.209;0.295;0.038;0.239;0.925
ENSMUST00000093107_90_90;0.994;0.919;0.994;0.994;0.994;0.919;0.311;0.919;0.188;0.379;0.212;0.272;0.094;0.38;0.341;0.285;0.925;1.0;0.054;0.203;0.053;0.21;0.296;0.038;0.24;1.0
ENSMUST00000125132_90_90;0.052;0.052;0.052;0.052;0.052;0.052;0.165;0.052;0.27;0.136;0.24;0.188;0.532;0.143;0.151;0.18;0.053;0.054;1.0;0.242;0.451;0.235;0.172;0.0;0.208;0.054
ENSMUST00000126840_90_90;0.197;0.196;0.197;0.197;0.197;0.196;0.621;0.196;0.923;0.511;0.903;0.709;0.463;0.511;0.566;0.677;0.202;0.203;0.242;1.0;0.223;0.967;0.686;0.183;0.847;0.203
ENSMUST00000129499_90_90;0.049;0.049;0.049;0.049;0.049;0.049;0.144;0.049;0.221;0.121;0.2;0.162;0.376;0.147;0.133;0.156;0.052;0.053;0.451;0.223;1.0;0.217;0.162;0.0;0.194;0.053
ENSMUST00000135653_90_90;0.204;0.203;0.204;0.204;0.204;0.203;0.642;0.203;0.893;0.528;0.934;0.733;0.448;0.529;0.586;0.7;0.209;0.21;0.235;0.967;0.217;1.0;0.709;0.177;0.875;0.21
ENSMUST00000138477_90_90;0.29;0.289;0.29;0.29;0.29;0.289;0.914;0.289;0.634;0.751;0.716;0.918;0.317;0.748;0.833;0.962;0.295;0.296;0.172;0.686;0.162;0.709;1.0;0.127;0.811;0.296
ENSMUST00000141258_90_90;0.038;0.037;0.038;0.038;0.038;0.037;0.119;0.037;0.197;0.098;0.174;0.136;0.198;0.095;0.109;0.13;0.038;0.038;0.0;0.183;0.0;0.177;0.127;1.0;0.156;0.038
ENSMUST00000151218_90_90;0.234;0.233;0.234;0.234;0.234;0.233;0.737;0.233;0.782;0.606;0.883;0.841;0.392;0.605;0.672;0.803;0.239;0.24;0.208;0.847;0.194;0.875;0.811;0.156;1.0;0.24
ENSMUST00000174616_90_90;0.994;0.919;0.994;0.994;0.994;0.919;0.311;0.919;0.188;0.379;0.212;0.272;0.094;0.38;0.341;0.285;0.925;1.0;0.054;0.203;0.053;0.21;0.296;0.038;0.24;1.0
