;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENST00000512091_90_90;0.408;0.686;0.371;0.943;0.953;0.753;0.714;0.86;0.75;0.901;0.784;0.953;0.908;1.0;0.899;0.828;0.743;0.779;0.758;0.731;0.774;0.731;0.691;0.853;0.855;0.813;0.71;0.897;0.809;0.85;0.812;0.702;0.663;0.717;0.726;0.696;0.336;0.109
ENST00000514157_90_90;0.402;0.678;0.366;0.957;0.94;0.764;0.796;0.954;0.742;0.914;0.795;0.86;0.896;0.899;1.0;0.743;0.83;0.703;0.683;0.805;0.823;0.712;0.738;0.839;0.774;0.801;0.668;0.809;0.861;0.832;0.795;0.684;0.708;0.709;0.717;0.688;0.331;0.108
ENST00000514591_90_90;0.534;0.828;0.502;0.784;0.783;0.903;0.858;0.714;0.907;0.753;0.943;0.794;0.75;0.828;0.743;1.0;0.896;0.892;0.869;0.619;0.663;0.879;0.834;0.726;0.737;0.696;0.851;0.769;0.691;0.731;0.702;0.843;0.8;0.825;0.881;0.842;0.464;0.112
ENST00000514996_90_90;0.526;0.818;0.495;0.795;0.774;0.913;0.956;0.796;0.897;0.764;0.954;0.714;0.742;0.743;0.83;0.896;1.0;0.805;0.785;0.686;0.708;0.854;0.889;0.717;0.663;0.688;0.802;0.691;0.738;0.712;0.684;0.819;0.851;0.815;0.869;0.832;0.457;0.112
ENSMUST00000036068_90_90;0.503;0.821;0.471;0.741;0.738;0.888;0.847;0.742;0.891;0.78;0.847;0.821;0.779;0.779;0.703;0.892;0.805;1.0;0.897;0.589;0.693;0.794;0.754;0.686;0.766;0.726;0.843;0.726;0.655;0.693;0.731;0.833;0.793;0.854;0.79;0.832;0.434;0.08
ENSMUST00000072521_90_90;0.51;0.799;0.479;0.722;0.717;0.867;0.825;0.723;0.867;0.76;0.826;0.799;0.758;0.758;0.683;0.869;0.785;0.897;1.0;0.649;0.768;0.879;0.836;0.768;0.855;0.81;0.931;0.811;0.728;0.769;0.81;0.922;0.877;0.952;0.882;0.927;0.442;0.135
ENSMUST00000117253_90_90;0.371;0.587;0.308;0.78;0.752;0.64;0.66;0.77;0.612;0.747;0.665;0.699;0.72;0.731;0.805;0.619;0.686;0.589;0.649;1.0;0.848;0.705;0.731;0.831;0.766;0.793;0.668;0.801;0.887;0.855;0.817;0.677;0.702;0.671;0.678;0.651;0.275;0.135
ENSMUST00000117407_90_90;0.368;0.641;0.357;0.795;0.801;0.722;0.748;0.867;0.728;0.838;0.684;0.817;0.846;0.774;0.823;0.663;0.708;0.693;0.768;0.848;1.0;0.759;0.792;0.893;0.901;0.941;0.72;0.856;0.953;0.911;0.957;0.799;0.833;0.802;0.736;0.778;0.322;0.134
ENSMUST00000117985_90_90;0.517;0.737;0.485;0.75;0.691;0.86;0.819;0.684;0.8;0.721;0.897;0.702;0.663;0.731;0.712;0.879;0.854;0.794;0.879;0.705;0.759;1.0;0.952;0.737;0.748;0.707;0.861;0.78;0.791;0.834;0.8;0.957;0.91;0.836;0.892;0.854;0.448;0.136
ENSMUST00000118034_90_90;0.505;0.73;0.505;0.712;0.717;0.819;0.851;0.708;0.832;0.684;0.854;0.663;0.688;0.691;0.738;0.834;0.889;0.754;0.836;0.731;0.792;0.952;1.0;0.768;0.707;0.736;0.819;0.737;0.827;0.791;0.759;0.91;0.954;0.872;0.935;0.893;0.465;0.147
ENSMUST00000118078_90_90;0.402;0.629;0.394;0.809;0.887;0.663;0.688;0.801;0.724;0.774;0.691;0.813;0.845;0.853;0.839;0.726;0.717;0.686;0.768;0.831;0.893;0.737;0.768;1.0;0.905;0.95;0.714;0.951;0.938;0.896;0.856;0.707;0.736;0.803;0.816;0.779;0.355;0.152
ENSMUST00000118442_90_90;0.396;0.677;0.362;0.812;0.813;0.741;0.703;0.817;0.737;0.855;0.702;0.901;0.859;0.855;0.774;0.737;0.663;0.766;0.855;0.766;0.901;0.748;0.707;0.905;1.0;0.953;0.796;0.952;0.856;0.899;0.944;0.788;0.747;0.81;0.744;0.787;0.327;0.134
ENSMUST00000119385_90_90;0.385;0.67;0.376;0.774;0.845;0.703;0.728;0.846;0.766;0.817;0.663;0.859;0.893;0.813;0.801;0.696;0.688;0.726;0.81;0.793;0.941;0.707;0.736;0.95;0.953;1.0;0.755;0.905;0.893;0.856;0.901;0.747;0.778;0.849;0.779;0.823;0.339;0.145
ENSMUST00000119788_90_90;0.529;0.817;0.47;0.706;0.67;0.885;0.843;0.707;0.851;0.744;0.844;0.749;0.71;0.71;0.668;0.851;0.802;0.843;0.931;0.668;0.72;0.861;0.819;0.714;0.796;0.755;1.0;0.756;0.68;0.719;0.758;0.902;0.859;0.887;0.863;0.906;0.433;0.13
ENSMUST00000120128_90_90;0.414;0.637;0.378;0.85;0.853;0.702;0.663;0.774;0.696;0.812;0.731;0.855;0.813;0.897;0.809;0.769;0.691;0.726;0.811;0.801;0.856;0.78;0.737;0.951;0.952;0.905;0.756;1.0;0.896;0.942;0.899;0.748;0.707;0.768;0.778;0.744;0.341;0.141
ENSMUST00000120144_90_90;0.384;0.603;0.372;0.832;0.839;0.684;0.708;0.823;0.688;0.795;0.712;0.774;0.801;0.809;0.861;0.691;0.738;0.655;0.728;0.887;0.953;0.791;0.827;0.938;0.856;0.893;0.68;0.896;1.0;0.955;0.911;0.759;0.792;0.759;0.768;0.736;0.337;0.14
ENSMUST00000120292_90_90;0.396;0.611;0.36;0.871;0.809;0.721;0.684;0.795;0.663;0.833;0.75;0.812;0.774;0.85;0.832;0.731;0.712;0.693;0.769;0.855;0.911;0.834;0.791;0.896;0.899;0.856;0.719;0.942;0.955;1.0;0.955;0.8;0.759;0.728;0.737;0.707;0.325;0.13
ENSMUST00000120445_90_90;0.38;0.648;0.345;0.833;0.774;0.76;0.722;0.838;0.703;0.875;0.721;0.855;0.817;0.812;0.795;0.702;0.684;0.731;0.81;0.817;0.957;0.8;0.759;0.856;0.944;0.901;0.758;0.899;0.911;0.955;1.0;0.841;0.799;0.768;0.707;0.747;0.311;0.125
ENSMUST00000120673_90_90;0.495;0.776;0.464;0.721;0.663;0.901;0.859;0.722;0.841;0.76;0.86;0.741;0.703;0.702;0.684;0.843;0.819;0.833;0.922;0.677;0.799;0.957;0.91;0.707;0.788;0.747;0.902;0.748;0.759;0.8;0.841;1.0;0.954;0.877;0.854;0.896;0.428;0.13
ENSMUST00000121641_90_90;0.484;0.771;0.482;0.684;0.688;0.859;0.893;0.748;0.875;0.722;0.819;0.703;0.728;0.663;0.708;0.8;0.851;0.793;0.877;0.702;0.833;0.91;0.954;0.736;0.747;0.778;0.859;0.707;0.792;0.759;0.799;0.954;1.0;0.916;0.893;0.939;0.444;0.14
ENSMUST00000121707_90_90;0.499;0.794;0.499;0.683;0.746;0.825;0.857;0.749;0.904;0.723;0.785;0.758;0.789;0.717;0.709;0.825;0.815;0.854;0.952;0.671;0.802;0.836;0.872;0.803;0.81;0.849;0.887;0.768;0.759;0.728;0.768;0.877;0.916;1.0;0.926;0.973;0.459;0.147
ENSMUST00000122037_90_90;0.53;0.765;0.536;0.691;0.756;0.8;0.832;0.688;0.88;0.663;0.834;0.696;0.724;0.726;0.717;0.881;0.869;0.79;0.882;0.678;0.736;0.892;0.935;0.816;0.744;0.779;0.863;0.778;0.768;0.737;0.707;0.854;0.893;0.926;1.0;0.951;0.493;0.162
ENSMUST00000122356_90_90;0.507;0.808;0.51;0.663;0.724;0.841;0.875;0.728;0.926;0.703;0.8;0.737;0.766;0.696;0.688;0.842;0.832;0.832;0.927;0.651;0.778;0.854;0.893;0.779;0.787;0.823;0.906;0.744;0.736;0.707;0.747;0.896;0.939;0.973;0.951;1.0;0.469;0.153
ENSMUST00000124117_90_90;0.603;0.398;0.913;0.32;0.349;0.422;0.436;0.317;0.46;0.307;0.441;0.322;0.333;0.336;0.331;0.464;0.457;0.434;0.442;0.275;0.322;0.448;0.465;0.355;0.327;0.339;0.433;0.341;0.337;0.325;0.311;0.428;0.444;0.459;0.493;0.469;1.0;0.0
ENSMUST00000132375_90_90;0.0;0.116;0.0;0.102;0.116;0.1;0.107;0.104;0.116;0.097;0.105;0.104;0.111;0.109;0.108;0.112;0.112;0.08;0.135;0.135;0.134;0.136;0.147;0.152;0.134;0.145;0.13;0.141;0.14;0.13;0.125;0.13;0.14;0.147;0.162;0.153;0.0;1.0
