;transcript8_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript26_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript43_ENSCGRG00000018457;0.303;0.303;0.303;0.303;0.279;0.983;0.937;0.983;0.983;0.964;1.0;0.927;0.983;0.972;0.927;0.788;0.788;0.831;0.788;0.83;0.635;0.618;0.622;0.956;0.956;0.866;0.956
transcript7_ENSCGRG00001010245;0.308;0.308;0.308;0.308;0.284;0.912;0.954;0.912;0.912;0.893;0.927;1.0;0.912;0.955;1.0;0.771;0.804;0.803;0.804;0.801;0.601;0.584;0.578;0.939;0.939;0.849;0.939
transcript26_ENSCGRG00001010245;0.297;0.297;0.297;0.297;0.274;1.0;0.955;1.0;1.0;0.981;0.983;0.912;1.0;0.956;0.912;0.775;0.791;0.834;0.791;0.833;0.652;0.635;0.639;0.973;0.973;0.883;0.973
transcript29_ENSCGRG00001010245;0.294;0.294;0.294;0.294;0.271;0.956;0.912;0.956;0.956;0.938;0.972;0.955;0.956;1.0;0.955;0.816;0.81;0.808;0.81;0.807;0.645;0.629;0.623;0.983;0.983;0.893;0.983
transcript37_ENSCGRG00001010245;0.308;0.308;0.308;0.308;0.284;0.912;0.954;0.912;0.912;0.893;0.927;1.0;0.912;0.955;1.0;0.771;0.804;0.803;0.804;0.801;0.601;0.584;0.578;0.939;0.939;0.849;0.939
transcript38_ENSCGRG00001010245;0.12;0.12;0.12;0.12;0.118;0.775;0.731;0.775;0.775;0.756;0.788;0.771;0.775;0.816;0.771;1.0;0.671;0.669;0.671;0.668;0.554;0.536;0.53;0.802;0.802;0.712;0.802
transcript15_ENSPEMG00000024651;0.291;0.291;0.291;0.291;0.271;0.791;0.785;0.791;0.791;0.778;0.788;0.804;0.791;0.81;0.804;0.671;1.0;0.944;1.0;0.942;0.512;0.495;0.491;0.813;0.813;0.75;0.813
transcript22_ENSPEMG00000024651;0.291;0.291;0.291;0.291;0.271;0.834;0.829;0.834;0.834;0.821;0.831;0.803;0.834;0.808;0.803;0.669;0.944;1.0;0.944;0.998;0.51;0.493;0.496;0.811;0.811;0.748;0.811
transcript24_ENSPEMG00000024651;0.291;0.291;0.291;0.291;0.271;0.791;0.785;0.791;0.791;0.778;0.788;0.804;0.791;0.81;0.804;0.671;1.0;0.944;1.0;0.942;0.512;0.495;0.491;0.813;0.813;0.75;0.813
transcript31_ENSPEMG00000024651;0.292;0.292;0.292;0.292;0.272;0.833;0.827;0.833;0.833;0.819;0.83;0.801;0.833;0.807;0.801;0.668;0.942;0.998;0.942;1.0;0.509;0.491;0.495;0.81;0.81;0.747;0.81
transcript5_ENSNGAG00000018584;0.255;0.255;0.255;0.255;0.222;0.652;0.608;0.652;0.652;0.644;0.635;0.601;0.652;0.645;0.601;0.554;0.512;0.51;0.512;0.509;1.0;0.975;0.966;0.662;0.662;0.617;0.662
transcript17_ENSNGAG00000018584;0.233;0.233;0.233;0.233;0.2;0.635;0.591;0.635;0.635;0.627;0.618;0.584;0.635;0.629;0.584;0.536;0.495;0.493;0.495;0.491;0.975;1.0;0.991;0.645;0.645;0.599;0.645
transcript20_ENSNGAG00000018584;0.235;0.235;0.235;0.235;0.202;0.639;0.594;0.639;0.639;0.631;0.622;0.578;0.639;0.623;0.578;0.53;0.491;0.496;0.491;0.495;0.966;0.991;1.0;0.639;0.639;0.593;0.639
transcript5_ENSSTOG00000019743;0.289;0.289;0.289;0.289;0.266;0.973;0.928;0.973;0.973;0.954;0.956;0.939;0.973;0.983;0.939;0.802;0.813;0.811;0.813;0.81;0.662;0.645;0.639;1.0;1.0;0.91;1.0
transcript12_ENSSTOG00000019743;0.289;0.289;0.289;0.289;0.266;0.973;0.928;0.973;0.973;0.954;0.956;0.939;0.973;0.983;0.939;0.802;0.813;0.811;0.813;0.81;0.662;0.645;0.639;1.0;1.0;0.91;1.0
transcript13_ENSSTOG00000019743;0.205;0.205;0.205;0.205;0.187;0.883;0.839;0.883;0.883;0.865;0.866;0.849;0.883;0.893;0.849;0.712;0.75;0.748;0.75;0.747;0.617;0.599;0.593;0.91;0.91;1.0;0.91
transcript14_ENSSTOG00000019743;0.289;0.289;0.289;0.289;0.266;0.973;0.928;0.973;0.973;0.954;0.956;0.939;0.973;0.983;0.939;0.802;0.813;0.811;0.813;0.81;0.662;0.645;0.639;1.0;1.0;0.91;1.0
