;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENST00000531224_90_90;0.97;0.879;0.941;0.941;0.971;0.722;0.971;0.706;0.694;0.941;1.0;0.722;0.118;0.235;0.457;0.176;0.722;0.657;1.0;0.969;0.969;0.706;0.061;0.676;0.75
ENST00000532384_90_90;0.788;0.75;0.714;0.714;0.743;1.0;0.694;0.857;0.964;0.667;0.722;1.0;0.0;0.286;0.552;0.062;1.0;0.793;0.706;0.727;0.676;1.0;0.074;0.962;0.515
ENST00000533422_90_90;0.121;0.097;0.125;0.125;0.121;0.0;0.121;0.0;0.0;0.125;0.118;0.0;1.0;0.0;0.0;0.429;0.0;0.0;0.125;0.129;0.129;0.0;0.0;0.0;0.167
ENST00000533621_90_90;0.242;0.226;0.25;0.25;0.242;0.286;0.242;0.333;0.296;0.212;0.235;0.286;0.0;1.0;0.389;0.0;0.286;0.333;0.219;0.226;0.226;0.269;0.0;0.28;0.24
ENST00000534269_90_90;0.455;0.406;0.485;0.485;0.471;0.552;0.471;0.64;0.571;0.485;0.457;0.552;0.0;0.389;1.0;0.0;0.552;0.64;0.424;0.438;0.438;0.519;0.2;0.538;0.258
ENST00000534762_90_90;0.182;0.161;0.152;0.152;0.147;0.062;0.182;0.034;0.065;0.188;0.176;0.062;0.429;0.0;0.0;1.0;0.062;0.0;0.188;0.156;0.194;0.067;0.0;0.069;0.2
ENST00000628517_90_90;0.788;0.75;0.714;0.714;0.743;1.0;0.694;0.857;0.964;0.667;0.722;1.0;0.0;0.286;0.552;0.062;1.0;0.793;0.706;0.727;0.676;1.0;0.074;0.962;0.515
ENST00000640069_90_90;0.667;0.625;0.647;0.647;0.676;0.793;0.629;0.846;0.759;0.6;0.657;0.793;0.0;0.333;0.64;0.0;0.793;1.0;0.656;0.677;0.625;0.808;0.091;0.769;0.452
ENSMUST00000043881_90_90;0.969;0.875;0.938;0.938;0.969;0.706;0.969;0.688;0.676;0.938;1.0;0.706;0.125;0.219;0.424;0.188;0.706;0.656;1.0;0.97;0.97;0.686;0.059;0.657;0.758
ENSMUST00000092678_90_90;0.938;0.844;0.968;0.968;1.0;0.727;0.938;0.71;0.697;0.906;0.969;0.727;0.129;0.226;0.438;0.156;0.727;0.677;0.97;1.0;0.939;0.706;0.061;0.676;0.781
ENSMUST00000185800_90_90;0.938;0.844;0.968;0.968;0.938;0.676;1.0;0.656;0.697;0.906;0.969;0.676;0.129;0.226;0.438;0.194;0.676;0.625;0.97;0.939;1.0;0.657;0.061;0.676;0.781
ENSMUST00000186100_90_90;0.75;0.71;0.697;0.697;0.727;1.0;0.676;0.846;0.962;0.647;0.706;1.0;0.0;0.269;0.519;0.067;1.0;0.808;0.686;0.706;0.657;1.0;0.074;0.962;0.5
ENSMUST00000189158_90_90;0.031;0.034;0.065;0.065;0.062;0.074;0.062;0.087;0.077;0.065;0.061;0.074;0.0;0.0;0.2;0.0;0.074;0.091;0.059;0.061;0.061;0.074;1.0;0.077;0.077
ENSMUST00000190156_90_90;0.719;0.677;0.719;0.719;0.697;0.962;0.697;0.808;1.0;0.618;0.676;0.962;0.0;0.28;0.538;0.069;0.962;0.769;0.657;0.676;0.676;0.962;0.077;1.0;0.515
ENSMUST00000191438_90_90;0.719;0.677;0.8;0.8;0.774;0.515;0.774;0.484;0.531;0.688;0.75;0.515;0.167;0.24;0.258;0.2;0.515;0.452;0.758;0.781;0.781;0.5;0.077;0.515;1.0
