;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript48_ENSMSIG00000000513;0.493;0.49;0.717;0.655;0.295;0.691;0.691;0.679;0.788;0.788;1.0;1.0;0.426;0.406;0.346;0.346;0.3;0.734;0.436;0.442;0.412;0.412;0.405;0.313;0.358;0.423;0.423;0.499;0.419;0.348;0.396
transcript22_MGP-CAROLIEiJ-G0020234;0.274;0.294;0.421;0.335;0.67;0.347;0.347;0.34;0.413;0.413;0.426;0.426;1.0;0.978;0.908;0.908;0.857;0.403;0.94;0.923;0.711;0.711;0.704;0.82;0.87;0.797;0.797;0.732;0.623;0.711;0.73
transcript8_MGP-CAROLIEiJ-G0020234;0.28;0.3;0.398;0.319;0.685;0.331;0.331;0.324;0.391;0.391;0.406;0.406;0.978;1.0;0.928;0.928;0.875;0.381;0.917;0.902;0.696;0.696;0.689;0.838;0.889;0.776;0.776;0.712;0.607;0.728;0.708
transcript32_MGP-CAROLIEiJ-G0020234;0.299;0.308;0.329;0.269;0.742;0.281;0.281;0.274;0.323;0.323;0.346;0.346;0.908;0.928;1.0;1.0;0.941;0.312;0.849;0.835;0.646;0.646;0.64;0.9;0.958;0.709;0.709;0.652;0.557;0.79;0.639
transcript42_MGP-CAROLIEiJ-G0020234;0.299;0.308;0.329;0.269;0.742;0.281;0.281;0.274;0.323;0.323;0.346;0.346;0.908;0.928;1.0;1.0;0.941;0.312;0.849;0.835;0.646;0.646;0.64;0.9;0.958;0.709;0.709;0.652;0.557;0.79;0.639
transcript33_MGP-CAROLIEiJ-G0020234;0.316;0.325;0.346;0.231;0.792;0.243;0.243;0.245;0.34;0.34;0.3;0.3;0.857;0.875;0.941;0.941;1.0;0.329;0.799;0.784;0.61;0.61;0.604;0.956;0.9;0.658;0.658;0.607;0.519;0.732;0.588
transcript41_MGP-SPRETEiJ-G0021131;0.551;0.613;0.919;0.516;0.336;0.507;0.507;0.513;0.935;0.935;0.734;0.734;0.403;0.381;0.312;0.312;0.329;1.0;0.433;0.429;0.314;0.314;0.308;0.352;0.335;0.406;0.406;0.374;0.314;0.322;0.368
transcript22_MGP-SPRETEiJ-G0021131;0.285;0.313;0.403;0.351;0.668;0.356;0.356;0.349;0.424;0.424;0.436;0.436;0.94;0.917;0.849;0.849;0.799;0.433;1.0;0.943;0.726;0.726;0.72;0.84;0.89;0.794;0.794;0.729;0.623;0.709;0.707
transcript36_ENSMUSG00000054036;0.29;0.335;0.409;0.356;0.656;0.361;0.361;0.354;0.43;0.43;0.442;0.442;0.923;0.902;0.835;0.835;0.784;0.429;0.943;1.0;0.716;0.716;0.71;0.824;0.874;0.782;0.782;0.717;0.614;0.712;0.711
transcript34_ENSMUGG00000013592;0.327;0.331;0.299;0.581;0.51;0.592;0.592;0.586;0.315;0.315;0.412;0.412;0.711;0.696;0.646;0.646;0.61;0.314;0.726;0.716;1.0;1.0;0.994;0.641;0.677;0.623;0.623;0.683;0.822;0.539;0.534
transcript35_ENSMUGG00000013592;0.327;0.331;0.299;0.581;0.51;0.592;0.592;0.586;0.315;0.315;0.412;0.412;0.711;0.696;0.646;0.646;0.61;0.314;0.726;0.716;1.0;1.0;0.994;0.641;0.677;0.623;0.623;0.683;0.822;0.539;0.534
transcript18_ENSMUGG00000013592;0.321;0.325;0.292;0.574;0.514;0.586;0.586;0.579;0.309;0.309;0.405;0.405;0.704;0.689;0.64;0.64;0.604;0.308;0.72;0.71;0.994;0.994;1.0;0.635;0.671;0.627;0.627;0.688;0.827;0.542;0.537
transcript33_ENSMUGG00000013592;0.33;0.347;0.331;0.249;0.811;0.255;0.255;0.257;0.353;0.353;0.313;0.313;0.82;0.838;0.9;0.9;0.956;0.352;0.84;0.824;0.641;0.641;0.635;1.0;0.943;0.677;0.677;0.625;0.535;0.751;0.587
transcript32_ENSMUGG00000013592;0.312;0.33;0.315;0.287;0.762;0.292;0.292;0.285;0.336;0.336;0.358;0.358;0.87;0.889;0.958;0.958;0.9;0.335;0.89;0.874;0.677;0.677;0.671;0.943;1.0;0.726;0.726;0.67;0.573;0.808;0.637
transcript23_ENSRNOG00000031503;0.261;0.292;0.393;0.333;0.826;0.339;0.339;0.331;0.407;0.407;0.423;0.423;0.797;0.776;0.709;0.709;0.658;0.406;0.794;0.782;0.623;0.623;0.627;0.677;0.726;1.0;1.0;0.921;0.764;0.87;0.852
transcript21_ENSRNOG00000031503;0.261;0.292;0.393;0.333;0.826;0.339;0.339;0.331;0.407;0.407;0.423;0.423;0.797;0.776;0.709;0.709;0.658;0.406;0.794;0.782;0.623;0.623;0.627;0.677;0.726;1.0;1.0;0.921;0.764;0.87;0.852
transcript19_ENSRNOG00000031503;0.243;0.274;0.361;0.396;0.766;0.401;0.401;0.394;0.375;0.375;0.499;0.499;0.732;0.712;0.652;0.652;0.607;0.374;0.729;0.717;0.683;0.683;0.688;0.625;0.67;0.921;0.921;1.0;0.831;0.804;0.781
transcript18_ENSRNOG00000031503;0.3;0.305;0.303;0.54;0.635;0.554;0.554;0.546;0.315;0.315;0.419;0.419;0.623;0.607;0.557;0.557;0.519;0.314;0.623;0.614;0.822;0.822;0.827;0.535;0.573;0.764;0.764;0.831;1.0;0.667;0.649
transcript32_ENSRNOG00000031503;0.294;0.315;0.308;0.27;0.921;0.276;0.276;0.268;0.323;0.323;0.348;0.348;0.711;0.728;0.79;0.79;0.732;0.322;0.709;0.712;0.539;0.539;0.542;0.751;0.808;0.87;0.87;0.804;0.667;1.0;0.776
transcript9_ENSRNOG00000031503;0.247;0.263;0.377;0.299;0.71;0.313;0.313;0.305;0.379;0.379;0.396;0.396;0.73;0.708;0.639;0.639;0.588;0.368;0.707;0.711;0.534;0.534;0.537;0.587;0.637;0.852;0.852;0.781;0.649;0.776;1.0
