;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENST00000418055_90_90;0.0;0.332;0.333;0.333;0.333;0.332;0.663;0.332;0.777;0.545;1.0;0.8;0.443;0.48;0.611;0.748;0.155;0.155;0.0;0.293;0.0;0.329;0.297;0.224;0.345;0.155
ENST00000428369_90_90;0.0;0.412;0.413;0.413;0.413;0.412;0.831;0.412;0.619;0.682;0.8;1.0;0.354;0.6;0.765;0.935;0.214;0.214;0.0;0.252;0.0;0.283;0.416;0.184;0.368;0.214
ENST00000428841_90_90;0.0;0.148;0.148;0.148;0.148;0.148;0.294;0.148;0.583;0.241;0.443;0.354;1.0;0.213;0.271;0.332;0.047;0.047;0.0;0.113;0.0;0.108;0.084;0.438;0.098;0.047
ENST00000431054_90_90;0.0;0.528;0.528;0.528;0.528;0.528;0.724;0.528;0.373;0.832;0.48;0.6;0.213;1.0;0.784;0.641;0.365;0.366;0.0;0.229;0.0;0.253;0.423;0.152;0.317;0.366
ENST00000439698_90_90;0.0;0.547;0.547;0.547;0.547;0.547;0.922;0.547;0.477;0.891;0.611;0.765;0.271;0.784;1.0;0.818;0.308;0.309;0.0;0.212;0.0;0.238;0.431;0.143;0.31;0.309
ENST00000453286_90_90;0.0;0.444;0.444;0.444;0.444;0.444;0.887;0.444;0.581;0.729;0.748;0.935;0.332;0.641;0.818;1.0;0.236;0.236;0.0;0.242;0.0;0.273;0.454;0.172;0.354;0.236
ENSMUST00000019050_90_90;0.094;0.689;0.633;0.633;0.633;0.689;0.279;0.689;0.098;0.358;0.155;0.214;0.047;0.365;0.308;0.236;1.0;0.929;0.151;0.377;0.143;0.397;0.527;0.086;0.447;0.929
ENSMUST00000093107_90_90;0.094;0.633;0.689;0.689;0.689;0.633;0.279;0.633;0.098;0.358;0.155;0.214;0.047;0.366;0.309;0.236;0.929;1.0;0.152;0.378;0.144;0.398;0.527;0.086;0.448;1.0
ENSMUST00000125132_90_90;0.203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.151;0.152;1.0;0.332;0.476;0.318;0.246;0.0;0.286;0.152
ENSMUST00000126840_90_90;0.132;0.117;0.117;0.117;0.117;0.117;0.225;0.117;0.271;0.196;0.293;0.252;0.113;0.229;0.212;0.242;0.377;0.378;0.332;1.0;0.302;0.954;0.707;0.209;0.845;0.378
ENSMUST00000129499_90_90;0.273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.143;0.144;0.476;0.302;1.0;0.29;0.229;0.0;0.264;0.144
ENSMUST00000135653_90_90;0.13;0.136;0.136;0.136;0.136;0.136;0.254;0.136;0.263;0.22;0.329;0.283;0.108;0.253;0.238;0.273;0.397;0.398;0.318;0.954;0.29;1.0;0.741;0.2;0.885;0.398
ENSMUST00000138477_90_90;0.115;0.254;0.254;0.254;0.254;0.254;0.458;0.254;0.204;0.399;0.297;0.416;0.084;0.423;0.431;0.454;0.527;0.527;0.246;0.707;0.229;0.741;1.0;0.15;0.838;0.527
ENSMUST00000141258_90_90;0.0;0.087;0.087;0.087;0.087;0.087;0.154;0.087;0.285;0.129;0.224;0.184;0.438;0.152;0.143;0.172;0.086;0.086;0.0;0.209;0.0;0.2;0.15;1.0;0.178;0.086
ENSMUST00000151218_90_90;0.123;0.181;0.181;0.181;0.181;0.181;0.33;0.181;0.238;0.286;0.345;0.368;0.098;0.317;0.31;0.354;0.447;0.448;0.286;0.845;0.264;0.885;0.838;0.178;1.0;0.448
ENSMUST00000174616_90_90;0.094;0.633;0.689;0.689;0.689;0.633;0.279;0.633;0.098;0.358;0.155;0.214;0.047;0.366;0.309;0.236;0.929;1.0;0.152;0.378;0.144;0.398;0.527;0.086;0.448;1.0
