;transcript19_ENSAPOG00000016134;transcript22_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript19_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript26_ENSAOCG00000015695;0.71;0.659;0.502;0.482;0.71;0.659;0.553;0.532;0.71;0.71;1.0;0.929;0.779;0.942;0.71;0.553;0.512;0.707;0.396;0.72;0.71;0.71;0.368;0.396
transcript27_ENSAOCG00000015695;0.659;0.694;0.529;0.507;0.659;0.694;0.502;0.482;0.659;0.659;0.929;1.0;0.708;0.87;0.659;0.502;0.461;0.661;0.368;0.668;0.659;0.659;0.379;0.368
transcript28_ENSAOCG00000015695;0.553;0.502;0.596;0.325;0.553;0.502;0.656;0.376;0.553;0.553;0.779;0.708;1.0;0.828;0.553;0.656;0.355;0.551;0.309;0.561;0.553;0.553;0.281;0.309
transcript29_ENSAOCG00000015695;0.668;0.618;0.524;0.44;0.668;0.618;0.577;0.491;0.668;0.668;0.942;0.87;0.828;1.0;0.668;0.577;0.47;0.666;0.373;0.678;0.668;0.668;0.345;0.373
transcript12_ENSPNYG00000024266;1.0;0.949;0.793;0.772;1.0;0.949;0.843;0.823;1.0;1.0;0.71;0.659;0.553;0.668;1.0;0.843;0.802;0.998;0.559;0.556;1.0;1.0;0.53;0.559
transcript14_ENSPNYG00000024266;0.843;0.793;0.94;0.615;0.843;0.793;1.0;0.666;0.843;0.843;0.553;0.502;0.656;0.577;0.843;1.0;0.645;0.841;0.471;0.433;0.843;0.843;0.443;0.471
transcript21_ENSPNYG00000024266;0.802;0.751;0.594;0.574;0.802;0.751;0.645;0.624;0.802;0.802;0.512;0.461;0.355;0.47;0.802;0.645;1.0;0.8;0.448;0.401;0.802;0.802;0.42;0.448
transcript22_ENSPNYG00000024266;0.998;0.952;0.794;0.774;0.998;0.952;0.841;0.82;0.998;0.998;0.707;0.661;0.551;0.666;0.998;0.841;0.8;1.0;0.557;0.554;0.998;0.998;0.531;0.557
transcript3_ENSXMAG00000026005;0.559;0.53;0.443;0.431;0.559;0.53;0.471;0.459;0.559;0.559;0.396;0.368;0.309;0.373;0.559;0.471;0.448;0.557;1.0;0.551;0.559;0.559;0.972;1.0
transcript10_ENSXMAG00000026005;0.556;0.516;0.394;0.377;0.556;0.516;0.433;0.417;0.556;0.556;0.72;0.668;0.561;0.678;0.556;0.433;0.401;0.554;0.551;1.0;0.556;0.556;0.523;0.551
transcript11_ENSXMAG00000026005;1.0;0.949;0.793;0.772;1.0;0.949;0.843;0.823;1.0;1.0;0.71;0.659;0.553;0.668;1.0;0.843;0.802;0.998;0.559;0.556;1.0;1.0;0.53;0.559
transcript12_ENSXMAG00000026005;1.0;0.949;0.793;0.772;1.0;0.949;0.843;0.823;1.0;1.0;0.71;0.659;0.553;0.668;1.0;0.843;0.802;0.998;0.559;0.556;1.0;1.0;0.53;0.559
transcript16_ENSXMAG00000026005;0.53;0.546;0.456;0.444;0.53;0.546;0.443;0.431;0.53;0.53;0.368;0.379;0.281;0.345;0.53;0.443;0.42;0.531;0.972;0.523;0.53;0.53;1.0;0.972
transcript17_ENSXMAG00000026005;0.559;0.53;0.443;0.431;0.559;0.53;0.471;0.459;0.559;0.559;0.396;0.368;0.309;0.373;0.559;0.471;0.448;0.557;1.0;0.551;0.559;0.559;0.972;1.0
