;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript18_ENSCCNG00000000226;0.481;0.575;0.573;0.573;0.44;0.529;0.494;0.58;0.6;0.598;0.598;0.052;0.593;0.553;0.593;0.496;0.549;0.549;0.503;0.696;0.754;1.0;0.754;0.68;0.86;0.823;0.645;0.86;0.645;0.486;0.645
transcript24_ENSCCNG00000000226;0.659;0.747;0.745;0.745;0.622;0.703;0.671;0.736;0.756;0.754;0.754;0.039;0.748;0.711;0.748;0.658;0.707;0.707;0.665;0.942;1.0;0.754;1.0;0.926;0.671;0.643;0.855;0.671;0.855;0.705;0.855
transcript26_ENSCCNG00000000226;0.617;0.707;0.705;0.705;0.578;0.662;0.629;0.696;0.709;0.707;0.707;0.042;0.684;0.646;0.684;0.705;0.666;0.666;0.711;0.868;0.926;0.68;0.926;1.0;0.605;0.576;0.792;0.605;0.792;0.638;0.792
transcript7_ENSCPOG00000024843;0.547;0.674;0.672;0.672;0.484;0.619;0.559;0.68;0.687;0.685;0.685;0.056;0.689;0.644;0.689;0.556;0.636;0.636;0.572;0.62;0.671;0.86;0.671;0.605;1.0;0.963;0.75;1.0;0.75;0.532;0.75
transcript9_ENSCPOG00000024843;0.518;0.645;0.643;0.643;0.455;0.59;0.531;0.651;0.658;0.656;0.656;0.058;0.674;0.628;0.674;0.54;0.621;0.621;0.556;0.591;0.643;0.823;0.643;0.576;0.963;1.0;0.722;0.963;0.722;0.504;0.722
transcript17_ENSCPOG00000024843;0.748;0.871;0.869;0.869;0.687;0.817;0.76;0.857;0.873;0.871;0.871;0.042;0.869;0.825;0.869;0.744;0.821;0.821;0.76;0.806;0.855;0.645;0.855;0.792;0.75;0.722;1.0;0.75;1.0;0.782;1.0
transcript18_ENSCPOG00000024843;0.547;0.674;0.672;0.672;0.484;0.619;0.559;0.68;0.687;0.685;0.685;0.056;0.689;0.644;0.689;0.556;0.636;0.636;0.572;0.62;0.671;0.86;0.671;0.605;1.0;0.963;0.75;1.0;0.75;0.532;0.75
transcript24_ENSCPOG00000024843;0.748;0.871;0.869;0.869;0.687;0.817;0.76;0.857;0.873;0.871;0.871;0.042;0.869;0.825;0.869;0.744;0.821;0.821;0.76;0.806;0.855;0.645;0.855;0.792;0.75;0.722;1.0;0.75;1.0;0.782;1.0
transcript32_ENSCPOG00000024843;0.71;0.714;0.712;0.712;0.878;0.658;0.599;0.7;0.709;0.707;0.707;0.053;0.651;0.607;0.651;0.582;0.663;0.663;0.599;0.743;0.705;0.486;0.705;0.638;0.532;0.504;0.782;0.532;0.782;1.0;0.782
transcript33_ENSCPOG00000024843;0.748;0.871;0.869;0.869;0.687;0.817;0.76;0.857;0.873;0.871;0.871;0.042;0.869;0.825;0.869;0.744;0.821;0.821;0.76;0.806;0.855;0.645;0.855;0.792;0.75;0.722;1.0;0.75;1.0;0.782;1.0
