;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript48_ENSMSIG00000000513;0.594;0.456;0.748;0.743;0.655;0.567;0.655;0.38;1.0;0.748;1.0;0.742;0.454;0.452;0.458;0.444;0.354;0.448;0.339;0.369;0.38;0.353;0.354;0.479;0.49;0.481;0.582;0.443;0.443;0.485;0.485
transcript49_ENSMSIG00000000513;0.448;0.371;0.993;0.985;0.493;0.433;0.493;0.407;0.742;0.993;0.742;1.0;0.643;0.644;0.651;0.639;0.55;0.664;0.534;0.536;0.596;0.52;0.55;0.691;0.654;0.64;0.777;0.638;0.638;0.644;0.644
transcript22_MGP-SPRETEiJ-G0021131;0.407;0.402;0.648;0.642;0.449;0.45;0.449;0.438;0.454;0.648;0.454;0.643;1.0;0.951;0.976;0.95;0.837;0.785;0.849;0.759;0.716;0.771;0.837;0.873;0.672;0.699;0.795;0.918;0.918;0.703;0.703
transcript22_MGP-CAROLIEiJ-G0020234;0.404;0.398;0.649;0.642;0.446;0.444;0.446;0.447;0.452;0.649;0.452;0.644;0.951;1.0;0.963;0.968;0.853;0.772;0.814;0.775;0.703;0.739;0.853;0.859;0.649;0.676;0.766;0.883;0.883;0.68;0.68
transcript36_ENSMUSG00000054036;0.412;0.412;0.656;0.649;0.454;0.452;0.454;0.446;0.458;0.656;0.458;0.651;0.976;0.963;1.0;0.962;0.848;0.788;0.838;0.77;0.719;0.762;0.848;0.876;0.665;0.691;0.785;0.907;0.907;0.696;0.696
transcript8_MGP-CAROLIEiJ-G0020234;0.394;0.397;0.644;0.637;0.437;0.435;0.437;0.462;0.444;0.644;0.444;0.639;0.95;0.968;0.962;1.0;0.881;0.769;0.84;0.8;0.726;0.763;0.881;0.857;0.645;0.672;0.763;0.881;0.881;0.677;0.677
transcript32_MGP-CAROLIEiJ-G0020234;0.325;0.377;0.555;0.548;0.332;0.319;0.332;0.524;0.354;0.555;0.354;0.55;0.837;0.853;0.848;0.881;1.0;0.742;0.95;0.908;0.794;0.862;1.0;0.742;0.564;0.592;0.667;0.77;0.77;0.596;0.596
transcript32_ENSRNOG00000031503;0.413;0.359;0.67;0.662;0.441;0.379;0.441;0.474;0.448;0.67;0.448;0.664;0.785;0.772;0.788;0.769;0.742;1.0;0.747;0.713;0.912;0.72;0.742;0.9;0.591;0.561;0.703;0.819;0.819;0.56;0.56
transcript32_ENSMUGG00000013592;0.309;0.367;0.539;0.532;0.315;0.302;0.315;0.502;0.339;0.539;0.339;0.534;0.849;0.814;0.838;0.84;0.95;0.747;1.0;0.862;0.806;0.909;0.95;0.734;0.573;0.601;0.677;0.782;0.782;0.605;0.605
transcript33_MGP-CAROLIEiJ-G0020234;0.353;0.35;0.541;0.534;0.348;0.346;0.348;0.577;0.369;0.541;0.369;0.536;0.759;0.775;0.77;0.8;0.908;0.713;0.862;1.0;0.767;0.946;0.908;0.664;0.509;0.537;0.601;0.695;0.695;0.541;0.541
transcript33_ENSRNOG00000031503;0.356;0.34;0.602;0.594;0.36;0.302;0.36;0.514;0.38;0.602;0.38;0.596;0.716;0.703;0.719;0.726;0.794;0.912;0.806;0.767;1.0;0.78;0.794;0.821;0.539;0.512;0.641;0.747;0.747;0.511;0.511
transcript33_ENSMUGG00000013592;0.336;0.339;0.525;0.518;0.33;0.328;0.33;0.552;0.353;0.525;0.353;0.52;0.771;0.739;0.762;0.763;0.862;0.72;0.909;0.946;0.78;1.0;0.862;0.657;0.517;0.546;0.611;0.706;0.706;0.55;0.55
transcript42_MGP-CAROLIEiJ-G0020234;0.325;0.377;0.555;0.548;0.332;0.319;0.332;0.524;0.354;0.555;0.354;0.55;0.837;0.853;0.848;0.881;1.0;0.742;0.95;0.908;0.794;0.862;1.0;0.742;0.564;0.592;0.667;0.77;0.77;0.596;0.596
transcript9_ENSRNOG00000031503;0.431;0.387;0.696;0.689;0.478;0.429;0.478;0.436;0.479;0.696;0.479;0.691;0.873;0.859;0.876;0.857;0.742;0.9;0.734;0.664;0.821;0.657;0.742;1.0;0.656;0.624;0.781;0.909;0.909;0.622;0.622
transcript18_ENSRNOG00000031503;0.285;0.281;0.659;0.653;0.316;0.314;0.316;0.3;0.49;0.659;0.49;0.654;0.672;0.649;0.665;0.645;0.564;0.591;0.573;0.509;0.539;0.517;0.564;0.656;1.0;0.951;0.84;0.721;0.721;0.948;0.948
transcript18_ENSMUGG00000013592;0.284;0.281;0.644;0.639;0.314;0.312;0.314;0.308;0.481;0.644;0.481;0.64;0.699;0.676;0.691;0.672;0.592;0.561;0.601;0.537;0.512;0.546;0.592;0.624;0.951;1.0;0.799;0.686;0.686;0.996;0.996
transcript19_ENSRNOG00000031503;0.339;0.334;0.782;0.775;0.375;0.373;0.375;0.356;0.582;0.782;0.582;0.777;0.795;0.766;0.785;0.763;0.667;0.703;0.677;0.601;0.641;0.611;0.667;0.781;0.84;0.799;1.0;0.859;0.859;0.796;0.796
transcript21_ENSRNOG00000031503;0.393;0.388;0.643;0.636;0.435;0.433;0.435;0.412;0.443;0.643;0.443;0.638;0.918;0.883;0.907;0.881;0.77;0.819;0.782;0.695;0.747;0.706;0.77;0.909;0.721;0.686;0.859;1.0;1.0;0.684;0.684
transcript23_ENSRNOG00000031503;0.393;0.388;0.643;0.636;0.435;0.433;0.435;0.412;0.443;0.643;0.443;0.638;0.918;0.883;0.907;0.881;0.77;0.819;0.782;0.695;0.747;0.706;0.77;0.909;0.721;0.686;0.859;1.0;1.0;0.684;0.684
transcript34_ENSMUGG00000013592;0.288;0.285;0.648;0.643;0.318;0.316;0.318;0.312;0.485;0.648;0.485;0.644;0.703;0.68;0.696;0.677;0.596;0.56;0.605;0.541;0.511;0.55;0.596;0.622;0.948;0.996;0.796;0.684;0.684;1.0;1.0
transcript35_ENSMUGG00000013592;0.288;0.285;0.648;0.643;0.318;0.316;0.318;0.312;0.485;0.648;0.485;0.644;0.703;0.68;0.696;0.677;0.596;0.56;0.605;0.541;0.511;0.55;0.596;0.622;0.948;0.996;0.796;0.684;0.684;1.0;1.0
