;transcript7_ENSMSIG00000000513;transcript26_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript41_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript22_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript33_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript19_ENSRNOG00000031503;0.69;0.714;0.9;0.9;1.0;0.714;1.0;0.69;1.0;0.924;0.875;0.97;0.984;1.0;1.0;0.968;0.968;0.968;0.845;0.814;0.854;1.0;0.986;0.986;0.943;0.957;0.854;0.829;0.829;0.854;0.854
transcript21_ENSRNOG00000031503;0.667;0.69;0.931;0.931;0.967;0.69;0.967;0.667;1.0;0.924;0.875;0.97;0.984;1.0;1.0;0.968;0.968;0.968;0.831;0.826;0.841;0.986;1.0;1.0;0.957;0.971;0.841;0.817;0.817;0.841;0.841
transcript23_ENSRNOG00000031503;0.667;0.69;0.931;0.931;0.967;0.69;0.967;0.667;1.0;0.924;0.875;0.97;0.984;1.0;1.0;0.968;0.968;0.968;0.831;0.826;0.841;0.986;1.0;1.0;0.957;0.971;0.841;0.817;0.817;0.841;0.841
transcript32_ENSRNOG00000031503;0.667;0.69;0.931;0.931;0.967;0.69;0.967;0.667;0.955;0.968;0.847;1.0;0.952;0.968;0.968;0.935;0.935;0.935;0.831;0.864;0.805;0.943;0.957;0.957;1.0;0.928;0.805;0.78;0.78;0.805;0.805
transcript33_ENSRNOG00000031503;0.619;0.643;0.862;0.862;0.9;0.643;0.9;0.619;0.97;0.894;0.9;0.94;0.984;0.968;0.968;0.935;1.0;0.935;0.803;0.797;0.817;0.957;0.971;0.971;0.928;1.0;0.817;0.838;0.838;0.817;0.817
transcript18_ENSMUGG00000013592;0.983;1.0;0.603;0.603;0.655;1.0;0.655;0.983;1.0;0.935;0.961;0.882;0.989;1.0;1.0;0.977;0.977;0.977;1.0;0.695;1.0;0.854;0.841;0.841;0.805;0.817;1.0;0.983;0.983;1.0;1.0
transcript32_ENSMUGG00000013592;0.948;0.966;0.569;0.569;0.621;0.966;0.621;0.948;0.978;0.913;0.98;0.863;0.988;0.977;0.977;0.954;1.0;0.954;0.981;0.671;0.976;0.829;0.817;0.817;0.78;0.838;0.983;1.0;1.0;0.983;0.983
transcript33_ENSMUGG00000013592;0.948;0.966;0.569;0.569;0.621;0.966;0.621;0.948;0.978;0.913;0.98;0.863;0.988;0.977;0.977;0.954;1.0;0.954;0.981;0.671;0.976;0.829;0.817;0.817;0.78;0.838;0.983;1.0;1.0;0.983;0.983
transcript34_ENSMUGG00000013592;0.983;1.0;0.603;0.603;0.655;1.0;0.655;0.983;1.0;0.935;0.961;0.882;0.989;1.0;1.0;0.977;0.977;0.977;1.0;0.695;1.0;0.854;0.841;0.841;0.805;0.817;1.0;0.983;0.983;1.0;1.0
transcript35_ENSMUGG00000013592;0.983;1.0;0.603;0.603;0.655;1.0;0.655;0.983;1.0;0.935;0.961;0.882;0.989;1.0;1.0;0.977;0.977;0.977;1.0;0.695;1.0;0.854;0.841;0.841;0.805;0.817;1.0;0.983;0.983;1.0;1.0
