;transcript59_ENSMUGG00000013649;transcript39_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript54_ENSCGRG00015005362;transcript59_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript57_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript26_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript37_ENSMUGG00000013649;transcript38_ENSSTOG00000019743;transcript8_ENSSTOG00000019743;transcript38_ENSRNOG00000031503;transcript56_ENSCGRG00000018457;transcript9_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript58_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript8_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript40_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584
transcript58_ENSPEMG00000024651;0.829;0.799;0.927;0.865;0.913;0.936;0.791;0.769;0.762;0.915;0.811;0.853;0.912;0.797;0.628;0.805;0.617;0.912;0.801;0.636;0.849;0.768;0.834;0.876;0.869;1.0;0.843;0.843;0.757;0.621;0.984;0.853;0.853;0.797;0.599;0.808
transcript9_ENSPEMG00000024651;0.806;0.863;0.873;0.913;0.9;0.889;0.872;0.718;0.72;0.906;0.804;0.91;0.861;0.944;0.754;0.946;0.749;0.871;0.95;0.772;0.98;0.913;0.98;0.923;0.931;0.843;1.0;1.0;0.914;0.76;0.84;0.91;0.91;0.86;0.713;0.936
transcript33_ENSPEMG00000024651;0.806;0.863;0.873;0.913;0.9;0.889;0.872;0.718;0.72;0.906;0.804;0.91;0.861;0.944;0.754;0.946;0.749;0.871;0.95;0.772;0.98;0.913;0.98;0.923;0.931;0.843;1.0;1.0;0.914;0.76;0.84;0.91;0.91;0.86;0.713;0.936
transcript56_ENSPEMG00000024651;0.72;0.778;0.802;0.827;0.827;0.805;0.786;0.63;0.632;0.831;0.728;0.83;0.791;0.907;0.712;0.909;0.706;0.8;0.905;0.722;0.912;0.981;0.895;0.839;0.847;0.757;0.914;0.914;1.0;0.715;0.753;0.83;0.83;0.776;0.685;0.859
transcript8_ENSPEMG00000024651;0.581;0.651;0.661;0.698;0.683;0.656;0.65;0.476;0.479;0.689;0.564;0.687;0.652;0.775;0.982;0.775;0.978;0.659;0.775;0.982;0.783;0.717;0.744;0.69;0.696;0.621;0.76;0.76;0.715;1.0;0.615;0.687;0.687;0.649;0.929;0.707
transcript58_ENSMUGG00000013649;0.829;0.788;0.911;0.889;0.921;0.945;0.777;0.753;0.785;0.921;0.827;0.859;0.92;0.807;0.626;0.815;0.615;0.92;0.812;0.636;0.864;0.775;0.851;0.903;0.898;0.984;0.84;0.84;0.753;0.615;1.0;0.859;0.859;0.8;0.59;0.819
transcript40_ENSSTOG00000019743;0.799;0.869;0.881;0.853;0.935;0.921;0.847;0.73;0.761;0.922;0.834;1.0;0.891;0.878;0.696;0.885;0.687;0.892;0.883;0.706;0.98;0.849;0.918;0.865;0.877;0.853;0.91;0.91;0.83;0.687;0.859;1.0;1.0;0.882;0.672;0.907
transcript29_ENSSTOG00000019743;0.799;0.869;0.881;0.853;0.935;0.921;0.847;0.73;0.761;0.922;0.834;1.0;0.891;0.878;0.696;0.885;0.687;0.892;0.883;0.706;0.98;0.849;0.918;0.865;0.877;0.853;0.91;0.91;0.83;0.687;0.859;1.0;1.0;0.882;0.672;0.907
transcript39_ENSSTOG00000019743;0.888;0.984;0.85;0.796;0.901;0.865;0.932;0.671;0.699;0.894;0.776;0.882;0.859;0.847;0.651;0.852;0.644;0.86;0.855;0.669;0.905;0.792;0.865;0.809;0.814;0.797;0.86;0.86;0.776;0.649;0.8;0.882;0.882;1.0;0.627;0.851
transcript8_ENSNGAG00000018584;0.557;0.627;0.623;0.661;0.646;0.627;0.624;0.467;0.487;0.655;0.558;0.672;0.619;0.742;0.94;0.742;0.934;0.627;0.742;0.94;0.752;0.698;0.709;0.657;0.663;0.599;0.713;0.713;0.685;0.929;0.59;0.672;0.672;0.627;1.0;0.751
transcript33_ENSNGAG00000018584;0.789;0.835;0.831;0.885;0.876;0.869;0.833;0.701;0.741;0.885;0.811;0.907;0.841;0.901;0.712;0.903;0.706;0.853;0.907;0.729;0.945;0.877;0.949;0.897;0.904;0.808;0.936;0.936;0.859;0.707;0.819;0.907;0.907;0.851;0.751;1.0
