;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENST00000529760_90_90;0.32;0.393;0.323;0.366;0.0;0.376;0.636;0.0;0.46;0.632;1.0;0.571;0.536;0.0;0.0;0.0;0.429;0.399;0.0;0.0;0.391;0.45;0.414;0.386;0.677;0.0;0.438;0.366;0.429
ENST00000530542_90_90;0.334;0.28;0.388;0.403;0.0;0.369;0.54;0.0;0.326;0.556;0.571;1.0;0.33;0.0;0.0;0.0;0.287;0.21;0.0;0.0;0.402;0.498;0.297;0.395;0.484;0.0;0.292;0.403;0.287
ENST00000530692_90_90;0.208;0.29;0.181;0.223;0.0;0.23;0.623;0.0;0.254;0.29;0.536;0.33;1.0;0.0;0.0;0.0;0.247;0.446;0.0;0.0;0.246;0.272;0.23;0.242;0.496;0.0;0.252;0.223;0.247
ENST00000531558_90_90;0.103;0.1;0.114;0.108;0.083;0.113;0.0;0.172;0.039;0.0;0.0;0.0;0.0;1.0;0.149;0.334;0.12;0.0;1.0;0.334;0.092;0.037;0.107;0.09;0.0;0.0;0.104;0.092;0.102
ENST00000531930_90_90;0.351;0.38;0.389;0.37;0.742;0.386;0.0;0.837;0.355;0.0;0.0;0.0;0.0;0.149;1.0;0.397;0.41;0.0;0.149;0.397;0.311;0.231;0.357;0.305;0.0;0.375;0.349;0.312;0.342
ENST00000532041_90_90;0.198;0.227;0.22;0.209;0.261;0.218;0.0;0.462;0.112;0.0;0.0;0.0;0.0;0.334;0.397;1.0;0.231;0.0;0.334;1.0;0.158;0.055;0.18;0.155;0.0;0.322;0.176;0.159;0.173
ENST00000532317_90_90;0.789;0.912;0.83;0.873;0.298;0.902;0.301;0.348;0.855;0.312;0.429;0.287;0.247;0.12;0.41;0.231;1.0;0.174;0.12;0.231;0.802;0.661;0.869;0.819;0.463;0.148;0.891;0.8;0.91
ENST00000532603_90_90;0.13;0.148;0.166;0.159;0.0;0.164;0.419;0.0;0.201;0.364;0.399;0.21;0.446;0.0;0.0;0.0;0.174;1.0;0.0;0.0;0.159;0.197;0.18;0.157;0.275;0.0;0.176;0.159;0.174
ENST00000534412_90_90;0.103;0.1;0.114;0.108;0.083;0.113;0.0;0.172;0.039;0.0;0.0;0.0;0.0;1.0;0.149;0.334;0.12;0.0;1.0;0.334;0.092;0.037;0.107;0.09;0.0;0.0;0.104;0.092;0.102
ENST00000630913_90_90;0.198;0.227;0.22;0.209;0.261;0.218;0.0;0.462;0.112;0.0;0.0;0.0;0.0;0.334;0.397;1.0;0.231;0.0;0.334;1.0;0.158;0.055;0.18;0.155;0.0;0.322;0.176;0.159;0.173
ENSMUST00000049537_90_90;0.753;0.738;0.845;0.885;0.252;0.855;0.373;0.256;0.724;0.265;0.391;0.402;0.246;0.092;0.311;0.158;0.802;0.159;0.092;0.158;1.0;0.78;0.87;0.982;0.402;0.151;0.891;0.962;0.875
ENSMUST00000207084_90_90;0.654;0.601;0.738;0.781;0.219;0.748;0.426;0.171;0.754;0.326;0.45;0.498;0.272;0.037;0.231;0.055;0.661;0.197;0.037;0.055;0.78;1.0;0.686;0.767;0.492;0.083;0.672;0.781;0.661
ENSMUST00000207225_90_90;0.719;0.794;0.756;0.798;0.29;0.822;0.285;0.294;0.824;0.298;0.414;0.297;0.23;0.107;0.357;0.18;0.869;0.18;0.107;0.18;0.87;0.686;1.0;0.856;0.453;0.174;0.977;0.873;0.957
ENSMUST00000207484_90_90;0.768;0.754;0.861;0.902;0.246;0.871;0.366;0.252;0.742;0.281;0.386;0.395;0.242;0.09;0.305;0.155;0.819;0.157;0.09;0.155;0.982;0.767;0.856;1.0;0.419;0.148;0.875;0.98;0.893
ENSMUST00000208089_90_90;0.396;0.51;0.384;0.426;0.0;0.439;0.433;0.0;0.533;0.525;0.677;0.484;0.496;0.0;0.0;0.0;0.463;0.275;0.0;0.0;0.402;0.492;0.453;0.419;1.0;0.0;0.444;0.426;0.463
ENSMUST00000208684_90_90;0.126;0.145;0.141;0.135;0.494;0.139;0.0;0.452;0.173;0.0;0.0;0.0;0.0;0.0;0.375;0.322;0.148;0.0;0.0;0.322;0.151;0.083;0.174;0.148;0.0;1.0;0.17;0.151;0.167
ENSMUST00000208730_90_90;0.708;0.814;0.742;0.784;0.283;0.806;0.306;0.287;0.806;0.292;0.438;0.292;0.252;0.104;0.349;0.176;0.891;0.176;0.104;0.176;0.891;0.672;0.977;0.875;0.444;0.17;1.0;0.856;0.98
ENSMUST00000208742_90_90;0.78;0.736;0.877;0.919;0.252;0.887;0.347;0.257;0.756;0.287;0.366;0.403;0.223;0.092;0.312;0.159;0.8;0.159;0.092;0.159;0.962;0.781;0.873;0.98;0.426;0.151;0.856;1.0;0.873
ENSMUST00000209068_90_90;0.723;0.832;0.76;0.8;0.276;0.824;0.301;0.282;0.826;0.312;0.429;0.287;0.247;0.102;0.342;0.173;0.91;0.174;0.102;0.173;0.875;0.661;0.957;0.893;0.463;0.167;0.98;0.873;1.0
