;nº dataset;splicing_orthologs
14;14;"transcript72_MGP-SPRETEiJ-G0021131:transcript7_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131:transcript62_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131:transcript61_MGP-SPRETEiJ-G0021131;transcript64_ENSMSIG00000000513:transcript60_ENSMSIG00000000513;transcript67_ENSMSIG00000000513:transcript50_ENSMSIG00000000513;transcript7_ENSMUSG00000054036:transcript54_ENSMUSG00000054036;transcript61_MGP-CAROLIEiJ-G0020234:transcript59_MGP-CAROLIEiJ-G0020234;transcript57_MGP-PahariEiJ-G0020237:transcript50_MGP-PahariEiJ-G0020237"
17;15;
18;16;"transcript28_ENSAPOG00000016134:transcript22_ENSAPOG00000016134;transcript33_ENSAPOG00000023408:transcript19_ENSAPOG00000023408;transcript29_ENSAOCG00000015695:transcript26_ENSAOCG00000015695;transcript22_ENSPNYG00000024266:transcript12_ENSPNYG00000024266;transcript17_ENSXMAG00000026005:transcript3_ENSXMAG00000026005"
19;17;"transcript18_ENSHGLG00100006079:transcript5_ENSHGLG00100006079;transcript19_ENSHGLG00100003156:transcript5_ENSHGLG00100003156"
20;18;"transcript29_ENSAPOG00000016134:transcript16_ENSAPOG00000016134;transcript9_ENSAPOG00000016134:transcript24_ENSAPOG00000016134"
21;19;transcript24_ENSMUNG00000002391:transcript12_ENSMUNG00000002391
22;20;"transcript21_ENSHGLG00100003156:transcript16_ENSHGLG00100003156;transcript28_ENSHGLG00000019563:transcript26_ENSHGLG00000019563;transcript23_ENSHGLG00100003156:transcript2_ENSHGLG00100003156;transcript8_ENSHGLG00000019563:transcript13_ENSHGLG00000019563;transcript7_ENSHGLG00100006079:transcript14_ENSHGLG00100006079;transcript19_ENSPCIG00000036398:transcript2_ENSPCIG00000036398"
23;21;"transcript23_ENSMUNG00000007775:transcript19_ENSMUNG00000007775;transcript28_ENSMUNG00000002377:transcript19_ENSMUNG00000002377"
24;22;"transcript24_ENSPNYG00000024266:transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408:transcript14_ENSAPOG00000023408;transcript28_ENSAOCG00000015695:transcript17_ENSAOCG00000015695;transcript29_ENSAOCG00000015695:transcript27_ENSAOCG00000015695;transcript30_ENSAPOG00000023408:transcript23_ENSAPOG00000023408;transcript31_ENSAPOG00000023408:transcript29_ENSAPOG00000023408;transcript7_ENSXMAG00000026005:transcript9_ENSXMAG00000026005"
25;23;"transcript21_ENSHGLG00100006079:transcript9_ENSHGLG00100006079;transcript29_ENSHGLG00000019563:transcript9_ENSHGLG00000019563"
26;24;"transcript9_ENSSTOG00000019743:transcript29_ENSSTOG00000019743;transcript36_ENSCPOG00000024843:transcript29_ENSCPOG00000024843;transcript37_ENSCPOG00000024843:transcript35_ENSCPOG00000024843;transcript28_ENSMLUG00000027828:transcript1_ENSMLUG00000027828"
27;25;"transcript33_ENSECAG00000007947:transcript8_ENSECAG00000007947;transcript34_ENSCPOG00000024843:transcript27_ENSCPOG00000024843"
28;26;"transcript28_ENSMPUG00000020072:transcript27_ENSMPUG00000020072;transcript30_ENSECAG00000007947:transcript14_ENSECAG00000007947"
29;27;"transcript47_ENSPEMG00000024651:transcript38_ENSPEMG00000024651;transcript32_ENSSTOG00000019743:transcript7_ENSSTOG00000019743;transcript47_ENSMUGG00000013649:transcript20_ENSMUGG00000013649;transcript47_ENSRNOG00000031503:transcript40_ENSRNOG00000031503"
30;28;"transcript8_ENSCGRG00000018457:transcript45_ENSCGRG00000018457;transcript60_ENSCGRG00000018457:transcript50_ENSCGRG00000018457"
31;29;"transcript52_ENSMUGG00000013592:transcript7_ENSMUGG00000013592;transcript59_MGP-CAROLIEiJ-G0020234:transcript7_MGP-CAROLIEiJ-G0020234;transcript55_ENSCGRG00015005362:transcript7_ENSCGRG00015005362"
32;30;"transcript8_ENSRNOG00000031503:transcript39_ENSRNOG00000031503;transcript50_ENSRNOG00000031503:transcript32_ENSRNOG00000031503;transcript58_ENSMSIG00000000513:transcript38_ENSMSIG00000000513;transcript63_MGP-SPRETEiJ-G0021131:transcript38_MGP-SPRETEiJ-G0021131;transcript7_ENSMSIG00000000513:transcript52_ENSMSIG00000000513;transcript58_ENSMUSG00000054036:transcript54_ENSMUSG00000054036;transcript50_ENSMUGG00000013649:transcript12_ENSMUGG00000013649"
33;31;"transcript10_ENSMLUG00000027828:transcript1_ENSMLUG00000027828;transcript15_ENSCCNG00000000226:transcript7_ENSCCNG00000000226"
34;32;"transcript19_ENSNGAG00000018584:transcript10_ENSNGAG00000018584;transcript15_ENSSTOG00000019743:transcript2_ENSSTOG00000019743"
35;33;"transcript13_ENSMPUG00000020072:transcript6_ENSMPUG00000020072;transcript17_ENSECAG00000007947:transcript6_ENSECAG00000007947;transcript10_ENSMPUG00000020072:transcript8_ENSMPUG00000020072;transcript14_ENSECAG00000007947:transcript15_ENSECAG00000007947;transcript21_ENSECAG00000007947:transcript7_ENSECAG00000007947"
36;34;"transcript38_MGP-PahariEiJ-G0020237:transcript36_MGP-PahariEiJ-G0020237;transcript43_ENSCGRG00000018457:transcript22_ENSCGRG00000018457;transcript31_ENSPEMG00000024651:transcript22_ENSPEMG00000024651;transcript38_ENSCGRG00001010245:transcript29_ENSCGRG00001010245;transcript7_ENSCGRG00001010245:transcript37_ENSCGRG00001010245;transcript20_ENSNGAG00000018584:transcript17_ENSNGAG00000018584;transcript14_ENSSTOG00000019743:transcript12_ENSSTOG00000019743"
37;35;transcript12_ENSMPUG00000020072:transcript9_ENSMPUG00000020072
38;36;"transcript48_ENSMSIG00000000513:transcript26_ENSMSIG00000000513;transcript49_ENSMSIG00000000513:transcript47_ENSMSIG00000000513;transcript35_ENSMUGG00000013592:transcript34_ENSMUGG00000013592;transcript8_MGP-CAROLIEiJ-G0020234:transcript32_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503:transcript21_ENSRNOG00000031503;transcript9_ENSRNOG00000031503:transcript32_ENSRNOG00000031503"
39;37;transcript27_ENSSTOG00000019743:transcript2_ENSSTOG00000019743
40;38;"transcript9_ENSMLUG00000027828:transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828:transcript13_ENSMLUG00000027828;transcript25_ENSMPUG00000020072:transcript17_ENSMPUG00000020072;transcript7_ENSMPUG00000020072:transcript23_ENSMPUG00000020072;transcript22_ENSMPUG00000020072:transcript20_ENSMPUG00000020072;transcript7_ENSSTOG00000019743:transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226:transcript24_ENSCCNG00000000226;transcript33_ENSCPOG00000024843:transcript24_ENSCPOG00000024843"
41;39;
42;40;"transcript48_ENSMUGG00000013649:transcript44_ENSMUGG00000013649;transcript54_ENSMUGG00000013592:transcript28_ENSMUGG00000013592;transcript42_ENSRNOG00000031503:transcript8_ENSRNOG00000031503;transcript54_ENSMUSG00000054036:transcript42_ENSMUSG00000054036;transcript55_ENSMUSG00000054036:transcript8_ENSMUSG00000054036"
43;41;"transcript34_ENSRNOG00000031503:transcript27_ENSRNOG00000031503;transcript46_ENSMUGG00000013649:transcript38_ENSMUGG00000013649;transcript49_ENSMUGG00000013649:transcript45_ENSMUGG00000013649"
44;42;"transcript7_ENSCGRG00015005362:transcript42_ENSCGRG00015005362;transcript47_ENSCGRG00000018457:transcript33_ENSCGRG00000018457;transcript7_ENSCGRG00000018457:transcript46_ENSCGRG00000018457;transcript40_ENSCGRG00001010245:transcript33_ENSCGRG00001010245"
45;43;"transcript35_ENSCCNG00000000226:transcript22_ENSCCNG00000000226;transcript35_ENSNGAG00000018584:transcript33_ENSNGAG00000018584"
46;44;"transcript32_ENSECAG00000007947:transcript23_ENSECAG00000007947;transcript33_ENSECAG00000007947:transcript12_ENSECAG00000007947;transcript25_ENSMLUG00000027828:transcript12_ENSMLUG00000027828;transcript27_ENSMLUG00000027828:transcript16_ENSMLUG00000027828;transcript28_ENSMPUG00000020072:transcript25_ENSMPUG00000020072"
47;45;"transcript37_ENSCCNG00000000226:transcript30_ENSCCNG00000000226;transcript8_ENSCPOG00000024843:transcript30_ENSCPOG00000024843"
48;46;"transcript49_ENSCGRG00001010245:transcript37_ENSCGRG00001010245;transcript51_ENSCGRG00001010245:transcript31_ENSCGRG00001010245;transcript7_ENSPEMG00000024651:transcript31_ENSPEMG00000024651"
49;47;"transcript9_MGP-PahariEiJ-G0020237:transcript49_MGP-PahariEiJ-G0020237;transcript44_ENSRNOG00000031503:transcript37_ENSRNOG00000031503;transcript52_MGP-PahariEiJ-G0020237:transcript51_MGP-PahariEiJ-G0020237"
50;48;"transcript7_ENSMUSG00000054036:transcript46_ENSMUSG00000054036;transcript66_MGP-SPRETEiJ-G0021131:transcript49_MGP-SPRETEiJ-G0021131;transcript62_ENSMSIG00000000513:transcript61_ENSMSIG00000000513"
51;49;transcript7_ENSRNOG00000031503:transcript24_ENSRNOG00000031503
52;50;"transcript36_ENSCGRG00000018457:transcript15_ENSCGRG00000018457;transcript7_ENSECAG00000007947:transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947:transcript19_ENSECAG00000007947;transcript7_ENSMLUG00000027828:transcript13_ENSMLUG00000027828"
