;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript58_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript63_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript58_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript39_ENSRNOG00000031503;transcript50_ENSRNOG00000031503;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592
transcript8_MGP-CAROLIEiJ-G0020234;0.812;0.896;0.896;0.896;0.861;0.861;0.833;0.915;0.898;0.898;0.678;1.0;0.919;0.909;0.884;0.93;0.93;0.907;0.93;0.887;0.919;0.887;0.919
transcript47_MGP-CAROLIEiJ-G0020234;0.917;1.0;1.0;1.0;1.0;1.0;0.972;1.0;0.983;0.983;0.763;0.919;1.0;1.0;0.953;1.0;1.0;0.977;1.0;0.968;1.0;0.968;1.0
transcript39_MGP-PahariEiJ-G0020237;0.872;1.0;0.957;0.957;1.0;0.944;1.0;1.0;0.966;1.0;0.741;0.909;1.0;1.0;0.98;1.0;1.0;1.0;0.98;0.972;1.0;0.972;1.0
transcript8_ENSRNOG00000031503;0.833;0.946;0.892;0.892;0.933;0.867;0.966;0.957;0.935;0.978;0.717;0.884;0.953;0.98;1.0;0.964;0.964;0.982;0.946;0.964;0.964;0.964;0.964
transcript31_ENSRNOG00000031503;0.838;1.0;0.946;0.946;1.0;0.933;0.967;1.0;0.936;0.979;0.723;0.93;1.0;1.0;0.964;1.0;1.0;0.982;0.982;0.964;1.0;0.964;1.0
transcript32_ENSRNOG00000031503;0.838;1.0;0.946;0.946;1.0;0.933;0.967;1.0;0.936;0.979;0.723;0.93;1.0;1.0;0.964;1.0;1.0;0.982;0.982;0.964;1.0;0.964;1.0
transcript39_ENSRNOG00000031503;0.811;0.973;0.919;0.919;0.967;0.9;1.0;0.979;0.957;1.0;0.739;0.907;0.977;1.0;0.982;0.982;0.982;1.0;0.964;0.946;0.982;0.946;0.982
transcript50_ENSRNOG00000031503;0.861;0.973;0.972;0.972;0.967;0.966;0.933;0.979;0.957;0.957;0.739;0.93;1.0;0.98;0.946;0.982;0.982;0.964;1.0;0.946;0.982;0.946;0.982
transcript12_ENSMUGG00000013649;0.92;0.962;0.923;0.923;0.95;0.9;0.925;0.969;0.923;0.954;0.708;0.887;0.968;0.972;0.964;0.964;0.964;0.946;0.946;1.0;0.975;1.0;0.975
transcript32_ENSMUGG00000013649;0.885;1.0;0.962;0.962;1.0;0.95;0.975;1.0;0.954;0.985;0.738;0.919;1.0;1.0;0.964;1.0;1.0;0.982;0.982;0.975;1.0;0.975;1.0
transcript50_ENSMUGG00000013649;0.92;0.962;0.923;0.923;0.95;0.9;0.925;0.969;0.923;0.954;0.708;0.887;0.968;0.972;0.964;0.964;0.964;0.946;0.946;1.0;0.975;1.0;0.975
transcript32_ENSMUGG00000013592;0.885;1.0;0.962;0.962;1.0;0.95;0.975;1.0;0.954;0.985;0.738;0.919;1.0;1.0;0.964;1.0;1.0;0.982;0.982;0.975;1.0;0.975;1.0
