;transcript7_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript57_MGP-PahariEiJ-G0020237
transcript67_ENSMSIG00000000513;0.794;0.753;0.759;0.961;0.871;0.955;0.98;0.822;0.744;0.899;1.0;0.63;0.621;0.624;0.615;0.694;0.69;0.666;0.677;0.673;0.713;0.81
transcript59_MGP-SPRETEiJ-G0021131;0.69;0.717;0.667;0.652;0.611;0.657;0.641;0.648;0.605;0.606;0.63;1.0;0.849;0.992;0.843;0.927;0.912;0.896;0.931;0.903;0.811;0.797
transcript59_MGP-CAROLIEiJ-G0020234;0.682;0.653;0.659;0.645;0.7;0.65;0.634;0.648;0.701;0.605;0.621;0.849;1.0;0.843;0.992;0.79;0.776;0.76;0.793;0.768;0.756;0.746
transcript61_MGP-SPRETEiJ-G0021131;0.683;0.71;0.66;0.646;0.605;0.651;0.636;0.641;0.599;0.6;0.624;0.992;0.843;1.0;0.847;0.921;0.905;0.889;0.925;0.897;0.805;0.792
transcript61_MGP-CAROLIEiJ-G0020234;0.675;0.646;0.651;0.639;0.694;0.644;0.628;0.641;0.694;0.599;0.615;0.843;0.992;0.847;1.0;0.784;0.77;0.753;0.786;0.761;0.75;0.74
transcript62_MGP-SPRETEiJ-G0021131;0.703;0.73;0.681;0.672;0.625;0.677;0.706;0.606;0.566;0.671;0.694;0.927;0.79;0.921;0.784;1.0;0.985;0.969;0.982;0.976;0.82;0.86
transcript69_MGP-SPRETEiJ-G0021131;0.689;0.716;0.667;0.66;0.611;0.664;0.693;0.593;0.552;0.657;0.69;0.912;0.776;0.905;0.77;0.985;1.0;0.954;0.967;0.962;0.807;0.848
transcript70_MGP-SPRETEiJ-G0021131;0.672;0.7;0.65;0.645;0.597;0.649;0.679;0.577;0.537;0.643;0.666;0.896;0.76;0.889;0.753;0.969;0.954;1.0;0.951;0.946;0.792;0.833
transcript71_MGP-SPRETEiJ-G0021131;0.684;0.712;0.663;0.673;0.625;0.678;0.69;0.606;0.566;0.654;0.677;0.931;0.793;0.925;0.786;0.982;0.967;0.951;1.0;0.958;0.803;0.845
transcript72_MGP-SPRETEiJ-G0021131;0.71;0.737;0.688;0.652;0.604;0.657;0.685;0.585;0.544;0.65;0.673;0.903;0.768;0.897;0.761;0.976;0.962;0.946;0.958;1.0;0.799;0.84
transcript54_ENSMUSG00000054036;0.694;0.667;0.707;0.693;0.645;0.697;0.709;0.639;0.593;0.652;0.713;0.811;0.756;0.805;0.75;0.82;0.807;0.792;0.803;0.799;1.0;0.895
transcript57_MGP-PahariEiJ-G0020237;0.653;0.629;0.633;0.789;0.728;0.794;0.805;0.676;0.625;0.738;0.81;0.797;0.746;0.792;0.74;0.86;0.848;0.833;0.845;0.84;0.895;1.0
