;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENST00000419227_90_90;0.294;0.273;0.141;0.144;0.426;0.448;0.375;0.537;0.459;0.277;1.0;0.439;0.423;0.478;0.092;0.338;0.223;0.39;0.439;0.445;0.225;0.336;0.404;0.093;0.121;0.117;0.119;0.106;0.142;0.121;0.122;0.235;0.219;0.225;0.217;0.225;0.225;0.0;0.167;0.273;0.178;0.145;0.168;0.176;0.0;0.022;0.111;0.043;0.168
ENST00000419354_90_90;0.394;0.361;0.298;0.28;0.964;0.928;0.267;0.811;0.956;0.122;0.439;1.0;0.186;0.919;0.041;0.149;0.663;0.3;1.0;0.922;0.671;0.15;0.23;0.057;0.134;0.131;0.133;0.128;0.151;0.135;0.135;0.594;0.611;0.632;0.611;0.63;0.632;0.06;0.345;0.435;0.176;0.107;0.168;0.174;0.0;0.011;0.135;0.06;0.168
ENST00000419553_90_90;0.161;0.153;0.014;0.014;0.18;0.19;0.696;0.227;0.194;0.655;0.423;0.186;1.0;0.202;0.218;0.8;0.0;0.0;0.186;0.188;0.0;0.224;0.809;0.131;0.072;0.07;0.071;0.028;0.083;0.072;0.073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.129;0.0;0.124;0.127;0.0;0.037;0.0;0.064;0.124
ENST00000422288_90_90;0.366;0.335;0.277;0.259;0.886;0.931;0.194;0.731;0.961;0.132;0.478;0.919;0.202;1.0;0.044;0.162;0.655;0.276;0.919;0.925;0.664;0.163;0.201;0.06;0.088;0.086;0.087;0.069;0.096;0.088;0.088;0.584;0.544;0.562;0.543;0.561;0.562;0.065;0.374;0.419;0.127;0.075;0.119;0.126;0.0;0.012;0.065;0.027;0.12
ENST00000434148_90_90;0.036;0.034;0.0;0.0;0.039;0.041;0.152;0.05;0.042;0.333;0.092;0.041;0.218;0.044;1.0;0.273;0.0;0.0;0.041;0.041;0.0;0.0;0.176;0.019;0.01;0.01;0.01;0.0;0.0;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035;0.0;0.035;0.034;0.0;0.062;0.0;0.0;0.035
ENST00000436682_90_90;0.129;0.123;0.015;0.015;0.144;0.152;0.557;0.182;0.155;0.818;0.338;0.149;0.8;0.162;0.273;1.0;0.0;0.0;0.149;0.151;0.0;0.094;0.647;0.14;0.075;0.072;0.073;0.03;0.087;0.075;0.075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.104;0.0;0.105;0.102;0.0;0.042;0.0;0.026;0.106
ENST00000443183_90_90;0.317;0.289;0.358;0.339;0.641;0.67;0.026;0.5;0.689;0.0;0.223;0.663;0.0;0.655;0.0;0.0;1.0;0.362;0.663;0.666;0.985;0.081;0.034;0.0;0.143;0.147;0.142;0.203;0.18;0.151;0.144;0.641;0.595;0.616;0.827;0.619;0.616;0.065;0.375;0.471;0.151;0.117;0.152;0.15;0.0;0.0;0.172;0.117;0.153
ENST00000447466_90_90;0.195;0.18;0.183;0.187;0.292;0.306;0.054;0.365;0.314;0.0;0.39;0.3;0.0;0.276;0.0;0.0;0.362;1.0;0.3;0.304;0.367;0.114;0.071;0.0;0.088;0.085;0.086;0.135;0.113;0.088;0.088;0.349;0.322;0.332;0.351;0.331;0.332;0.0;0.304;0.429;0.088;0.203;0.089;0.087;0.0;0.0;0.197;0.035;0.089
ENST00000448528_90_90;0.394;0.361;0.298;0.28;0.964;0.928;0.267;0.811;0.956;0.122;0.439;1.0;0.186;0.919;0.041;0.149;0.663;0.3;1.0;0.922;0.671;0.15;0.23;0.057;0.134;0.131;0.133;0.128;0.151;0.135;0.135;0.594;0.611;0.632;0.611;0.63;0.632;0.06;0.345;0.435;0.176;0.107;0.168;0.174;0.0;0.011;0.135;0.06;0.168
ENST00000450955_90_90;0.365;0.335;0.294;0.276;0.957;0.993;0.216;0.745;0.962;0.123;0.445;0.922;0.188;0.925;0.041;0.151;0.666;0.304;0.922;1.0;0.674;0.152;0.233;0.057;0.107;0.105;0.106;0.094;0.119;0.107;0.108;0.596;0.605;0.575;0.556;0.573;0.575;0.061;0.35;0.441;0.147;0.109;0.139;0.146;0.0;0.012;0.095;0.025;0.139
ENST00000452595_90_90;0.32;0.292;0.354;0.334;0.648;0.678;0.027;0.506;0.698;0.0;0.225;0.671;0.0;0.664;0.0;0.0;0.985;0.367;0.671;0.674;1.0;0.082;0.034;0.0;0.145;0.148;0.143;0.205;0.182;0.152;0.146;0.649;0.602;0.623;0.82;0.621;0.623;0.066;0.381;0.477;0.152;0.119;0.154;0.151;0.0;0.0;0.174;0.118;0.154
ENST00000453607_90_90;0.12;0.114;0.088;0.09;0.146;0.153;0.196;0.183;0.157;0.0;0.336;0.15;0.224;0.163;0.0;0.094;0.081;0.114;0.15;0.152;0.082;1.0;0.219;0.058;0.105;0.102;0.103;0.179;0.143;0.106;0.106;0.086;0.08;0.082;0.079;0.082;0.082;0.0;0.0;0.116;0.132;0.31;0.119;0.13;0.0;0.0;0.188;0.088;0.119
ENST00000456699_90_90;0.18;0.171;0.032;0.032;0.223;0.234;0.815;0.281;0.24;0.529;0.404;0.23;0.809;0.201;0.176;0.647;0.034;0.071;0.23;0.233;0.034;0.219;1.0;0.122;0.106;0.102;0.104;0.08;0.127;0.106;0.107;0.035;0.033;0.034;0.033;0.034;0.034;0.0;0.0;0.046;0.172;0.109;0.159;0.17;0.0;0.033;0.075;0.059;0.16
ENST00000378154_90_90;0.225;0.215;0.016;0.017;0.055;0.057;0.116;0.065;0.058;0.099;0.093;0.057;0.131;0.06;0.019;0.14;0.0;0.0;0.057;0.057;0.0;0.058;0.122;1.0;0.503;0.485;0.493;0.057;0.221;0.49;0.509;0.088;0.084;0.085;0.0;0.085;0.085;0.0;0.0;0.11;0.348;0.0;0.353;0.343;0.203;0.359;0.0;0.04;0.35
ENST00000378158_90_90;0.324;0.369;0.146;0.148;0.132;0.107;0.14;0.15;0.109;0.056;0.121;0.134;0.072;0.088;0.01;0.075;0.143;0.088;0.134;0.107;0.145;0.105;0.106;0.503;1.0;0.963;0.98;0.538;0.658;0.923;0.949;0.139;0.163;0.166;0.172;0.166;0.166;0.0;0.0;0.164;0.758;0.149;0.759;0.754;0.108;0.191;0.304;0.327;0.755
ENST00000378163_90_90;0.327;0.387;0.156;0.158;0.129;0.105;0.136;0.146;0.107;0.054;0.117;0.131;0.07;0.086;0.01;0.072;0.147;0.085;0.131;0.105;0.148;0.102;0.102;0.485;0.963;1.0;0.983;0.544;0.695;0.96;0.953;0.136;0.16;0.163;0.175;0.162;0.163;0.0;0.0;0.159;0.759;0.144;0.776;0.771;0.104;0.184;0.293;0.337;0.773
ENST00000378166_90_90;0.319;0.379;0.152;0.154;0.13;0.106;0.138;0.148;0.108;0.054;0.119;0.133;0.071;0.087;0.01;0.073;0.142;0.086;0.133;0.106;0.143;0.103;0.104;0.493;0.98;0.983;1.0;0.527;0.678;0.943;0.969;0.137;0.161;0.164;0.17;0.164;0.164;0.0;0.0;0.161;0.744;0.146;0.761;0.756;0.105;0.187;0.298;0.32;0.758
ENST00000378168_90_90;0.209;0.26;0.21;0.214;0.125;0.094;0.131;0.148;0.096;0.0;0.106;0.128;0.028;0.069;0.0;0.03;0.203;0.135;0.128;0.094;0.205;0.179;0.08;0.057;0.538;0.544;0.527;1.0;0.708;0.519;0.497;0.086;0.117;0.12;0.242;0.12;0.12;0.0;0.0;0.106;0.483;0.264;0.482;0.482;0.0;0.0;0.537;0.578;0.483
ENST00000378179_90_90;0.267;0.309;0.191;0.194;0.148;0.119;0.172;0.172;0.121;0.061;0.142;0.151;0.083;0.096;0.0;0.087;0.18;0.113;0.151;0.119;0.182;0.143;0.127;0.221;0.658;0.695;0.678;0.708;1.0;0.724;0.699;0.077;0.105;0.107;0.215;0.107;0.107;0.0;0.0;0.093;0.526;0.207;0.549;0.534;0.0;0.0;0.421;0.479;0.551
ENST00000421587_90_90;0.333;0.372;0.152;0.154;0.132;0.108;0.141;0.15;0.109;0.056;0.121;0.135;0.072;0.088;0.01;0.075;0.151;0.088;0.135;0.107;0.152;0.106;0.106;0.49;0.923;0.96;0.943;0.519;0.724;1.0;0.972;0.139;0.164;0.167;0.18;0.166;0.167;0.0;0.0;0.164;0.771;0.15;0.8;0.778;0.108;0.179;0.306;0.35;0.797
ENST00000442742_90_90;0.326;0.365;0.147;0.149;0.133;0.108;0.142;0.151;0.11;0.056;0.122;0.135;0.073;0.088;0.01;0.075;0.144;0.088;0.135;0.108;0.146;0.106;0.107;0.509;0.949;0.953;0.969;0.497;0.699;0.972;1.0;0.14;0.164;0.167;0.173;0.167;0.167;0.0;0.0;0.165;0.748;0.151;0.777;0.755;0.109;0.193;0.308;0.33;0.774
ENSMUST00000023454_90_90;0.308;0.289;0.33;0.31;0.575;0.6;0.028;0.438;0.617;0.0;0.235;0.594;0.0;0.584;0.0;0.0;0.641;0.349;0.594;0.596;0.649;0.086;0.035;0.088;0.139;0.136;0.137;0.086;0.077;0.139;0.14;1.0;0.913;0.951;0.708;0.948;0.951;0.087;0.476;0.71;0.139;0.125;0.141;0.138;0.055;0.069;0.106;0.0;0.141
ENSMUST00000064477_90_90;0.323;0.303;0.357;0.337;0.641;0.599;0.066;0.463;0.575;0.0;0.219;0.611;0.0;0.544;0.0;0.0;0.595;0.322;0.611;0.605;0.602;0.08;0.033;0.084;0.163;0.16;0.161;0.117;0.105;0.164;0.164;0.913;1.0;0.96;0.724;0.957;0.96;0.08;0.438;0.653;0.164;0.115;0.165;0.162;0.051;0.064;0.144;0.035;0.166
ENSMUST00000100001_90_90;0.329;0.309;0.346;0.326;0.611;0.578;0.068;0.475;0.594;0.0;0.225;0.632;0.0;0.562;0.0;0.0;0.616;0.332;0.632;0.575;0.623;0.082;0.034;0.085;0.166;0.163;0.164;0.12;0.107;0.167;0.167;0.951;0.96;1.0;0.75;0.996;1.0;0.082;0.453;0.675;0.167;0.119;0.168;0.165;0.053;0.066;0.148;0.036;0.169
ENSMUST00000115196_90_90;0.315;0.295;0.415;0.394;0.591;0.559;0.065;0.459;0.574;0.0;0.217;0.611;0.0;0.543;0.0;0.0;0.827;0.351;0.611;0.556;0.82;0.079;0.033;0.0;0.172;0.175;0.17;0.242;0.215;0.18;0.173;0.708;0.724;0.75;1.0;0.753;0.75;0.079;0.434;0.473;0.18;0.114;0.181;0.178;0.0;0.0;0.218;0.157;0.182
ENSMUST00000115201_90_90;0.329;0.308;0.349;0.329;0.61;0.576;0.068;0.474;0.592;0.0;0.225;0.63;0.0;0.561;0.0;0.0;0.619;0.331;0.63;0.573;0.621;0.082;0.034;0.085;0.166;0.162;0.164;0.12;0.107;0.166;0.167;0.948;0.957;0.996;0.753;1.0;0.996;0.082;0.451;0.673;0.166;0.118;0.168;0.165;0.053;0.066;0.147;0.036;0.168
ENSMUST00000115205_90_90;0.329;0.309;0.346;0.326;0.611;0.578;0.068;0.475;0.594;0.0;0.225;0.632;0.0;0.562;0.0;0.0;0.616;0.332;0.632;0.575;0.623;0.082;0.034;0.085;0.166;0.163;0.164;0.12;0.107;0.167;0.167;0.951;0.96;1.0;0.75;0.996;1.0;0.082;0.453;0.675;0.167;0.119;0.168;0.165;0.053;0.066;0.148;0.036;0.169
ENSMUST00000130920_90_90;0.038;0.033;0.058;0.06;0.058;0.061;0.0;0.073;0.063;0.0;0.0;0.06;0.0;0.065;0.0;0.0;0.065;0.0;0.06;0.061;0.066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.087;0.08;0.082;0.079;0.082;0.082;1.0;0.182;0.121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000131136_90_90;0.196;0.178;0.221;0.215;0.335;0.352;0.0;0.391;0.36;0.0;0.167;0.345;0.0;0.374;0.0;0.0;0.375;0.304;0.345;0.35;0.381;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.476;0.438;0.453;0.434;0.451;0.453;0.182;1.0;0.538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000132176_90_90;0.356;0.33;0.234;0.229;0.424;0.443;0.036;0.52;0.453;0.0;0.273;0.435;0.0;0.419;0.0;0.0;0.471;0.429;0.435;0.441;0.477;0.116;0.046;0.11;0.164;0.159;0.161;0.106;0.093;0.164;0.165;0.71;0.653;0.675;0.473;0.673;0.675;0.121;0.538;1.0;0.164;0.171;0.166;0.163;0.075;0.092;0.138;0.0;0.167
ENSMUST00000033321_90_90;0.396;0.431;0.152;0.154;0.173;0.147;0.209;0.197;0.149;0.092;0.178;0.176;0.129;0.127;0.035;0.104;0.151;0.088;0.176;0.147;0.152;0.132;0.172;0.348;0.758;0.759;0.744;0.483;0.526;0.771;0.748;0.139;0.164;0.167;0.18;0.166;0.167;0.0;0.0;0.164;1.0;0.15;0.955;0.986;0.108;0.183;0.306;0.388;0.952
ENSMUST00000115435_90_90;0.051;0.049;0.096;0.099;0.104;0.11;0.079;0.13;0.112;0.0;0.145;0.107;0.0;0.075;0.0;0.0;0.117;0.203;0.107;0.109;0.119;0.31;0.109;0.0;0.149;0.144;0.146;0.264;0.207;0.15;0.151;0.125;0.115;0.119;0.114;0.118;0.119;0.0;0.0;0.171;0.15;1.0;0.152;0.148;0.0;0.0;0.473;0.0;0.153
ENSMUST00000115436_90_90;0.381;0.419;0.16;0.162;0.165;0.14;0.196;0.189;0.142;0.093;0.168;0.168;0.124;0.119;0.035;0.105;0.152;0.089;0.168;0.139;0.154;0.119;0.159;0.353;0.759;0.776;0.761;0.482;0.549;0.8;0.777;0.141;0.165;0.168;0.181;0.168;0.168;0.0;0.0;0.166;0.955;0.152;1.0;0.969;0.11;0.187;0.311;0.395;0.996
ENSMUST00000115438_90_90;0.393;0.44;0.159;0.161;0.171;0.146;0.206;0.196;0.148;0.09;0.176;0.174;0.127;0.126;0.034;0.102;0.15;0.087;0.174;0.146;0.151;0.13;0.17;0.343;0.754;0.771;0.756;0.482;0.534;0.778;0.755;0.138;0.162;0.165;0.178;0.165;0.165;0.0;0.0;0.163;0.986;0.148;0.969;1.0;0.107;0.181;0.301;0.383;0.966
ENSMUST00000124710_90_90;0.046;0.044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.203;0.108;0.104;0.105;0.0;0.0;0.108;0.109;0.055;0.051;0.053;0.0;0.053;0.053;0.0;0.0;0.075;0.108;0.0;0.11;0.107;1.0;0.048;0.0;0.0;0.106
ENSMUST00000128012_90_90;0.087;0.083;0.0;0.0;0.011;0.012;0.031;0.014;0.012;0.045;0.022;0.011;0.037;0.012;0.062;0.042;0.0;0.0;0.011;0.012;0.0;0.0;0.033;0.359;0.191;0.184;0.187;0.0;0.0;0.179;0.193;0.069;0.064;0.066;0.0;0.066;0.066;0.0;0.0;0.092;0.183;0.0;0.187;0.181;0.048;1.0;0.0;0.0;0.187
ENSMUST00000128095_90_90;0.135;0.129;0.151;0.155;0.132;0.095;0.15;0.161;0.097;0.0;0.111;0.135;0.0;0.065;0.0;0.0;0.172;0.197;0.135;0.095;0.174;0.188;0.075;0.0;0.304;0.293;0.298;0.537;0.421;0.306;0.308;0.106;0.144;0.148;0.218;0.147;0.148;0.0;0.0;0.138;0.306;0.473;0.311;0.301;0.0;0.0;1.0;0.288;0.312
ENSMUST00000139735_90_90;0.191;0.223;0.153;0.156;0.059;0.026;0.138;0.07;0.026;0.0;0.043;0.06;0.064;0.027;0.0;0.026;0.117;0.035;0.06;0.025;0.118;0.088;0.059;0.04;0.327;0.337;0.32;0.578;0.479;0.35;0.33;0.0;0.035;0.036;0.157;0.036;0.036;0.0;0.0;0.0;0.388;0.0;0.395;0.383;0.0;0.0;0.288;1.0;0.396
ENSMUST00000156096_90_90;0.382;0.42;0.161;0.163;0.165;0.14;0.197;0.189;0.142;0.093;0.168;0.168;0.124;0.12;0.035;0.106;0.153;0.089;0.168;0.139;0.154;0.119;0.16;0.35;0.755;0.773;0.758;0.483;0.551;0.797;0.774;0.141;0.166;0.169;0.182;0.168;0.169;0.0;0.0;0.167;0.952;0.153;0.996;0.966;0.106;0.187;0.312;0.396;1.0
