;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript27_ENSAPOG00000023408;0.995;1.0;0.833;0.977;0.981;0.942;0.956;0.935;0.995;0.841;1.0;0.9;0.833;0.84;0.773;0.707;0.832;0.965;0.835;1.0;0.935;0.969;0.956;0.935;0.965
transcript30_ENSAPOG00000023408;0.904;0.9;0.779;0.923;0.882;0.844;0.858;0.837;0.904;0.787;0.9;1.0;0.779;0.935;0.719;0.653;0.778;0.911;0.781;0.9;0.88;0.87;0.858;0.837;0.911
transcript32_ENSAPOG00000023408;0.829;0.833;1.0;0.856;0.815;0.777;0.79;0.77;0.829;0.721;0.833;0.779;1.0;0.719;0.93;0.853;0.999;0.845;0.715;0.833;0.813;0.803;0.79;0.77;0.845
transcript40_ENSAPOG00000023408;0.844;0.84;0.719;0.863;0.822;0.784;0.798;0.777;0.844;0.728;0.84;0.935;0.719;1.0;0.765;0.592;0.718;0.852;0.722;0.84;0.82;0.81;0.798;0.777;0.852
transcript41_ENSAPOG00000023408;0.768;0.773;0.93;0.796;0.755;0.717;0.73;0.71;0.768;0.662;0.773;0.719;0.93;0.765;1.0;0.782;0.929;0.785;0.655;0.773;0.753;0.743;0.73;0.71;0.785
transcript42_ENSAPOG00000023408;0.702;0.707;0.853;0.73;0.689;0.673;0.664;0.666;0.702;0.596;0.707;0.653;0.853;0.592;0.782;1.0;0.852;0.72;0.6;0.707;0.687;0.677;0.664;0.666;0.72
transcript43_ENSAPOG00000023408;0.828;0.832;0.999;0.855;0.814;0.776;0.79;0.769;0.828;0.721;0.832;0.778;0.999;0.718;0.929;0.852;1.0;0.844;0.715;0.832;0.812;0.803;0.79;0.769;0.844
transcript1_ENSAOCG00000015695;0.96;0.965;0.845;0.987;0.947;0.909;0.923;0.902;0.96;0.876;0.965;0.911;0.845;0.852;0.785;0.72;0.844;1.0;0.87;0.965;0.945;0.935;0.923;0.902;1.0
transcript8_ENSAOCG00000015695;0.831;0.835;0.715;0.857;0.85;0.858;0.872;0.85;0.831;0.992;0.835;0.781;0.715;0.722;0.655;0.6;0.715;0.87;1.0;0.835;0.895;0.861;0.872;0.85;0.87
transcript25_ENSAOCG00000015695;0.995;1.0;0.833;0.977;0.981;0.942;0.956;0.935;0.995;0.841;1.0;0.9;0.833;0.84;0.773;0.707;0.832;0.965;0.835;1.0;0.935;0.969;0.956;0.935;0.965
transcript26_ENSAOCG00000015695;0.93;0.935;0.813;0.957;0.917;0.962;0.976;0.955;0.93;0.901;0.935;0.88;0.813;0.82;0.753;0.687;0.812;0.945;0.895;0.935;1.0;0.904;0.976;0.955;0.945
transcript36_ENSAOCG00000015695;0.964;0.969;0.803;0.947;0.95;0.911;0.925;0.904;0.964;0.867;0.969;0.87;0.803;0.81;0.743;0.677;0.803;0.935;0.861;0.969;0.904;1.0;0.925;0.904;0.935
transcript37_ENSAOCG00000015695;0.952;0.956;0.79;0.935;0.938;0.985;1.0;0.978;0.952;0.878;0.956;0.858;0.79;0.798;0.73;0.664;0.79;0.923;0.872;0.956;0.976;0.925;1.0;0.978;0.923
transcript38_ENSAOCG00000015695;0.931;0.935;0.77;0.914;0.917;0.992;0.978;1.0;0.931;0.857;0.935;0.837;0.77;0.777;0.71;0.666;0.769;0.902;0.85;0.935;0.955;0.904;0.978;1.0;0.902
transcript22_ENSPNYG00000024266;0.96;0.965;0.845;0.987;0.947;0.909;0.923;0.902;0.96;0.876;0.965;0.911;0.845;0.852;0.785;0.72;0.844;1.0;0.87;0.965;0.945;0.935;0.923;0.902;1.0
