;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript21_ENSHGLG00100006079;0.927;0.927;0.997;0.997;0.931;0.997;0.565;0.92;0.832;1.0;1.0;1.0;0.722;0.843;0.994;0.728;0.791;0.873;0.853;0.866;0.86;0.911;0.857;0.691;0.898;0.874;0.819;0.819
transcript22_ENSHGLG00100006079;0.774;0.774;0.72;0.72;0.774;0.72;0.268;0.641;0.599;0.722;0.722;0.722;1.0;0.617;0.73;0.981;0.581;0.68;0.629;0.684;0.633;0.669;0.629;0.851;0.653;0.695;0.594;0.594
transcript0_ENSMUNG00000002391;0.891;0.891;0.943;0.954;0.906;0.954;0.545;0.846;0.989;0.843;0.843;0.843;0.617;1.0;0.846;0.627;0.807;0.811;0.864;0.805;0.869;0.916;0.869;0.649;0.885;0.887;0.859;0.859
transcript21_ENSMUNG00000002391;0.946;0.946;0.997;0.997;0.949;0.997;0.573;0.888;0.84;0.994;0.994;0.994;0.73;0.846;1.0;0.742;0.79;0.88;0.855;0.874;0.86;0.913;0.859;0.702;0.9;0.883;0.816;0.816
transcript22_ENSMUNG00000002391;0.785;0.785;0.74;0.74;0.785;0.74;0.295;0.628;0.614;0.728;0.728;0.728;0.981;0.627;0.742;1.0;0.584;0.688;0.632;0.692;0.637;0.672;0.632;0.855;0.657;0.694;0.599;0.599
transcript8_ENSAPOG00000016134;0.757;0.757;0.814;0.842;0.786;0.842;0.512;0.74;0.798;0.791;0.791;0.791;0.581;0.807;0.79;0.584;1.0;0.649;0.919;0.641;0.904;0.857;0.924;0.518;0.83;0.827;0.987;0.987
transcript10_ENSAPOG00000016134;0.859;0.859;0.878;0.879;0.861;0.879;0.528;0.802;0.803;0.873;0.873;0.873;0.68;0.811;0.88;0.688;0.649;1.0;0.711;0.988;0.723;0.782;0.719;0.793;0.771;0.799;0.668;0.668
transcript12_ENSAPOG00000016134;0.818;0.818;0.877;0.895;0.839;0.895;0.544;0.791;0.854;0.853;0.853;0.853;0.629;0.864;0.855;0.632;0.919;0.711;1.0;0.704;0.984;0.924;1.0;0.565;0.896;0.892;0.908;0.908
transcript17_ENSAPOG00000016134;0.853;0.853;0.872;0.873;0.855;0.873;0.522;0.796;0.798;0.866;0.866;0.866;0.684;0.805;0.874;0.692;0.641;0.988;0.704;1.0;0.715;0.776;0.714;0.798;0.766;0.794;0.664;0.664
transcript20_ENSAPOG00000016134;0.825;0.825;0.883;0.901;0.844;0.901;0.547;0.796;0.859;0.86;0.86;0.86;0.633;0.869;0.86;0.637;0.904;0.723;0.984;0.715;1.0;0.94;0.984;0.575;0.911;0.907;0.893;0.893
transcript7_ENSAPOG00000023408;0.875;0.875;0.935;0.942;0.885;0.942;0.573;0.835;0.904;0.911;0.911;0.911;0.669;0.916;0.913;0.672;0.857;0.782;0.924;0.776;0.94;1.0;0.924;0.615;0.966;0.966;0.847;0.847
transcript12_ENSAPOG00000023408;0.822;0.822;0.88;0.899;0.843;0.899;0.547;0.795;0.859;0.857;0.857;0.857;0.629;0.869;0.859;0.632;0.924;0.719;1.0;0.714;0.984;0.924;1.0;0.565;0.893;0.892;0.913;0.913
transcript22_ENSAPOG00000023408;0.716;0.716;0.701;0.701;0.716;0.701;0.324;0.619;0.639;0.691;0.691;0.691;0.851;0.649;0.702;0.855;0.518;0.793;0.565;0.798;0.575;0.615;0.565;1.0;0.599;0.635;0.528;0.528
transcript23_ENSAPOG00000023408;0.857;0.857;0.917;0.922;0.866;0.922;0.551;0.816;0.871;0.898;0.898;0.898;0.653;0.885;0.9;0.657;0.83;0.771;0.896;0.766;0.911;0.966;0.893;0.599;1.0;0.932;0.821;0.821
transcript24_ENSAPOG00000023408;0.89;0.89;0.897;0.904;0.898;0.904;0.532;0.797;0.867;0.874;0.874;0.874;0.695;0.887;0.883;0.694;0.827;0.799;0.892;0.794;0.907;0.966;0.892;0.635;0.932;1.0;0.817;0.817
transcript0_ENSPNYG00000024266;0.782;0.782;0.843;0.872;0.812;0.872;0.514;0.764;0.856;0.819;0.819;0.819;0.594;0.859;0.816;0.599;0.987;0.668;0.908;0.664;0.893;0.847;0.913;0.528;0.821;0.817;1.0;1.0
transcript0_ENSXMAG00000026005;0.782;0.782;0.843;0.872;0.812;0.872;0.514;0.764;0.856;0.819;0.819;0.819;0.594;0.859;0.816;0.599;0.987;0.668;0.908;0.664;0.893;0.847;0.913;0.528;0.821;0.817;1.0;1.0
