;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENST00000435861_90_90;0.145;0.157;0.157;0.144;0.144;0.637;0.725;0.825;0.144;0.0;1.0;1.0;0.156;0.0;0.155;0.316;0.279;0.691;0.145;0.145;0.157;0.157;0.267;0.089;0.593
ENST00000438930_90_90;0.145;0.157;0.157;0.144;0.144;0.637;0.725;0.825;0.144;0.0;1.0;1.0;0.156;0.0;0.155;0.316;0.279;0.691;0.145;0.145;0.157;0.157;0.267;0.089;0.593
ENST00000442516_90_90;0.023;0.024;0.024;0.023;0.023;0.1;0.215;0.13;0.023;0.0;0.156;0.156;1.0;0.0;0.024;0.494;0.56;0.226;0.023;0.023;0.024;0.024;0.042;0.571;0.093
ENST00000446600_90_90;0.853;0.777;0.777;0.854;0.854;0.079;0.0;0.027;0.854;0.144;0.0;0.0;0.0;1.0;0.778;0.0;0.0;0.0;0.85;0.852;0.778;0.778;0.396;0.0;0.098
ENST00000446820_90_90;0.924;0.999;0.999;0.924;0.924;0.243;0.113;0.188;0.924;0.133;0.155;0.155;0.024;0.778;1.0;0.049;0.043;0.108;0.924;0.926;0.999;0.999;0.585;0.014;0.264
ENST00000451769_90_90;0.046;0.05;0.05;0.046;0.046;0.202;0.436;0.262;0.046;0.0;0.316;0.316;0.494;0.0;0.049;1.0;0.882;0.457;0.046;0.046;0.05;0.05;0.084;0.282;0.187
ENST00000456590_90_90;0.04;0.044;0.044;0.04;0.04;0.179;0.385;0.231;0.04;0.0;0.279;0.279;0.56;0.0;0.043;0.882;1.0;0.403;0.041;0.04;0.044;0.044;0.074;0.32;0.165
ENST00000457529_90_90;0.1;0.108;0.108;0.1;0.1;0.443;0.954;0.574;0.1;0.0;0.691;0.691;0.226;0.0;0.108;0.457;0.403;1.0;0.101;0.1;0.108;0.108;0.185;0.129;0.41
ENSMUST00000005072_90_90;0.997;0.925;0.925;0.997;0.997;0.227;0.105;0.175;0.997;0.121;0.145;0.145;0.023;0.85;0.924;0.046;0.041;0.101;1.0;0.998;0.924;0.924;0.527;0.013;0.245
ENSMUST00000111142_90_90;0.999;0.927;0.927;0.998;0.998;0.226;0.105;0.174;0.998;0.123;0.145;0.145;0.023;0.852;0.926;0.046;0.04;0.1;0.998;1.0;0.926;0.926;0.526;0.013;0.244
ENSMUST00000111144_90_90;0.926;1.0;1.0;0.925;0.925;0.244;0.114;0.188;0.925;0.132;0.157;0.157;0.024;0.778;0.999;0.05;0.044;0.108;0.924;0.926;1.0;1.0;0.567;0.014;0.264
ENSMUST00000111145_90_90;0.926;1.0;1.0;0.925;0.925;0.244;0.114;0.188;0.925;0.132;0.157;0.157;0.024;0.778;0.999;0.05;0.044;0.108;0.924;0.926;1.0;1.0;0.567;0.014;0.264
ENSMUST00000125827_90_90;0.544;0.586;0.586;0.543;0.543;0.416;0.193;0.32;0.543;0.089;0.267;0.267;0.042;0.396;0.585;0.084;0.074;0.185;0.527;0.526;0.567;0.567;1.0;0.022;0.424
ENSMUST00000130345_90_90;0.013;0.014;0.014;0.013;0.013;0.057;0.123;0.074;0.013;0.0;0.089;0.089;0.571;0.0;0.014;0.282;0.32;0.129;0.013;0.013;0.014;0.014;0.022;1.0;0.053
ENSMUST00000199239_90_90;0.245;0.265;0.265;0.244;0.244;0.923;0.43;0.711;0.244;0.0;0.593;0.593;0.093;0.098;0.264;0.187;0.165;0.41;0.245;0.244;0.264;0.264;0.424;0.053;1.0
