;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENST00000526917_90_90;0.057;0.132;0.058;0.057;0.0;0.056;0.058;0.0;0.0;0.0;0.169;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.057;0.093;0.0;0.096;0.058;0.065;0.058;0.056
ENST00000527631_90_90;0.166;0.167;0.137;0.166;0.0;0.132;0.172;0.203;0.401;0.203;0.101;0.0;0.0;1.0;0.303;0.242;0.247;0.573;0.0;0.235;0.0;0.166;0.204;0.0;0.167;0.172;0.154;0.137;0.132
ENST00000528603_90_90;0.058;0.036;0.029;0.058;0.0;0.028;0.06;0.043;0.54;0.043;0.071;0.0;0.0;0.303;1.0;0.0;0.086;0.11;0.0;0.215;0.0;0.058;0.071;0.0;0.036;0.06;0.033;0.029;0.028
ENST00000531061_90_90;0.204;0.259;0.211;0.204;0.0;0.203;0.211;0.318;0.0;0.318;0.058;0.0;0.0;0.242;0.0;1.0;0.301;0.543;0.0;0.0;0.0;0.204;0.248;0.0;0.259;0.211;0.238;0.211;0.203
ENST00000531828_90_90;0.701;0.805;0.67;0.701;0.0;0.647;0.723;0.955;0.119;0.955;0.087;0.0;0.0;0.247;0.086;0.301;1.0;0.329;0.0;0.076;0.179;0.701;0.842;0.0;0.805;0.723;0.75;0.67;0.647
ENST00000532975_90_90;0.22;0.282;0.227;0.22;0.0;0.219;0.228;0.348;0.174;0.348;0.159;0.0;0.0;0.573;0.11;0.543;0.329;1.0;0.0;0.184;0.0;0.22;0.27;0.0;0.282;0.228;0.259;0.227;0.219
ENST00000533884_90_90;0.057;0.132;0.058;0.057;0.0;0.056;0.058;0.0;0.0;0.0;0.169;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.057;0.093;0.0;0.096;0.058;0.065;0.058;0.056
ENST00000534040_90_90;0.051;0.065;0.052;0.051;0.0;0.051;0.053;0.08;0.339;0.08;0.119;0.0;0.0;0.235;0.215;0.0;0.076;0.184;0.0;1.0;0.0;0.051;0.062;0.0;0.065;0.053;0.059;0.052;0.051
ENST00000625138_90_90;0.129;0.159;0.133;0.129;0.0;0.128;0.133;0.187;0.0;0.187;0.0;0.0;0.0;0.0;0.0;0.0;0.179;0.0;0.0;0.0;1.0;0.129;0.153;0.0;0.159;0.133;0.149;0.133;0.128
ENSMUST00000030288_90_90;0.959;0.722;0.97;1.0;0.129;0.936;0.968;0.67;0.08;0.67;0.362;0.145;0.057;0.166;0.058;0.204;0.701;0.22;0.057;0.051;0.129;1.0;0.75;0.149;0.722;0.968;0.809;0.97;0.936
ENSMUST00000084366_90_90;0.75;0.903;0.722;0.75;0.0;0.698;0.772;0.805;0.098;0.805;0.161;0.0;0.093;0.204;0.071;0.248;0.842;0.27;0.093;0.062;0.153;0.75;1.0;0.0;0.964;0.772;0.803;0.722;0.698
ENSMUST00000159545_90_90;0.125;0.0;0.155;0.149;0.397;0.149;0.118;0.0;0.0;0.0;0.334;0.873;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.149;0.0;1.0;0.0;0.118;0.052;0.155;0.149
ENSMUST00000160271_90_90;0.722;0.936;0.742;0.722;0.0;0.716;0.744;0.835;0.062;0.835;0.166;0.0;0.096;0.167;0.036;0.259;0.805;0.282;0.096;0.065;0.159;0.722;0.964;0.0;1.0;0.744;0.828;0.742;0.716
ENSMUST00000160774_90_90;0.927;0.744;0.938;0.968;0.099;0.905;1.0;0.693;0.083;0.693;0.33;0.114;0.058;0.172;0.06;0.211;0.723;0.228;0.058;0.053;0.133;0.968;0.772;0.118;0.744;1.0;0.835;0.938;0.905
ENSMUST00000161363_90_90;0.774;0.828;0.833;0.809;0.0;0.803;0.835;0.775;0.057;0.775;0.254;0.051;0.065;0.154;0.033;0.238;0.75;0.259;0.065;0.059;0.149;0.809;0.803;0.052;0.828;0.835;1.0;0.833;0.803
ENSMUST00000162787_90_90;0.93;0.742;1.0;0.97;0.133;0.964;0.938;0.691;0.051;0.691;0.374;0.15;0.058;0.137;0.029;0.211;0.67;0.227;0.058;0.052;0.133;0.97;0.722;0.155;0.742;0.938;0.833;1.0;0.964
ENSMUST00000194478_90_90;0.898;0.716;0.964;0.936;0.129;1.0;0.905;0.665;0.049;0.665;0.361;0.145;0.056;0.132;0.028;0.203;0.647;0.219;0.056;0.051;0.128;0.936;0.698;0.149;0.716;0.905;0.803;0.964;1.0
