;ENSCAFT00000017823_90_90;ENST00000257075_90_90;ENST00000373741_90_90;ENST00000373742_90_90;ENST00000373747_90_90;ENST00000424085_90_90;ENST00000426105_90_90;ENST00000440538_90_90;ENST00000480602_90_90;ENST00000498419_90_90;ENST00000525843_90_90;ENST00000525948_90_90;ENST00000525997_90_90;ENST00000526215_90_90;ENST00000527498_90_90;ENST00000529846_90_90;ENST00000530669_90_90;ENST00000531867_90_90;ENST00000532678_90_90;ENSMUST00000030315_90_90;ENSMUST00000097862_90_90;ENSMUST00000097864_90_90;ENSMUST00000105991_90_90;ENSMUST00000105992_90_90;ENSMUST00000143277_90_90
ENST00000525843_90_90;0.757;0.857;0.865;0.889;0.861;0.743;0.833;0.806;0.088;0.59;1.0;0.061;0.091;0.061;0.059;0.206;0.059;0.061;0.182;0.811;0.784;0.806;0.694;0.757;0.235
ENST00000525948_90_90;0.062;0.062;0.056;0.057;0.059;0.071;0.061;0.062;0.2;0.0;0.061;1.0;0.0;1.0;0.0;0.0;0.0;0.333;0.0;0.059;0.061;0.062;0.071;0.062;0.222
ENST00000525997_90_90;0.094;0.094;0.083;0.086;0.088;0.107;0.091;0.094;0.0;0.103;0.091;0.0;1.0;0.0;0.0;0.222;0.2;0.0;0.0;0.088;0.091;0.094;0.107;0.094;0.0
ENST00000526215_90_90;0.062;0.062;0.056;0.057;0.059;0.071;0.061;0.062;0.2;0.0;0.061;1.0;0.0;1.0;0.0;0.0;0.0;0.333;0.0;0.059;0.061;0.062;0.071;0.062;0.222
ENST00000527498_90_90;0.094;0.094;0.083;0.086;0.088;0.107;0.091;0.094;0.0;0.103;0.059;0.0;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.088;0.091;0.094;0.107;0.094;0.0
ENST00000529846_90_90;0.25;0.212;0.222;0.194;0.235;0.241;0.242;0.25;0.0;0.276;0.206;0.0;0.222;0.0;0.1;1.0;0.1;0.0;0.0;0.235;0.242;0.212;0.241;0.25;0.0
ENST00000530669_90_90;0.061;0.061;0.054;0.056;0.057;0.069;0.059;0.061;0.0;0.067;0.059;0.0;0.2;0.0;0.0;0.1;1.0;0.0;0.0;0.057;0.059;0.061;0.069;0.061;0.0
ENST00000531867_90_90;0.062;0.062;0.056;0.057;0.059;0.071;0.061;0.062;0.5;0.0;0.061;0.333;0.0;0.333;0.0;0.0;0.0;1.0;0.0;0.059;0.061;0.062;0.071;0.062;0.222
ENST00000532678_90_90;0.152;0.188;0.167;0.171;0.176;0.133;0.182;0.188;0.0;0.167;0.182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.143;0.147;0.152;0.097;0.152;0.154
ENSMUST00000030315_90_90;0.941;0.886;0.842;0.816;0.943;0.771;0.914;0.886;0.086;0.703;0.811;0.059;0.088;0.059;0.088;0.235;0.057;0.059;0.143;1.0;0.971;0.941;0.824;0.941;0.265
ENSMUST00000097862_90_90;0.912;0.912;0.865;0.789;0.914;0.794;0.941;0.857;0.088;0.676;0.784;0.061;0.091;0.061;0.091;0.242;0.059;0.061;0.147;0.971;1.0;0.97;0.848;0.97;0.273
ENSMUST00000097864_90_90;0.882;0.939;0.838;0.811;0.886;0.818;0.912;0.829;0.091;0.649;0.806;0.062;0.094;0.062;0.094;0.212;0.061;0.062;0.152;0.941;0.97;1.0;0.875;0.939;0.281
ENSMUST00000105991_90_90;0.765;0.818;0.73;0.75;0.771;0.931;0.794;0.714;0.103;0.676;0.694;0.071;0.107;0.071;0.107;0.241;0.069;0.071;0.097;0.824;0.848;0.875;1.0;0.875;0.321
ENSMUST00000105992_90_90;0.882;0.882;0.838;0.811;0.886;0.818;0.912;0.829;0.091;0.694;0.757;0.062;0.094;0.062;0.094;0.25;0.061;0.062;0.152;0.941;0.97;0.939;0.875;1.0;0.281
ENSMUST00000143277_90_90;0.281;0.242;0.216;0.222;0.229;0.276;0.235;0.242;0.3;0.118;0.235;0.222;0.0;0.222;0.0;0.0;0.0;0.222;0.154;0.265;0.273;0.281;0.321;0.281;1.0
