;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript48_ENSMSIG00000000513;0.681;0.696;0.655;0.655;0.921;0.944;0.921;0.939;1.0;0.655;1.0;0.638;1.0;1.0;1.0;0.97;0.939;0.9;0.921;0.879;0.833;0.868;0.939;0.767;0.714;0.638;1.0;0.967;0.967;0.655;0.655
transcript49_ENSMSIG00000000513;0.719;0.911;0.983;0.982;0.614;0.971;0.614;0.969;0.638;0.983;0.638;1.0;0.972;0.97;0.783;0.939;0.909;0.619;0.586;0.906;0.61;0.579;0.909;0.524;0.976;0.966;0.69;0.667;0.667;0.983;0.983
transcript22_MGP-SPRETEiJ-G0021131;0.861;0.392;1.0;1.0;0.944;0.42;0.944;0.4;1.0;1.0;1.0;0.972;1.0;1.0;1.0;0.987;0.973;0.946;0.975;0.947;0.929;0.951;0.973;0.821;1.0;0.988;1.0;1.0;1.0;1.0;1.0
transcript22_MGP-CAROLIEiJ-G0020234;0.848;0.368;1.0;1.0;0.939;0.4;0.939;0.397;1.0;1.0;1.0;0.97;1.0;1.0;1.0;0.987;0.974;0.943;0.974;0.949;0.925;0.949;0.974;0.849;1.0;0.987;1.0;1.0;1.0;1.0;1.0
transcript36_ENSMUSG00000054036;0.696;0.352;0.804;0.795;0.946;0.43;0.946;0.408;1.0;0.804;1.0;0.783;1.0;1.0;1.0;0.987;0.974;0.965;0.976;0.947;0.93;0.951;0.974;0.842;0.919;0.89;1.0;1.0;1.0;0.901;0.901
transcript8_MGP-CAROLIEiJ-G0020234;0.875;0.373;0.97;0.968;0.909;0.387;0.909;0.385;0.97;0.97;0.97;0.939;0.987;0.987;0.987;1.0;0.987;0.962;0.987;0.961;0.942;0.961;0.987;0.83;0.981;0.974;0.981;0.981;0.981;0.987;0.987
transcript32_MGP-CAROLIEiJ-G0020234;0.903;0.378;0.939;0.935;0.879;0.373;0.879;0.372;0.939;0.939;0.939;0.909;0.973;0.974;0.974;0.987;1.0;0.98;1.0;0.974;0.961;0.974;1.0;0.811;0.962;0.962;0.962;0.962;0.962;0.974;0.974
transcript32_ENSRNOG00000031503;0.75;0.4;0.643;0.641;0.862;0.436;0.862;0.404;0.9;0.643;0.9;0.619;0.946;0.943;0.965;0.962;0.98;1.0;0.982;0.941;0.947;0.947;0.98;0.81;0.767;0.767;0.918;0.933;0.933;0.767;0.767
transcript32_ENSMUGG00000013592;0.727;0.36;0.603;0.6;0.892;0.395;0.892;0.372;0.921;0.603;0.921;0.586;0.975;0.974;0.976;0.987;1.0;0.982;1.0;0.974;0.965;0.976;1.0;0.797;0.781;0.757;0.934;0.95;0.95;0.766;0.766
transcript33_MGP-CAROLIEiJ-G0020234;0.966;0.389;0.879;0.871;0.935;0.384;0.935;0.382;0.879;0.879;0.879;0.906;0.947;0.949;0.947;0.961;0.974;0.941;0.974;1.0;1.0;1.0;0.974;0.774;0.925;0.936;0.925;0.925;0.925;0.949;0.949
transcript33_ENSRNOG00000031503;0.8;0.414;0.595;0.59;0.926;0.444;0.926;0.412;0.833;0.595;0.833;0.61;0.929;0.925;0.93;0.942;0.961;0.947;0.965;1.0;1.0;1.0;0.961;0.763;0.753;0.753;0.902;0.917;0.917;0.753;0.753
transcript33_ENSMUGG00000013592;0.762;0.368;0.569;0.564;0.943;0.405;0.943;0.382;0.868;0.569;0.868;0.579;0.951;0.949;0.951;0.961;0.974;0.947;0.976;1.0;1.0;1.0;0.974;0.763;0.753;0.738;0.902;0.917;0.917;0.748;0.748
transcript42_MGP-CAROLIEiJ-G0020234;0.903;0.378;0.939;0.935;0.879;0.373;0.879;0.372;0.939;0.939;0.939;0.909;0.973;0.974;0.974;0.987;1.0;0.98;1.0;0.974;0.961;0.974;1.0;0.811;0.962;0.962;0.962;0.962;0.962;0.974;0.974
transcript9_ENSRNOG00000031503;0.576;0.328;0.548;0.538;0.724;0.385;0.724;0.388;0.767;0.548;0.767;0.524;0.821;0.849;0.842;0.83;0.811;0.81;0.797;0.774;0.763;0.763;0.811;1.0;0.671;0.671;0.803;0.817;0.817;0.671;0.671
transcript18_ENSRNOG00000031503;0.69;0.468;1.0;1.0;0.643;0.464;0.643;0.434;0.714;1.0;0.714;0.976;1.0;1.0;0.919;0.981;0.962;0.767;0.781;0.925;0.753;0.753;0.962;0.671;1.0;1.0;0.836;0.822;0.822;1.0;1.0
transcript18_ENSMUGG00000013592;0.69;0.44;0.983;0.982;0.586;0.407;0.586;0.385;0.638;0.983;0.638;0.966;0.988;0.987;0.89;0.974;0.962;0.767;0.757;0.936;0.753;0.738;0.962;0.671;1.0;1.0;0.836;0.822;0.822;0.991;0.991
transcript19_ENSRNOG00000031503;0.686;0.387;0.714;0.718;0.9;0.464;0.9;0.434;1.0;0.714;1.0;0.69;1.0;1.0;1.0;0.981;0.962;0.918;0.934;0.925;0.902;0.902;0.962;0.803;0.836;0.836;1.0;0.984;0.984;0.836;0.836
transcript21_ENSRNOG00000031503;0.706;0.387;0.69;0.692;0.931;0.464;0.931;0.434;0.967;0.69;0.967;0.667;1.0;1.0;1.0;0.981;0.962;0.933;0.95;0.925;0.917;0.917;0.962;0.817;0.822;0.822;0.984;1.0;1.0;0.822;0.822
transcript23_ENSRNOG00000031503;0.706;0.387;0.69;0.692;0.931;0.464;0.931;0.434;0.967;0.69;0.967;0.667;1.0;1.0;1.0;0.981;0.962;0.933;0.95;0.925;0.917;0.917;0.962;0.817;0.822;0.822;0.984;1.0;1.0;0.822;0.822
transcript34_ENSMUGG00000013592;0.707;0.451;1.0;1.0;0.603;0.42;0.603;0.397;0.655;1.0;0.655;0.983;1.0;1.0;0.901;0.987;0.974;0.767;0.766;0.949;0.753;0.748;0.974;0.671;1.0;0.991;0.836;0.822;0.822;1.0;1.0
transcript35_ENSMUGG00000013592;0.707;0.451;1.0;1.0;0.603;0.42;0.603;0.397;0.655;1.0;0.655;0.983;1.0;1.0;0.901;0.987;0.974;0.767;0.766;0.949;0.753;0.748;0.974;0.671;1.0;0.991;0.836;0.822;0.822;1.0;1.0
