;transcript59_ENSMUGG00000013649;transcript39_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript54_ENSCGRG00015005362;transcript59_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript57_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript26_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript37_ENSMUGG00000013649;transcript38_ENSSTOG00000019743;transcript8_ENSSTOG00000019743;transcript38_ENSRNOG00000031503;transcript56_ENSCGRG00000018457;transcript9_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript58_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript8_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript40_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584
transcript58_ENSPEMG00000024651;0.768;0.777;0.907;0.798;0.84;0.861;0.769;0.725;0.672;0.828;0.733;0.781;0.84;0.728;0.569;0.728;0.568;0.84;0.728;0.569;0.657;0.686;0.759;0.808;0.808;1.0;0.824;0.824;0.736;0.601;0.93;0.781;0.781;0.728;0.454;0.617
transcript9_ENSPEMG00000024651;0.748;0.851;0.868;0.862;0.803;0.821;0.86;0.695;0.644;0.79;0.701;0.847;0.803;0.883;0.705;0.883;0.703;0.803;0.883;0.705;0.807;0.841;0.914;0.871;0.871;0.824;1.0;1.0;0.907;0.751;0.77;0.847;0.847;0.799;0.565;0.743
transcript33_ENSPEMG00000024651;0.748;0.851;0.868;0.862;0.803;0.821;0.86;0.695;0.644;0.79;0.701;0.847;0.803;0.883;0.705;0.883;0.703;0.803;0.883;0.705;0.807;0.841;0.914;0.871;0.871;0.824;1.0;1.0;0.907;0.751;0.77;0.847;0.847;0.799;0.565;0.743
transcript56_ENSPEMG00000024651;0.663;0.763;0.792;0.776;0.732;0.738;0.77;0.605;0.561;0.723;0.633;0.768;0.732;0.845;0.662;0.845;0.658;0.732;0.845;0.662;0.769;0.92;0.83;0.785;0.785;0.736;0.907;0.907;1.0;0.705;0.687;0.768;0.768;0.716;0.545;0.683
transcript8_ENSPEMG00000024651;0.535;0.635;0.651;0.651;0.602;0.599;0.633;0.455;0.424;0.595;0.487;0.633;0.602;0.721;0.92;0.721;0.916;0.602;0.721;0.92;0.683;0.653;0.687;0.643;0.643;0.601;0.751;0.751;0.705;1.0;0.561;0.633;0.633;0.596;0.738;0.575
transcript58_ENSMUGG00000013649;0.814;0.727;0.847;0.86;0.901;0.925;0.719;0.678;0.735;0.883;0.791;0.843;0.901;0.776;0.591;0.776;0.591;0.901;0.776;0.591;0.703;0.726;0.82;0.873;0.873;0.93;0.77;0.77;0.687;0.561;1.0;0.843;0.843;0.769;0.461;0.653
transcript40_ENSSTOG00000019743;0.791;0.806;0.818;0.844;0.889;0.91;0.785;0.664;0.735;0.869;0.784;1.0;0.889;0.871;0.676;0.871;0.674;0.889;0.871;0.676;0.798;0.823;0.914;0.856;0.856;0.781;0.847;0.847;0.768;0.633;0.843;1.0;1.0;0.865;0.529;0.726
transcript29_ENSSTOG00000019743;0.791;0.806;0.818;0.844;0.889;0.91;0.785;0.664;0.735;0.869;0.784;1.0;0.889;0.871;0.676;0.871;0.674;0.889;0.871;0.676;0.798;0.823;0.914;0.856;0.856;0.781;0.847;0.847;0.768;0.633;0.843;1.0;1.0;0.865;0.529;0.726
transcript39_ENSSTOG00000019743;0.88;0.929;0.79;0.774;0.844;0.84;0.877;0.608;0.661;0.823;0.714;0.865;0.844;0.829;0.624;0.829;0.621;0.844;0.829;0.624;0.765;0.752;0.847;0.787;0.787;0.728;0.799;0.799;0.716;0.596;0.769;0.865;0.865;1.0;0.512;0.704
transcript8_ENSNGAG00000018584;0.452;0.497;0.48;0.546;0.494;0.493;0.497;0.366;0.389;0.489;0.426;0.529;0.495;0.605;0.77;0.605;0.766;0.495;0.605;0.77;0.573;0.56;0.577;0.541;0.541;0.454;0.565;0.565;0.545;0.738;0.461;0.529;0.529;0.512;1.0;0.732
transcript33_ENSNGAG00000018584;0.651;0.659;0.639;0.744;0.681;0.696;0.665;0.551;0.603;0.671;0.631;0.726;0.683;0.745;0.603;0.745;0.6;0.683;0.745;0.603;0.677;0.722;0.786;0.752;0.752;0.617;0.743;0.743;0.683;0.575;0.653;0.726;0.726;0.704;0.732;1.0
