;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript22_ENSCGRG00000018457;0.845;0.845;0.883;0.881;0.952;0.975;0.27;0.114;0.873;1.0;1.0;1.0;1.0;0.919;0.981;0.977;0.977;0.977;0.9;0.26;0.24;0.738;0.736;0.26;0.26;0.111;0.76
transcript26_ENSCGRG00000018457;0.845;0.845;0.883;0.881;0.952;0.975;0.27;0.114;0.873;1.0;1.0;1.0;1.0;0.919;0.981;0.977;0.977;0.977;0.9;0.26;0.24;0.738;0.736;0.26;0.26;0.111;0.76
transcript26_ENSCGRG00001010245;0.845;0.845;0.883;0.881;0.952;0.975;0.27;0.114;0.873;1.0;1.0;1.0;1.0;0.919;0.981;0.977;0.977;0.977;0.9;0.26;0.24;0.738;0.736;0.26;0.26;0.111;0.76
transcript33_ENSCGRG00015005362;0.794;0.794;0.832;0.83;0.873;0.894;0.291;0.122;0.948;0.919;0.919;0.919;0.919;1.0;0.9;0.897;0.897;0.897;0.821;0.281;0.26;0.658;0.655;0.281;0.281;0.119;0.679
transcript42_ENSCGRG00000018457;0.831;0.831;0.869;0.867;0.934;0.956;0.275;0.115;0.855;0.981;0.981;0.981;0.981;0.9;1.0;0.958;0.958;0.958;0.881;0.265;0.245;0.728;0.726;0.265;0.265;0.113;0.749
transcript14_ENSSTOG00000019743;0.864;0.864;0.863;0.861;0.976;0.952;0.263;0.111;0.897;0.977;0.977;0.977;0.977;0.897;0.958;1.0;1.0;1.0;0.923;0.254;0.235;0.745;0.749;0.254;0.254;0.108;0.772
transcript12_ENSSTOG00000019743;0.864;0.864;0.863;0.861;0.976;0.952;0.263;0.111;0.897;0.977;0.977;0.977;0.977;0.897;0.958;1.0;1.0;1.0;0.923;0.254;0.235;0.745;0.749;0.254;0.254;0.108;0.772
transcript5_ENSSTOG00000019743;0.864;0.864;0.863;0.861;0.976;0.952;0.263;0.111;0.897;0.977;0.977;0.977;0.977;0.897;0.958;1.0;1.0;1.0;0.923;0.254;0.235;0.745;0.749;0.254;0.254;0.108;0.772
transcript13_ENSSTOG00000019743;0.807;0.807;0.806;0.804;0.899;0.876;0.186;0.034;0.82;0.9;0.9;0.9;0.9;0.821;0.881;0.923;0.923;0.923;1.0;0.18;0.167;0.706;0.71;0.18;0.18;0.034;0.731
transcript8_MGP-PahariEiJ-G0020237;0.256;0.256;0.256;0.257;0.26;0.266;0.966;0.423;0.281;0.26;0.26;0.26;0.26;0.281;0.265;0.254;0.254;0.254;0.18;1.0;0.883;0.198;0.196;1.0;1.0;0.427;0.222
transcript8_ENSRNOG00000031503;0.237;0.237;0.237;0.238;0.24;0.246;0.901;0.427;0.26;0.24;0.24;0.24;0.24;0.26;0.245;0.235;0.235;0.235;0.167;0.883;1.0;0.173;0.171;0.883;0.883;0.417;0.198
transcript20_ENSNGAG00000018584;0.658;0.658;0.66;0.659;0.72;0.714;0.202;0.072;0.641;0.738;0.738;0.738;0.738;0.658;0.728;0.745;0.745;0.745;0.706;0.198;0.173;1.0;0.994;0.198;0.198;0.072;0.964
transcript17_ENSNGAG00000018584;0.66;0.66;0.658;0.656;0.724;0.711;0.201;0.072;0.645;0.736;0.736;0.736;0.736;0.655;0.726;0.749;0.749;0.749;0.71;0.196;0.171;0.994;1.0;0.196;0.196;0.072;0.969
transcript37_MGP-PahariEiJ-G0020237;0.256;0.256;0.256;0.257;0.26;0.266;0.966;0.423;0.281;0.26;0.26;0.26;0.26;0.281;0.265;0.254;0.254;0.254;0.18;1.0;0.883;0.198;0.196;1.0;1.0;0.427;0.222
transcript36_MGP-PahariEiJ-G0020237;0.256;0.256;0.256;0.257;0.26;0.266;0.966;0.423;0.281;0.26;0.26;0.26;0.26;0.281;0.265;0.254;0.254;0.254;0.18;1.0;0.883;0.198;0.196;1.0;1.0;0.427;0.222
transcript38_MGP-PahariEiJ-G0020237;0.112;0.112;0.112;0.112;0.111;0.114;0.413;0.978;0.12;0.111;0.111;0.111;0.111;0.119;0.113;0.108;0.108;0.108;0.034;0.427;0.417;0.072;0.072;0.427;0.427;1.0;0.1
transcript5_ENSNGAG00000018584;0.685;0.685;0.682;0.68;0.748;0.734;0.227;0.1;0.669;0.76;0.76;0.76;0.76;0.679;0.749;0.772;0.772;0.772;0.731;0.222;0.198;0.964;0.969;0.222;0.222;0.1;1.0
