;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript17_ENSECAG00000007947;0.81;0.922;0.926;0.926;0.739;0.87;0.824;0.909;0.996;1.0;1.0;0.399;0.961;0.929;0.961;0.828;0.908;0.908;0.845;0.877;0.924;0.723;0.924;0.858;0.743;0.716;0.959;0.743;0.959;0.756;0.959
transcript9_ENSMLUG00000027828;0.428;0.451;0.407;0.407;0.414;0.425;0.41;0.407;0.442;0.399;0.399;1.0;0.476;0.525;0.476;0.409;0.407;0.407;0.409;0.426;0.425;0.431;0.425;0.427;0.469;0.47;0.462;0.469;0.462;0.47;0.462
transcript13_ENSMLUG00000027828;0.823;0.955;0.957;0.957;0.726;0.903;0.848;0.942;0.958;0.961;0.961;0.476;1.0;0.97;1.0;0.841;0.941;0.941;0.859;0.893;0.954;0.738;0.954;0.871;0.768;0.747;0.995;0.768;0.995;0.748;0.995
transcript14_ENSMLUG00000027828;0.868;0.929;0.925;0.925;0.689;0.953;0.815;0.909;0.933;0.929;0.929;0.525;0.97;1.0;0.97;0.815;0.917;0.917;0.833;0.863;0.925;0.704;0.925;0.841;0.736;0.715;0.97;0.736;0.97;0.715;0.97
transcript22_ENSMLUG00000027828;0.823;0.955;0.957;0.957;0.726;0.903;0.848;0.942;0.958;0.961;0.961;0.476;1.0;0.97;1.0;0.841;0.941;0.941;0.859;0.893;0.954;0.738;0.954;0.871;0.768;0.747;0.995;0.768;0.995;0.748;0.995
transcript7_ENSSTOG00000019743;0.698;0.829;0.826;0.826;0.636;0.771;0.716;0.808;0.832;0.828;0.828;0.409;0.841;0.815;0.841;1.0;0.907;0.907;0.982;0.779;0.837;0.627;0.837;0.901;0.637;0.618;0.857;0.637;0.857;0.651;0.857
transcript9_ENSSTOG00000019743;0.778;0.908;0.905;0.905;0.718;0.852;0.796;0.887;0.912;0.908;0.908;0.407;0.941;0.917;0.941;0.907;1.0;1.0;0.923;0.854;0.911;0.704;0.911;0.846;0.728;0.708;0.945;0.728;0.945;0.74;0.945
transcript17_ENSSTOG00000019743;0.778;0.908;0.905;0.905;0.718;0.852;0.796;0.887;0.912;0.908;0.908;0.407;0.941;0.917;0.941;0.907;1.0;1.0;0.923;0.854;0.911;0.704;0.911;0.846;0.728;0.708;0.945;0.728;0.945;0.74;0.945
transcript26_ENSSTOG00000019743;0.713;0.844;0.84;0.84;0.651;0.786;0.731;0.823;0.849;0.845;0.845;0.409;0.859;0.833;0.859;0.982;0.923;0.923;1.0;0.789;0.847;0.638;0.847;0.912;0.653;0.634;0.873;0.653;0.873;0.666;0.873
transcript7_ENSCCNG00000000226;0.85;0.875;0.871;0.871;0.781;0.814;0.768;0.856;0.881;0.877;0.877;0.426;0.893;0.863;0.893;0.779;0.854;0.854;0.789;1.0;0.944;0.71;0.944;0.867;0.688;0.661;0.903;0.688;0.903;0.805;0.903
transcript9_ENSCCNG00000000226;0.804;0.923;0.919;0.919;0.74;0.863;0.818;0.905;0.928;0.924;0.924;0.425;0.954;0.925;0.954;0.837;0.911;0.911;0.847;0.944;1.0;0.766;1.0;0.923;0.742;0.716;0.958;0.742;0.958;0.761;0.958
transcript18_ENSCCNG00000000226;0.589;0.711;0.707;0.707;0.522;0.649;0.603;0.718;0.726;0.723;0.723;0.431;0.738;0.704;0.738;0.627;0.704;0.704;0.638;0.71;0.766;1.0;0.766;0.689;0.962;0.928;0.733;0.962;0.733;0.534;0.733
transcript24_ENSCCNG00000000226;0.804;0.923;0.919;0.919;0.74;0.863;0.818;0.905;0.928;0.924;0.924;0.425;0.954;0.925;0.954;0.837;0.911;0.911;0.847;0.944;1.0;0.766;1.0;0.923;0.742;0.716;0.958;0.742;0.958;0.761;0.958
transcript26_ENSCCNG00000000226;0.74;0.861;0.857;0.857;0.675;0.799;0.754;0.842;0.862;0.858;0.858;0.427;0.871;0.841;0.871;0.901;0.846;0.846;0.912;0.867;0.923;0.689;0.923;1.0;0.667;0.639;0.884;0.667;0.884;0.686;0.884
transcript7_ENSCPOG00000024843;0.605;0.738;0.735;0.735;0.528;0.676;0.619;0.748;0.746;0.743;0.743;0.469;0.768;0.736;0.768;0.637;0.728;0.728;0.653;0.688;0.742;0.962;0.742;0.667;1.0;0.971;0.762;1.0;0.762;0.54;0.762
transcript9_ENSCPOG00000024843;0.577;0.712;0.708;0.708;0.499;0.649;0.591;0.72;0.72;0.716;0.716;0.47;0.747;0.715;0.747;0.618;0.708;0.708;0.634;0.661;0.716;0.928;0.716;0.639;0.971;1.0;0.738;0.971;0.738;0.514;0.738
transcript17_ENSCPOG00000024843;0.828;0.96;0.957;0.957;0.751;0.898;0.841;0.941;0.962;0.959;0.959;0.462;0.995;0.97;0.995;0.857;0.945;0.945;0.873;0.903;0.958;0.733;0.958;0.884;0.762;0.738;1.0;0.762;1.0;0.778;1.0
transcript18_ENSCPOG00000024843;0.605;0.738;0.735;0.735;0.528;0.676;0.619;0.748;0.746;0.743;0.743;0.469;0.768;0.736;0.768;0.637;0.728;0.728;0.653;0.688;0.742;0.962;0.742;0.667;1.0;0.971;0.762;1.0;0.762;0.54;0.762
transcript24_ENSCPOG00000024843;0.828;0.96;0.957;0.957;0.751;0.898;0.841;0.941;0.962;0.959;0.959;0.462;0.995;0.97;0.995;0.857;0.945;0.945;0.873;0.903;0.958;0.733;0.958;0.884;0.762;0.738;1.0;0.762;1.0;0.778;1.0
transcript32_ENSCPOG00000024843;0.754;0.76;0.758;0.758;0.958;0.699;0.641;0.741;0.76;0.756;0.756;0.47;0.748;0.715;0.748;0.651;0.74;0.74;0.666;0.805;0.761;0.534;0.761;0.686;0.54;0.514;0.778;0.54;0.778;1.0;0.778
transcript33_ENSCPOG00000024843;0.828;0.96;0.957;0.957;0.751;0.898;0.841;0.941;0.962;0.959;0.959;0.462;0.995;0.97;0.995;0.857;0.945;0.945;0.873;0.903;0.958;0.733;0.958;0.884;0.762;0.738;1.0;0.762;1.0;0.778;1.0
