;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENST00000429041_90_90;0.307;0.244;0.311;0.408;0.223;0.235;0.241;0.229;0.223;0.255;1.0;0.28;0.316;0.326;0.337;0.437;0.667;0.102;0.418;0.418;0.234;0.324;0.247;0.238;0.251;0.287;0.324;0.437;0.437;0.367;0.47
ENST00000432379_90_90;0.502;0.396;0.517;0.675;0.367;0.386;0.396;0.378;0.367;0.966;0.28;1.0;0.492;0.508;0.523;0.226;0.302;0.502;0.886;0.886;0.369;0.509;0.388;0.375;0.393;0.426;0.481;0.232;0.232;0.542;0.696
ENST00000229794_90_90;0.998;0.761;0.629;0.69;0.714;0.736;0.691;0.671;0.714;0.468;0.316;0.492;1.0;0.888;0.867;0.746;0.405;0.208;0.481;0.481;0.718;0.596;0.739;0.656;0.676;0.899;0.999;0.756;0.756;0.772;0.615
ENST00000229795_90_90;0.929;0.682;0.651;0.714;0.659;0.677;0.634;0.618;0.659;0.483;0.326;0.508;0.888;1.0;0.762;0.646;0.412;0.21;0.489;0.489;0.642;0.632;0.659;0.582;0.598;0.95;0.919;0.68;0.68;0.697;0.65
ENST00000310795_90_90;0.879;0.791;0.656;0.736;0.738;0.764;0.718;0.694;0.738;0.499;0.337;0.523;0.867;0.762;1.0;0.613;0.466;0.239;0.552;0.552;0.742;0.622;0.768;0.679;0.703;0.77;0.865;0.623;0.623;0.89;0.71
ENST00000468133_90_90;0.751;0.536;0.387;0.425;0.482;0.497;0.453;0.44;0.482;0.202;0.437;0.226;0.746;0.646;0.613;1.0;0.547;0.07;0.234;0.234;0.5;0.366;0.514;0.438;0.451;0.665;0.758;1.0;1.0;0.531;0.373
ENST00000472333_90_90;0.419;0.445;0.478;0.573;0.427;0.445;0.461;0.443;0.427;0.276;0.667;0.302;0.405;0.412;0.466;0.547;1.0;0.113;0.356;0.356;0.403;0.478;0.421;0.429;0.448;0.426;0.412;0.547;0.547;0.526;0.573
ENST00000474429_90_90;0.2;0.221;0.284;0.356;0.224;0.236;0.249;0.235;0.224;0.519;0.102;0.502;0.208;0.21;0.239;0.07;0.113;1.0;0.402;0.402;0.213;0.284;0.226;0.229;0.242;0.202;0.198;0.072;0.072;0.259;0.329
ENST00000491957_90_90;0.494;0.507;0.659;0.79;0.529;0.551;0.581;0.555;0.529;0.848;0.418;0.886;0.481;0.489;0.552;0.234;0.356;0.402;1.0;1.0;0.499;0.659;0.521;0.538;0.563;0.502;0.486;0.243;0.243;0.622;0.79
ENST00000622903_90_90;0.494;0.507;0.659;0.79;0.529;0.551;0.581;0.555;0.529;0.848;0.418;0.886;0.481;0.489;0.552;0.234;0.356;0.402;1.0;1.0;0.499;0.659;0.521;0.538;0.563;0.502;0.486;0.243;0.243;0.622;0.79
ENSMUST00000022504_90_90;0.833;0.918;0.699;0.524;0.997;0.916;0.806;0.88;0.997;0.355;0.234;0.369;0.718;0.642;0.742;0.5;0.403;0.213;0.499;0.499;1.0;0.687;0.921;0.875;0.803;0.731;0.662;0.474;0.474;0.77;0.601
ENSMUST00000111942_90_90;0.663;0.746;0.999;0.722;0.701;0.768;0.777;0.71;0.701;0.489;0.324;0.509;0.596;0.632;0.622;0.366;0.478;0.284;0.659;0.659;0.687;1.0;0.751;0.704;0.77;0.618;0.565;0.359;0.359;0.666;0.798
ENSMUST00000111943_90_90;0.833;0.984;0.766;0.55;0.916;0.996;0.875;0.806;0.916;0.373;0.247;0.388;0.739;0.659;0.768;0.514;0.421;0.226;0.521;0.521;0.921;0.751;1.0;0.803;0.869;0.73;0.661;0.473;0.473;0.768;0.599
ENSMUST00000111944_90_90;0.764;0.867;0.708;0.531;0.881;0.806;0.916;0.998;0.881;0.361;0.238;0.375;0.656;0.582;0.679;0.438;0.429;0.229;0.538;0.538;0.875;0.704;0.803;1.0;0.92;0.673;0.604;0.415;0.415;0.705;0.643
ENSMUST00000111945_90_90;0.764;0.931;0.776;0.558;0.806;0.875;0.997;0.916;0.806;0.379;0.251;0.393;0.676;0.598;0.703;0.451;0.448;0.242;0.563;0.563;0.803;0.77;0.869;0.92;1.0;0.672;0.603;0.414;0.414;0.704;0.641
ENSMUST00000004990_90_90;0.927;0.748;0.632;0.608;0.746;0.745;0.704;0.705;0.746;0.406;0.287;0.426;0.899;0.95;0.77;0.665;0.426;0.202;0.502;0.502;0.731;0.618;0.73;0.673;0.672;1.0;0.831;0.607;0.607;0.649;0.585
ENSMUST00000062694_90_90;0.997;0.679;0.591;0.685;0.651;0.649;0.608;0.609;0.651;0.457;0.324;0.481;0.999;0.919;0.865;0.758;0.412;0.198;0.486;0.486;0.662;0.565;0.661;0.604;0.603;0.831;1.0;0.746;0.746;0.763;0.621
ENSMUST00000114752_90_90;0.762;0.491;0.377;0.437;0.455;0.454;0.411;0.412;0.455;0.207;0.437;0.232;0.756;0.68;0.623;1.0;0.547;0.072;0.243;0.243;0.474;0.359;0.473;0.415;0.414;0.607;0.746;1.0;1.0;0.514;0.366
ENSMUST00000114754_90_90;0.762;0.491;0.377;0.437;0.455;0.454;0.411;0.412;0.455;0.207;0.437;0.232;0.756;0.68;0.623;1.0;0.547;0.072;0.243;0.243;0.474;0.359;0.473;0.415;0.414;0.607;0.746;1.0;1.0;0.514;0.366
ENSMUST00000114758_90_90;0.787;0.788;0.695;0.774;0.76;0.758;0.71;0.711;0.76;0.518;0.367;0.542;0.772;0.697;0.89;0.531;0.526;0.259;0.622;0.622;0.77;0.666;0.768;0.705;0.704;0.649;0.763;0.514;0.514;1.0;0.778
ENSMUST00000124886_90_90;0.62;0.587;0.798;0.992;0.625;0.624;0.657;0.658;0.625;0.664;0.47;0.696;0.615;0.65;0.71;0.373;0.573;0.329;0.79;0.79;0.601;0.798;0.599;0.643;0.641;0.585;0.621;0.366;0.366;0.778;1.0
