;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript65_ENSCGRG00000018457;0.931;0.688;0.631;0.68;0.68;0.725;0.639;0.934;0.936;0.906;0.752;0.884;0.897;0.99;0.848;1.0;0.786;0.99;0.863;0.915;0.915;0.75;0.874;0.903;0.844;0.965;0.873;0.648;0.852;0.869;0.869;0.869;0.855;0.921;0.794;0.869
transcript37_ENSCGRG00001010245;0.927;1.0;0.937;0.992;0.955;0.983;0.89;0.87;0.872;0.839;1.0;0.799;0.813;0.796;0.761;0.786;1.0;0.801;0.767;0.803;0.803;0.97;0.757;0.791;0.727;0.76;0.755;0.571;0.813;0.939;0.939;0.939;0.924;0.801;0.962;0.939
transcript52_ENSCGRG00001010245;0.94;0.701;0.643;0.693;0.705;0.74;0.652;0.943;0.945;0.915;0.767;0.893;0.906;1.0;0.857;0.99;0.801;1.0;0.871;0.923;0.923;0.764;0.883;0.912;0.852;0.973;0.881;0.647;0.859;0.883;0.883;0.883;0.869;0.93;0.808;0.883
transcript8_ENSPEMG00000024651;0.922;0.679;0.619;0.672;0.688;0.717;0.626;0.921;0.923;0.895;0.737;0.873;0.887;0.871;0.839;0.863;0.767;0.871;1.0;0.951;0.951;0.772;0.99;0.939;0.875;0.908;0.988;0.633;0.837;0.831;0.831;0.831;0.818;0.909;0.759;0.831
transcript9_ENSPEMG00000024651;0.973;0.706;0.65;0.699;0.715;0.744;0.659;0.97;0.972;0.946;0.767;0.925;0.938;0.923;0.893;0.915;0.803;0.923;0.951;1.0;1.0;0.811;0.961;0.988;0.929;0.96;0.959;0.683;0.874;0.88;0.88;0.88;0.867;0.959;0.812;0.88
transcript33_ENSPEMG00000024651;0.973;0.706;0.65;0.699;0.715;0.744;0.659;0.97;0.972;0.946;0.767;0.925;0.938;0.923;0.893;0.915;0.803;0.923;0.951;1.0;1.0;0.811;0.961;0.988;0.929;0.96;0.959;0.683;0.874;0.88;0.88;0.88;0.867;0.959;0.812;0.88
transcript37_ENSPEMG00000024651;0.874;0.97;0.906;0.963;0.925;0.953;0.859;0.824;0.826;0.797;0.97;0.76;0.773;0.758;0.726;0.75;0.97;0.764;0.772;0.811;0.811;1.0;0.765;0.799;0.735;0.768;0.763;0.548;0.765;0.896;0.896;0.896;0.882;0.76;0.882;0.896
transcript39_ENSPEMG00000024651;0.934;0.663;0.604;0.656;0.671;0.699;0.61;0.931;0.933;0.906;0.722;0.884;0.898;0.883;0.851;0.874;0.757;0.883;0.99;0.961;0.961;0.765;1.0;0.949;0.887;0.919;0.998;0.65;0.849;0.842;0.842;0.842;0.829;0.919;0.771;0.842
transcript56_ENSPEMG00000024651;0.961;0.695;0.639;0.689;0.705;0.746;0.66;0.959;0.96;0.934;0.756;0.913;0.926;0.912;0.881;0.903;0.791;0.912;0.939;0.988;0.988;0.799;0.949;1.0;0.917;0.948;0.947;0.674;0.865;0.869;0.869;0.869;0.857;0.947;0.801;0.869
transcript57_ENSPEMG00000024651;0.904;0.637;0.579;0.63;0.645;0.674;0.721;0.9;0.902;0.875;0.694;0.876;0.867;0.852;0.821;0.844;0.727;0.852;0.875;0.929;0.929;0.735;0.887;0.917;1.0;0.887;0.885;0.626;0.824;0.815;0.815;0.815;0.802;0.888;0.744;0.815
transcript58_ENSPEMG00000024651;0.93;0.667;0.61;0.66;0.676;0.703;0.617;0.93;0.932;0.906;0.726;0.884;0.898;0.973;0.852;0.965;0.76;0.973;0.908;0.96;0.96;0.768;0.919;0.948;0.887;1.0;0.917;0.652;0.848;0.843;0.843;0.843;0.83;0.919;0.774;0.843
transcript59_ENSPEMG00000024651;0.932;0.661;0.603;0.654;0.67;0.697;0.609;0.93;0.931;0.904;0.72;0.882;0.896;0.881;0.849;0.873;0.755;0.881;0.988;0.959;0.959;0.763;0.998;0.947;0.885;0.917;1.0;0.648;0.848;0.84;0.84;0.84;0.827;0.918;0.77;0.84
transcript8_ENSNGAG00000018584;0.718;0.496;0.446;0.501;0.501;0.53;0.457;0.686;0.688;0.716;0.541;0.71;0.716;0.647;0.678;0.648;0.571;0.647;0.633;0.683;0.683;0.548;0.65;0.674;0.626;0.652;0.648;1.0;0.769;0.676;0.676;0.676;0.68;0.692;0.629;0.676
transcript33_ENSNGAG00000018584;0.89;0.708;0.663;0.7;0.7;0.755;0.688;0.895;0.897;0.866;0.771;0.853;0.858;0.859;0.824;0.852;0.813;0.859;0.837;0.874;0.874;0.765;0.849;0.865;0.824;0.848;0.848;0.769;1.0;0.882;0.882;0.882;0.87;0.884;0.825;0.882
transcript8_ENSSTOG00000019743;1.0;0.826;0.773;0.819;0.789;0.872;0.789;0.943;0.945;0.917;0.9;0.88;0.892;0.877;0.847;0.869;0.939;0.883;0.831;0.88;0.88;0.896;0.842;0.869;0.815;0.843;0.84;0.676;0.882;1.0;1.0;1.0;0.987;0.879;0.931;1.0
transcript26_ENSSTOG00000019743;1.0;0.826;0.773;0.819;0.789;0.872;0.789;0.943;0.945;0.917;0.9;0.88;0.892;0.877;0.847;0.869;0.939;0.883;0.831;0.88;0.88;0.896;0.842;0.869;0.815;0.843;0.84;0.676;0.882;1.0;1.0;1.0;0.987;0.879;0.931;1.0
transcript29_ENSSTOG00000019743;1.0;0.826;0.773;0.819;0.789;0.872;0.789;0.943;0.945;0.917;0.9;0.88;0.892;0.877;0.847;0.869;0.939;0.883;0.831;0.88;0.88;0.896;0.842;0.869;0.815;0.843;0.84;0.676;0.882;1.0;1.0;1.0;0.987;0.879;0.931;1.0
transcript37_ENSSTOG00000019743;0.985;0.813;0.759;0.806;0.775;0.859;0.776;0.929;0.931;0.903;0.886;0.866;0.878;0.863;0.832;0.855;0.924;0.869;0.818;0.867;0.867;0.882;0.829;0.857;0.802;0.83;0.827;0.68;0.87;0.987;0.987;0.987;1.0;0.891;0.943;0.987
transcript38_ENSSTOG00000019743;0.985;0.704;0.65;0.697;0.719;0.743;0.659;0.984;0.985;0.956;0.768;0.934;0.946;0.93;0.897;0.921;0.801;0.93;0.909;0.959;0.959;0.76;0.919;0.947;0.888;0.919;0.918;0.692;0.884;0.879;0.879;0.879;0.891;1.0;0.832;0.879
transcript39_ENSSTOG00000019743;0.921;0.873;0.816;0.866;0.832;0.928;0.838;0.869;0.871;0.841;0.898;0.806;0.818;0.803;0.772;0.794;0.962;0.808;0.759;0.812;0.812;0.882;0.771;0.801;0.744;0.774;0.77;0.629;0.825;0.931;0.931;0.931;0.943;0.832;1.0;0.931
transcript40_ENSSTOG00000019743;1.0;0.826;0.773;0.819;0.789;0.872;0.789;0.943;0.945;0.917;0.9;0.88;0.892;0.877;0.847;0.869;0.939;0.883;0.831;0.88;0.88;0.896;0.842;0.869;0.815;0.843;0.84;0.676;0.882;1.0;1.0;1.0;0.987;0.879;0.931;1.0
