;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENST00000531828_90_90;0.652;0.737;0.56;0.64;0.0;0.538;0.667;0.875;0.235;0.875;0.125;0.0;0.0;0.375;0.176;0.375;1.0;0.438;0.0;0.118;0.125;0.625;0.833;0.0;0.778;0.652;0.737;0.583;0.56
ENST00000532975_90_90;0.304;0.412;0.304;0.28;0.0;0.292;0.292;0.5;0.2;0.5;0.2;0.0;0.0;0.444;0.1;0.444;0.438;1.0;0.0;0.25;0.0;0.292;0.389;0.0;0.412;0.304;0.389;0.304;0.292
ENST00000533884_90_90;0.043;0.111;0.04;0.037;0.0;0.038;0.038;0.0;0.0;0.0;0.077;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.04;0.111;0.0;0.118;0.042;0.053;0.042;0.04
ENST00000534040_90_90;0.087;0.111;0.083;0.077;0.0;0.08;0.08;0.133;0.333;0.133;0.167;0.0;0.0;0.286;0.167;0.0;0.118;0.25;0.0;1.0;0.0;0.083;0.111;0.0;0.118;0.087;0.111;0.087;0.083
ENST00000625138_90_90;0.087;0.118;0.087;0.08;0.0;0.083;0.083;0.143;0.0;0.143;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;1.0;0.083;0.111;0.0;0.118;0.087;0.111;0.087;0.083
ENSMUST00000030288_90_90;0.96;0.64;0.917;0.958;0.208;0.88;0.917;0.583;0.125;0.583;0.417;0.167;0.04;0.208;0.083;0.25;0.625;0.292;0.04;0.083;0.083;1.0;0.692;0.16;0.615;0.96;0.667;0.92;0.885
ENSMUST00000084366_90_90;0.72;0.944;0.667;0.708;0.0;0.64;0.739;0.778;0.167;0.778;0.217;0.0;0.111;0.278;0.111;0.333;0.833;0.389;0.111;0.111;0.111;0.692;1.0;0.0;0.895;0.72;0.696;0.615;0.593
ENSMUST00000159545_90_90;0.16;0.0;0.182;0.174;0.5;0.174;0.13;0.0;0.0;0.0;0.273;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16;0.0;1.0;0.0;0.12;0.043;0.174;0.167
ENSMUST00000160271_90_90;0.64;1.0;0.696;0.667;0.0;0.667;0.696;0.824;0.111;0.824;0.227;0.0;0.118;0.222;0.056;0.353;0.778;0.412;0.118;0.118;0.118;0.615;0.895;0.0;1.0;0.64;0.762;0.667;0.64
ENSMUST00000160774_90_90;0.92;0.667;0.875;0.917;0.167;0.84;0.957;0.609;0.13;0.609;0.375;0.125;0.042;0.217;0.087;0.261;0.652;0.304;0.042;0.087;0.087;0.96;0.72;0.12;0.64;1.0;0.692;0.88;0.846
ENSMUST00000161363_90_90;0.76;0.842;0.818;0.783;0.0;0.783;0.818;0.778;0.105;0.778;0.333;0.048;0.053;0.211;0.053;0.333;0.737;0.389;0.053;0.111;0.111;0.667;0.696;0.043;0.762;0.692;1.0;0.72;0.692
ENSMUST00000162787_90_90;0.88;0.667;0.957;0.917;0.217;0.917;0.875;0.609;0.083;0.609;0.435;0.174;0.042;0.167;0.042;0.261;0.583;0.304;0.042;0.087;0.087;0.92;0.615;0.174;0.667;0.88;0.72;1.0;0.958
ENSMUST00000194478_90_90;0.88;0.64;0.917;0.88;0.208;0.958;0.84;0.583;0.08;0.583;0.417;0.167;0.04;0.16;0.04;0.25;0.56;0.292;0.04;0.083;0.083;0.885;0.593;0.167;0.64;0.846;0.692;0.958;1.0
