;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript59_ENSPEMG00000024651;0.896;0.853;0.832;0.832;0.781;0.836;0.853;0.815;0.794;0.797;0.816;0.846;0.898;0.806;1.0;0.896;0.674;0.721;0.691;0.708;0.713;0.884;0.896;0.817;0.836;0.845;0.794;0.813;0.828;0.896;0.85;0.929;0.895;0.807;0.807;0.807
transcript51_ENSMUGG00000013592;0.868;0.833;0.811;0.812;0.897;0.903;0.868;0.847;0.873;0.915;0.852;0.941;0.891;0.921;0.896;1.0;0.616;0.662;0.602;0.63;0.65;0.868;0.84;0.883;0.811;0.809;0.782;0.762;0.801;0.84;0.821;0.865;0.888;0.786;0.786;0.786
transcript8_ENSCGRG00000018457;0.806;0.803;0.803;0.803;0.574;0.604;0.731;0.675;0.689;0.567;0.537;0.576;0.596;0.573;0.674;0.616;1.0;0.997;0.845;0.814;0.898;0.757;0.745;0.683;0.802;0.802;0.807;0.773;0.809;0.745;0.704;0.661;0.674;0.671;0.671;0.671
transcript8_ENSCGRG00015005362;0.84;0.838;0.838;0.838;0.618;0.653;0.781;0.716;0.731;0.609;0.576;0.625;0.641;0.618;0.721;0.662;0.997;1.0;0.85;0.816;0.903;0.81;0.794;0.731;0.855;0.855;0.82;0.789;0.855;0.794;0.747;0.698;0.714;0.713;0.713;0.713
transcript8_ENSPEMG00000024651;0.781;0.775;0.775;0.775;0.56;0.591;0.711;0.686;0.668;0.553;0.541;0.579;0.62;0.56;0.691;0.602;0.845;0.85;1.0;0.887;0.967;0.735;0.764;0.663;0.689;0.689;0.78;0.79;0.695;0.764;0.686;0.674;0.66;0.654;0.654;0.654
transcript8_ENSNGAG00000018584;0.776;0.772;0.773;0.773;0.567;0.603;0.704;0.658;0.66;0.57;0.554;0.582;0.61;0.581;0.708;0.63;0.814;0.816;0.887;1.0;0.896;0.742;0.742;0.662;0.7;0.699;0.779;0.777;0.701;0.742;0.823;0.709;0.705;0.705;0.705;0.705
transcript8_ENSSTOG00000019743;0.85;0.846;0.846;0.846;0.602;0.636;0.773;0.711;0.724;0.6;0.56;0.618;0.638;0.61;0.713;0.65;0.898;0.903;0.967;0.896;1.0;0.796;0.78;0.718;0.739;0.739;0.852;0.812;0.747;0.78;0.727;0.695;0.708;0.702;0.702;0.702
transcript9_ENSCGRG00015005362;1.0;0.968;0.943;0.944;0.787;0.826;0.954;0.868;0.9;0.777;0.746;0.813;0.808;0.789;0.884;0.868;0.757;0.81;0.735;0.742;0.796;1.0;0.963;0.925;0.945;0.945;0.902;0.875;0.936;0.963;0.91;0.849;0.88;0.888;0.888;0.888
transcript9_ENSPEMG00000024651;0.967;0.937;0.914;0.915;0.749;0.787;0.92;0.878;0.867;0.749;0.754;0.797;0.831;0.759;0.896;0.84;0.745;0.794;0.764;0.742;0.78;0.963;1.0;0.89;0.915;0.915;0.877;0.91;0.908;1.0;0.893;0.86;0.855;0.856;0.856;0.856
transcript54_ENSCGRG00015005362;0.919;0.891;0.868;0.869;0.847;0.84;0.971;0.938;0.971;0.84;0.807;0.877;0.873;0.852;0.817;0.883;0.683;0.731;0.663;0.662;0.718;0.925;0.89;1.0;0.87;0.87;0.827;0.802;0.861;0.89;0.837;0.784;0.815;0.828;0.828;0.828
transcript52_ENSCGRG00000018457;0.94;0.912;0.888;0.889;0.723;0.758;0.896;0.82;0.845;0.721;0.705;0.751;0.758;0.732;0.836;0.811;0.802;0.855;0.689;0.7;0.739;0.945;0.915;0.87;1.0;1.0;0.847;0.827;0.991;0.915;0.87;0.802;0.826;0.838;0.838;0.838
transcript52_ENSCGRG00001010245;0.94;0.912;0.888;0.889;0.735;0.771;0.896;0.82;0.845;0.721;0.704;0.75;0.758;0.731;0.845;0.809;0.802;0.855;0.689;0.699;0.739;0.945;0.915;0.87;1.0;1.0;0.847;0.827;0.991;0.915;0.87;0.817;0.842;0.854;0.854;0.854
transcript56_ENSCGRG00000018457;0.957;0.956;0.956;0.956;0.724;0.761;0.902;0.824;0.849;0.677;0.654;0.709;0.715;0.689;0.794;0.782;0.807;0.82;0.78;0.779;0.852;0.902;0.877;0.827;0.847;0.847;1.0;0.925;0.854;0.877;0.827;0.792;0.816;0.799;0.799;0.799
transcript56_ENSPEMG00000024651;0.907;0.896;0.889;0.888;0.69;0.727;0.856;0.823;0.806;0.659;0.667;0.708;0.745;0.67;0.813;0.762;0.773;0.789;0.79;0.777;0.812;0.875;0.91;0.802;0.827;0.827;0.925;1.0;0.82;0.91;0.818;0.793;0.782;0.778;0.778;0.778
transcript65_ENSCGRG00000018457;0.94;0.912;0.896;0.897;0.715;0.749;0.886;0.812;0.837;0.712;0.696;0.742;0.75;0.724;0.828;0.801;0.809;0.855;0.695;0.701;0.747;0.936;0.908;0.861;0.991;0.991;0.854;0.82;1.0;0.908;0.862;0.794;0.817;0.83;0.83;0.83
transcript33_ENSPEMG00000024651;0.967;0.937;0.914;0.915;0.749;0.787;0.92;0.878;0.867;0.749;0.754;0.797;0.831;0.759;0.896;0.84;0.745;0.794;0.764;0.742;0.78;0.963;1.0;0.89;0.915;0.915;0.877;0.91;0.908;1.0;0.893;0.86;0.855;0.856;0.856;0.856
transcript33_ENSNGAG00000018584;0.905;0.878;0.856;0.857;0.723;0.763;0.865;0.799;0.816;0.729;0.714;0.752;0.759;0.74;0.85;0.821;0.704;0.747;0.686;0.823;0.727;0.91;0.893;0.837;0.87;0.87;0.827;0.818;0.862;0.893;1.0;0.848;0.861;0.868;0.868;0.868
transcript39_ENSPEMG00000024651;0.908;0.843;0.829;0.83;0.778;0.839;0.858;0.813;0.792;0.75;0.762;0.799;0.841;0.76;0.929;0.865;0.661;0.698;0.674;0.709;0.695;0.849;0.86;0.784;0.802;0.817;0.792;0.793;0.794;0.86;0.848;1.0;0.962;0.836;0.836;0.836
transcript39_ENSSTOG00000019743;0.938;0.873;0.857;0.858;0.801;0.862;0.89;0.798;0.824;0.771;0.734;0.813;0.805;0.787;0.895;0.888;0.674;0.714;0.66;0.705;0.708;0.88;0.855;0.815;0.826;0.842;0.816;0.782;0.817;0.855;0.861;0.962;1.0;0.865;0.865;0.865
transcript26_ENSSTOG00000019743;0.997;0.857;0.836;0.837;0.698;0.74;0.864;0.776;0.805;0.694;0.666;0.732;0.73;0.709;0.807;0.786;0.671;0.713;0.654;0.705;0.702;0.888;0.856;0.828;0.838;0.854;0.799;0.778;0.83;0.856;0.868;0.836;0.865;1.0;1.0;1.0
transcript29_ENSSTOG00000019743;0.997;0.857;0.836;0.837;0.698;0.74;0.864;0.776;0.805;0.694;0.666;0.732;0.73;0.709;0.807;0.786;0.671;0.713;0.654;0.705;0.702;0.888;0.856;0.828;0.838;0.854;0.799;0.778;0.83;0.856;0.868;0.836;0.865;1.0;1.0;1.0
transcript40_ENSSTOG00000019743;0.997;0.857;0.836;0.837;0.698;0.74;0.864;0.776;0.805;0.694;0.666;0.732;0.73;0.709;0.807;0.786;0.671;0.713;0.654;0.705;0.702;0.888;0.856;0.828;0.838;0.854;0.799;0.778;0.83;0.856;0.868;0.836;0.865;1.0;1.0;1.0
