;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript52_ENSCGRG00000018457;0.898;0.869;0.869;0.869;0.883;0.893;0.877;0.85;0.88;0.776;0.697;0.863;0.791;0.845;0.794;0.873;0.764;0.76;0.616;0.629;0.641;0.912;0.868;0.897;1.0;1.0;0.807;0.761;0.987;0.868;0.919;0.796;0.809;0.901;0.901;0.901
transcript52_ENSCGRG00001010245;0.898;0.869;0.869;0.869;0.877;0.887;0.871;0.844;0.875;0.772;0.692;0.858;0.786;0.841;0.788;0.867;0.764;0.76;0.616;0.629;0.641;0.912;0.868;0.892;1.0;1.0;0.807;0.761;0.987;0.868;0.919;0.791;0.805;0.895;0.895;0.895
transcript56_ENSCGRG00000018457;0.934;0.936;0.936;0.936;0.896;0.898;0.895;0.869;0.892;0.757;0.663;0.844;0.773;0.826;0.778;0.862;0.716;0.712;0.702;0.719;0.741;0.895;0.855;0.879;0.807;0.807;1.0;0.889;0.817;0.855;0.895;0.797;0.807;0.883;0.883;0.883
transcript56_ENSPEMG00000024651;0.858;0.847;0.847;0.847;0.818;0.82;0.822;0.811;0.82;0.691;0.627;0.774;0.724;0.76;0.738;0.791;0.692;0.688;0.736;0.697;0.705;0.836;0.888;0.817;0.761;0.761;0.889;1.0;0.757;0.888;0.829;0.751;0.75;0.818;0.818;0.818
transcript65_ENSCGRG00000018457;0.898;0.879;0.879;0.879;0.87;0.88;0.865;0.84;0.869;0.763;0.687;0.85;0.781;0.832;0.784;0.859;0.774;0.77;0.623;0.635;0.649;0.901;0.861;0.885;0.987;0.987;0.817;0.757;1.0;0.861;0.909;0.787;0.798;0.889;0.889;0.889
transcript33_ENSPEMG00000024651;0.948;0.915;0.915;0.915;0.911;0.921;0.906;0.875;0.906;0.805;0.712;0.887;0.806;0.874;0.821;0.898;0.686;0.682;0.727;0.686;0.701;0.942;1.0;0.922;0.868;0.868;0.855;0.888;0.861;1.0;0.939;0.827;0.851;0.923;0.923;0.923
transcript33_ENSNGAG00000018584;1.0;0.953;0.953;0.953;0.98;0.991;0.967;0.927;0.973;0.862;0.763;0.951;0.866;0.936;0.869;0.968;0.694;0.689;0.668;0.701;0.703;1.0;0.939;0.988;0.919;0.919;0.895;0.829;0.909;0.939;1.0;0.878;0.909;0.992;0.992;0.992
transcript39_ENSPEMG00000024651;0.873;0.844;0.851;0.842;0.93;0.941;0.88;0.889;0.87;0.808;0.837;0.892;0.939;0.877;0.965;0.904;0.623;0.615;0.624;0.637;0.64;0.862;0.827;0.876;0.796;0.791;0.797;0.751;0.787;0.827;0.878;1.0;0.94;0.877;0.877;0.877
transcript39_ENSSTOG00000019743;0.901;0.863;0.869;0.861;0.979;0.991;0.903;0.873;0.905;0.853;0.792;0.941;0.908;0.921;0.92;0.952;0.613;0.605;0.612;0.622;0.631;0.891;0.851;0.907;0.809;0.805;0.807;0.75;0.798;0.851;0.909;0.94;1.0;0.908;0.908;0.908
transcript26_ENSSTOG00000019743;0.987;0.938;0.944;0.934;0.978;0.991;0.976;0.929;0.975;0.872;0.759;0.96;0.867;0.941;0.874;0.97;0.689;0.681;0.673;0.692;0.705;0.981;0.923;0.996;0.901;0.895;0.883;0.818;0.889;0.923;0.992;0.877;0.908;1.0;1.0;1.0
transcript29_ENSSTOG00000019743;0.987;0.938;0.944;0.934;0.978;0.991;0.976;0.929;0.975;0.872;0.759;0.96;0.867;0.941;0.874;0.97;0.689;0.681;0.673;0.692;0.705;0.981;0.923;0.996;0.901;0.895;0.883;0.818;0.889;0.923;0.992;0.877;0.908;1.0;1.0;1.0
transcript40_ENSSTOG00000019743;0.987;0.938;0.944;0.934;0.978;0.991;0.976;0.929;0.975;0.872;0.759;0.96;0.867;0.941;0.874;0.97;0.689;0.681;0.673;0.692;0.705;0.981;0.923;0.996;0.901;0.895;0.883;0.818;0.889;0.923;0.992;0.877;0.908;1.0;1.0;1.0
