;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript48_ENSMSIG00000000513;0.653;0.443;0.72;0.713;0.758;0.623;0.758;0.326;1.0;0.72;1.0;0.707;0.456;0.455;0.461;0.447;0.326;0.443;0.299;0.342;0.354;0.315;0.326;0.483;0.469;0.459;0.518;0.447;0.447;0.465;0.465
transcript49_ENSMSIG00000000513;0.476;0.361;0.986;0.972;0.55;0.462;0.55;0.378;0.707;0.986;0.707;1.0;0.641;0.646;0.651;0.641;0.522;0.657;0.495;0.502;0.569;0.479;0.522;0.696;0.649;0.631;0.716;0.644;0.644;0.637;0.637
transcript22_MGP-SPRETEiJ-G0021131;0.368;0.36;0.649;0.64;0.424;0.416;0.424;0.392;0.456;0.649;0.456;0.641;1.0;0.944;0.968;0.941;0.801;0.729;0.809;0.7;0.65;0.708;0.801;0.838;0.758;0.817;0.827;0.89;0.89;0.823;0.823
transcript22_MGP-CAROLIEiJ-G0020234;0.366;0.357;0.655;0.645;0.422;0.409;0.422;0.408;0.455;0.655;0.455;0.646;0.944;1.0;0.956;0.977;0.833;0.72;0.774;0.729;0.641;0.678;0.833;0.829;0.729;0.788;0.794;0.855;0.855;0.794;0.794
transcript36_ENSMUSG00000054036;0.373;0.373;0.66;0.649;0.429;0.416;0.429;0.402;0.461;0.66;0.461;0.651;0.968;0.956;1.0;0.953;0.813;0.733;0.798;0.712;0.654;0.702;0.813;0.841;0.748;0.806;0.816;0.879;0.879;0.813;0.813
transcript8_MGP-CAROLIEiJ-G0020234;0.357;0.355;0.65;0.639;0.413;0.401;0.413;0.419;0.447;0.65;0.447;0.641;0.941;0.977;0.953;1.0;0.853;0.716;0.792;0.746;0.657;0.695;0.853;0.825;0.724;0.783;0.79;0.851;0.851;0.79;0.79
transcript32_MGP-CAROLIEiJ-G0020234;0.274;0.316;0.531;0.52;0.284;0.257;0.284;0.49;0.326;0.531;0.326;0.522;0.801;0.833;0.813;0.853;1.0;0.674;0.922;0.874;0.719;0.807;1.0;0.683;0.603;0.664;0.66;0.713;0.713;0.67;0.67
transcript32_ENSRNOG00000031503;0.368;0.297;0.669;0.656;0.402;0.328;0.402;0.409;0.443;0.669;0.443;0.657;0.729;0.72;0.733;0.716;0.674;1.0;0.675;0.631;0.892;0.637;0.674;0.871;0.673;0.608;0.738;0.797;0.797;0.608;0.608
transcript32_ENSMUGG00000013592;0.251;0.307;0.504;0.494;0.258;0.231;0.258;0.465;0.299;0.504;0.299;0.495;0.809;0.774;0.798;0.792;0.922;0.675;1.0;0.807;0.737;0.875;0.922;0.666;0.609;0.67;0.667;0.722;0.722;0.677;0.677
transcript33_MGP-CAROLIEiJ-G0020234;0.302;0.279;0.513;0.502;0.296;0.281;0.296;0.559;0.342;0.513;0.342;0.502;0.7;0.729;0.712;0.746;0.874;0.631;0.807;1.0;0.679;0.916;0.874;0.581;0.514;0.577;0.566;0.613;0.613;0.584;0.584
transcript33_ENSRNOG00000031503;0.301;0.275;0.581;0.568;0.307;0.236;0.307;0.447;0.354;0.581;0.354;0.569;0.65;0.641;0.654;0.657;0.719;0.892;0.737;0.679;1.0;0.698;0.719;0.777;0.6;0.541;0.657;0.712;0.712;0.542;0.542
transcript33_ENSMUGG00000013592;0.279;0.27;0.489;0.478;0.271;0.256;0.271;0.53;0.315;0.489;0.315;0.479;0.708;0.678;0.702;0.695;0.807;0.637;0.875;0.916;0.698;1.0;0.807;0.569;0.521;0.584;0.573;0.621;0.621;0.59;0.59
transcript42_MGP-CAROLIEiJ-G0020234;0.274;0.316;0.531;0.52;0.284;0.257;0.284;0.49;0.326;0.531;0.326;0.522;0.801;0.833;0.813;0.853;1.0;0.674;0.922;0.874;0.719;0.807;1.0;0.683;0.603;0.664;0.66;0.713;0.713;0.67;0.67
transcript9_ENSRNOG00000031503;0.385;0.342;0.707;0.696;0.449;0.392;0.449;0.369;0.483;0.707;0.483;0.696;0.838;0.829;0.841;0.825;0.683;0.871;0.666;0.581;0.777;0.569;0.683;1.0;0.777;0.702;0.849;0.915;0.915;0.701;0.701
transcript18_ENSRNOG00000031503;0.295;0.287;0.658;0.648;0.348;0.334;0.348;0.299;0.469;0.658;0.469;0.649;0.758;0.729;0.748;0.724;0.603;0.673;0.609;0.514;0.6;0.521;0.603;0.777;1.0;0.909;0.91;0.848;0.848;0.908;0.908
transcript18_ENSMUGG00000013592;0.296;0.289;0.639;0.63;0.344;0.332;0.344;0.319;0.459;0.639;0.459;0.631;0.817;0.788;0.806;0.783;0.664;0.608;0.67;0.577;0.541;0.584;0.664;0.702;0.909;1.0;0.825;0.766;0.766;0.994;0.994
transcript19_ENSRNOG00000031503;0.326;0.317;0.726;0.715;0.381;0.367;0.381;0.33;0.518;0.726;0.518;0.716;0.827;0.794;0.816;0.79;0.66;0.738;0.667;0.566;0.657;0.573;0.66;0.849;0.91;0.825;1.0;0.927;0.927;0.823;0.823
transcript21_ENSRNOG00000031503;0.353;0.344;0.654;0.643;0.411;0.398;0.411;0.359;0.447;0.654;0.447;0.644;0.89;0.855;0.879;0.851;0.713;0.797;0.722;0.613;0.712;0.621;0.713;0.915;0.848;0.766;0.927;1.0;1.0;0.765;0.765
transcript23_ENSRNOG00000031503;0.353;0.344;0.654;0.643;0.411;0.398;0.411;0.359;0.447;0.654;0.447;0.644;0.89;0.855;0.879;0.851;0.713;0.797;0.722;0.613;0.712;0.621;0.713;0.915;0.848;0.766;0.927;1.0;1.0;0.765;0.765
transcript34_ENSMUGG00000013592;0.302;0.295;0.645;0.637;0.351;0.339;0.351;0.326;0.465;0.645;0.465;0.637;0.823;0.794;0.813;0.79;0.67;0.608;0.677;0.584;0.542;0.59;0.67;0.701;0.908;0.994;0.823;0.765;0.765;1.0;1.0
transcript35_ENSMUGG00000013592;0.302;0.295;0.645;0.637;0.351;0.339;0.351;0.326;0.465;0.645;0.465;0.637;0.823;0.794;0.813;0.79;0.67;0.608;0.677;0.584;0.542;0.59;0.67;0.701;0.908;0.994;0.823;0.765;0.765;1.0;1.0
