;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENST00000509664_90_90;0.294;0.298;0.298;0.39;0.376;0.376;0.081;0.662;0.235;0.098;0.753;0.298;0.909;0.188;0.909;0.109;1.0;0.753;0.121;0.424;0.397;0.427;0.298;0.63;0.652;0.343;0.385;0.385;0.381;0.512;0.55;0.226;0.095;0.385
ENST00000509963_90_90;0.392;0.396;0.396;0.519;0.5;0.5;0.184;0.879;0.358;0.222;1.0;0.396;0.828;0.286;0.828;0.248;0.753;1.0;0.274;0.563;0.299;0.567;0.396;0.474;0.866;0.457;0.513;0.513;0.508;0.384;0.733;0.173;0.215;0.513
ENST00000510824_90_90;0.419;0.42;0.42;0.551;0.531;0.531;0.574;0.359;0.611;0.736;0.274;0.42;0.168;0.472;0.168;0.861;0.121;0.274;1.0;0.598;0.0;0.602;0.42;0.0;0.369;0.489;0.549;0.549;0.543;0.0;0.442;0.118;0.698;0.549
ENST00000511102_90_90;0.698;0.703;0.703;0.922;0.888;0.888;0.507;0.64;0.743;0.61;0.563;0.703;0.466;0.593;0.466;0.681;0.424;0.563;0.598;1.0;0.168;0.992;0.703;0.267;0.65;0.814;0.914;0.914;0.905;0.216;0.703;0.129;0.59;0.914
ENST00000511662_90_90;0.117;0.118;0.118;0.155;0.149;0.149;0.0;0.263;0.108;0.0;0.299;0.118;0.361;0.085;0.361;0.0;0.397;0.299;0.0;0.168;1.0;0.17;0.118;0.63;0.259;0.137;0.153;0.153;0.152;0.768;0.219;0.0;0.0;0.153
ENST00000512236_90_90;0.693;0.698;0.698;0.914;0.881;0.881;0.501;0.645;0.736;0.603;0.567;0.698;0.47;0.588;0.47;0.674;0.427;0.567;0.602;0.992;0.17;1.0;0.698;0.269;0.655;0.808;0.907;0.907;0.898;0.218;0.708;0.13;0.583;0.907
ENST00000513391_90_90;0.992;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.664;0.725;0.725;0.719;0.152;0.499;0.091;0.487;0.725
ENST00000513641_90_90;0.186;0.188;0.188;0.246;0.237;0.237;0.0;0.417;0.099;0.0;0.474;0.188;0.573;0.079;0.573;0.0;0.63;0.474;0.0;0.267;0.63;0.269;0.188;1.0;0.411;0.217;0.244;0.244;0.242;0.804;0.349;0.0;0.0;0.244
ENST00000514981_90_90;0.453;0.457;0.457;0.599;0.577;0.577;0.249;0.985;0.434;0.299;0.866;0.457;0.717;0.347;0.717;0.334;0.652;0.866;0.369;0.65;0.259;0.655;0.457;0.411;1.0;0.529;0.594;0.594;0.587;0.332;0.847;0.151;0.29;0.594
ENSMUST00000031038_90_90;0.717;0.664;0.664;0.843;0.817;0.817;0.49;0.521;0.69;0.577;0.457;0.664;0.378;0.565;0.378;0.568;0.343;0.457;0.489;0.814;0.137;0.808;0.664;0.217;0.529;1.0;0.732;0.732;0.794;0.151;0.551;0.095;0.721;0.732
ENSMUST00000071081_90_90;0.749;0.725;0.725;0.993;0.911;0.911;0.538;0.585;0.769;0.644;0.513;0.725;0.424;0.617;0.424;0.638;0.385;0.513;0.549;0.914;0.153;0.907;0.725;0.244;0.594;0.732;1.0;1.0;0.919;0.198;0.63;0.124;0.551;1.0
ENSMUST00000166823_90_90;0.749;0.725;0.725;0.993;0.911;0.911;0.538;0.585;0.769;0.644;0.513;0.725;0.424;0.617;0.424;0.638;0.385;0.513;0.549;0.914;0.153;0.907;0.725;0.244;0.594;0.732;1.0;1.0;0.919;0.198;0.63;0.124;0.551;1.0
ENSMUST00000200935_90_90;0.741;0.719;0.719;0.935;0.902;0.902;0.533;0.578;0.761;0.638;0.508;0.719;0.42;0.612;0.42;0.631;0.381;0.508;0.543;0.905;0.152;0.898;0.719;0.242;0.587;0.794;0.919;0.919;1.0;0.19;0.694;0.12;0.535;0.919
ENSMUST00000201505_90_90;0.151;0.152;0.152;0.199;0.192;0.192;0.0;0.337;0.102;0.0;0.384;0.152;0.464;0.081;0.464;0.0;0.512;0.384;0.0;0.216;0.768;0.218;0.152;0.804;0.332;0.151;0.198;0.198;0.19;1.0;0.275;0.0;0.0;0.198
ENSMUST00000201556_90_90;0.505;0.499;0.499;0.649;0.626;0.626;0.301;0.835;0.487;0.36;0.733;0.499;0.606;0.391;0.606;0.401;0.55;0.733;0.442;0.703;0.219;0.708;0.499;0.349;0.847;0.551;0.63;0.63;0.694;0.275;1.0;0.126;0.296;0.63
ENSMUST00000201739_90_90;0.096;0.091;0.091;0.119;0.115;0.115;0.08;0.153;0.13;0.101;0.173;0.091;0.206;0.101;0.206;0.117;0.226;0.173;0.118;0.129;0.0;0.13;0.091;0.0;0.151;0.095;0.124;0.124;0.12;0.0;0.126;1.0;0.086;0.124
ENSMUST00000202237_90_90;0.515;0.487;0.487;0.625;0.605;0.605;0.646;0.282;0.687;0.807;0.215;0.487;0.132;0.543;0.132;0.812;0.095;0.215;0.698;0.59;0.0;0.583;0.487;0.0;0.29;0.721;0.551;0.551;0.535;0.0;0.296;0.086;1.0;0.551
ENSMUST00000202250_90_90;0.749;0.725;0.725;0.993;0.911;0.911;0.538;0.585;0.769;0.644;0.513;0.725;0.424;0.617;0.424;0.638;0.385;0.513;0.549;0.914;0.153;0.907;0.725;0.244;0.594;0.732;1.0;1.0;0.919;0.198;0.63;0.124;0.551;1.0
