;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENST00000515129_90_90;0.529;0.427;0.163;0.52;0.529;0.718;0.0;0.529;0.661;0.0;1.0;0.323;0.282;0.173;0.282;0.163;0.285;0.323;0.282;0.173;0.004;0.0;0.147;0.231;0.0;0.044;0.441;0.444;0.427;0.441;0.307;0.308;0.528;0.558;0.493;0.086;0.0;0.52;0.528;0.42;0.408;0.458;0.437;0.458;0.476;0.472;0.408;0.44;0.426;0.443;0.018;0.0;0.089;0.426;0.44;0.089
ENST00000316364_90_90;0.355;0.432;0.342;0.366;0.355;0.206;0.0;0.355;0.238;0.0;0.323;1.0;0.948;0.556;0.919;0.443;0.93;1.0;0.919;0.556;0.037;0.021;0.204;0.171;0.0;0.138;0.411;0.419;0.434;0.411;0.171;0.172;0.355;0.333;0.338;0.083;0.0;0.366;0.355;0.713;0.721;0.761;0.702;0.761;0.749;0.746;0.721;0.412;0.434;0.419;0.073;0.027;0.113;0.434;0.412;0.113
ENST00000354744_90_90;0.323;0.407;0.354;0.334;0.323;0.165;0.0;0.323;0.198;0.0;0.282;0.948;1.0;0.569;0.969;0.468;0.981;0.948;0.969;0.569;0.038;0.022;0.216;0.119;0.0;0.146;0.385;0.392;0.408;0.385;0.16;0.158;0.323;0.3;0.306;0.087;0.0;0.334;0.323;0.747;0.756;0.721;0.735;0.721;0.709;0.712;0.756;0.385;0.408;0.393;0.077;0.028;0.12;0.408;0.385;0.12
ENST00000355997_90_90;0.249;0.173;0.466;0.262;0.249;0.025;0.0;0.249;0.069;0.0;0.173;0.556;0.569;1.0;0.572;0.796;0.58;0.556;0.572;1.0;0.033;0.037;0.367;0.065;0.0;0.248;0.177;0.154;0.173;0.177;0.238;0.238;0.249;0.221;0.229;0.146;0.0;0.262;0.249;0.391;0.395;0.387;0.384;0.387;0.381;0.382;0.395;0.178;0.174;0.155;0.131;0.049;0.204;0.174;0.178;0.204
ENST00000358066_90_90;0.334;0.42;0.353;0.345;0.334;0.163;0.0;0.334;0.21;0.0;0.282;0.919;0.969;0.572;1.0;0.47;0.987;0.919;1.0;0.572;0.033;0.022;0.217;0.113;0.0;0.146;0.398;0.393;0.421;0.398;0.171;0.169;0.334;0.3;0.317;0.101;0.0;0.345;0.334;0.764;0.773;0.736;0.751;0.736;0.725;0.727;0.773;0.399;0.422;0.394;0.078;0.029;0.12;0.422;0.399;0.12
ENST00000389425_90_90;0.209;0.138;0.418;0.222;0.209;0.0;0.0;0.209;0.0;0.0;0.163;0.443;0.468;0.796;0.47;1.0;0.476;0.443;0.47;0.796;0.0;0.046;0.461;0.0;0.0;0.311;0.142;0.142;0.138;0.142;0.208;0.208;0.209;0.218;0.181;0.094;0.0;0.222;0.209;0.344;0.349;0.332;0.339;0.332;0.326;0.327;0.349;0.142;0.138;0.143;0.165;0.061;0.255;0.138;0.142;0.255
ENST00000389428_90_90;0.326;0.411;0.346;0.337;0.326;0.164;0.0;0.326;0.199;0.0;0.285;0.93;0.981;0.58;0.987;0.476;1.0;0.93;0.987;0.58;0.02;0.022;0.22;0.102;0.0;0.148;0.39;0.397;0.413;0.39;0.162;0.159;0.326;0.303;0.309;0.088;0.0;0.337;0.326;0.755;0.764;0.728;0.743;0.728;0.716;0.719;0.764;0.39;0.413;0.397;0.079;0.029;0.122;0.413;0.39;0.122
ENST00000536845_90_90;0.355;0.432;0.342;0.366;0.355;0.206;0.0;0.355;0.238;0.0;0.323;1.0;0.948;0.556;0.919;0.443;0.93;1.0;0.919;0.556;0.037;0.021;0.204;0.171;0.0;0.138;0.411;0.419;0.434;0.411;0.171;0.172;0.355;0.333;0.338;0.083;0.0;0.366;0.355;0.713;0.721;0.761;0.702;0.761;0.749;0.746;0.721;0.412;0.434;0.419;0.073;0.027;0.113;0.434;0.412;0.113
ENST00000558014_90_90;0.334;0.42;0.353;0.345;0.334;0.163;0.0;0.334;0.21;0.0;0.282;0.919;0.969;0.572;1.0;0.47;0.987;0.919;1.0;0.572;0.033;0.022;0.217;0.113;0.0;0.146;0.398;0.393;0.421;0.398;0.171;0.169;0.334;0.3;0.317;0.101;0.0;0.345;0.334;0.764;0.773;0.736;0.751;0.736;0.725;0.727;0.773;0.399;0.422;0.394;0.078;0.029;0.12;0.422;0.399;0.12
ENST00000558816_90_90;0.249;0.173;0.466;0.262;0.249;0.025;0.0;0.249;0.069;0.0;0.173;0.556;0.569;1.0;0.572;0.796;0.58;0.556;0.572;1.0;0.033;0.037;0.367;0.065;0.0;0.248;0.177;0.154;0.173;0.177;0.238;0.238;0.249;0.221;0.229;0.146;0.0;0.262;0.249;0.391;0.395;0.387;0.384;0.387;0.381;0.382;0.395;0.178;0.174;0.155;0.131;0.049;0.204;0.174;0.178;0.204
ENST00000559064_90_90;0.02;0.019;0.041;0.019;0.02;0.009;0.0;0.02;0.043;0.0;0.004;0.037;0.038;0.033;0.033;0.0;0.02;0.037;0.033;0.033;1.0;0.0;0.0;0.26;0.0;0.0;0.02;0.004;0.019;0.02;0.034;0.034;0.02;0.002;0.021;0.131;0.0;0.02;0.02;0.025;0.025;0.024;0.025;0.024;0.024;0.024;0.025;0.02;0.019;0.004;0.0;0.0;0.0;0.019;0.02;0.0
ENST00000559184_90_90;0.02;0.0;0.019;0.02;0.02;0.0;0.0;0.02;0.0;0.0;0.0;0.021;0.022;0.037;0.022;0.046;0.022;0.021;0.022;0.037;0.0;1.0;0.1;0.0;0.0;0.149;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.021;0.021;0.0;0.0;0.02;0.02;0.013;0.013;0.012;0.013;0.012;0.012;0.012;0.013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000559196_90_90;0.207;0.126;0.196;0.204;0.207;0.0;0.0;0.207;0.0;0.0;0.147;0.204;0.216;0.367;0.217;0.461;0.22;0.204;0.217;0.367;0.0;0.1;1.0;0.0;0.0;0.675;0.13;0.132;0.127;0.13;0.213;0.213;0.207;0.219;0.182;0.015;0.0;0.204;0.207;0.206;0.209;0.198;0.202;0.198;0.194;0.195;0.209;0.131;0.127;0.132;0.356;0.132;0.551;0.127;0.131;0.551
ENST00000560006_90_90;0.147;0.135;0.035;0.144;0.147;0.304;0.0;0.147;0.316;0.0;0.231;0.171;0.119;0.065;0.113;0.0;0.102;0.171;0.113;0.065;0.26;0.0;0.0;1.0;0.0;0.0;0.139;0.124;0.135;0.139;0.056;0.061;0.147;0.135;0.151;0.062;0.0;0.145;0.147;0.105;0.106;0.153;0.103;0.153;0.15;0.147;0.106;0.139;0.135;0.124;0.0;0.0;0.0;0.135;0.139;0.0
ENST00000560636_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000561133_90_90;0.141;0.086;0.133;0.139;0.141;0.0;0.0;0.141;0.0;0.0;0.044;0.138;0.146;0.248;0.146;0.311;0.148;0.138;0.146;0.248;0.0;0.149;0.675;0.0;0.0;1.0;0.089;0.09;0.086;0.089;0.147;0.147;0.141;0.149;0.123;0.0;0.0;0.139;0.141;0.136;0.138;0.131;0.134;0.131;0.128;0.129;0.138;0.09;0.087;0.091;0.527;0.195;0.486;0.087;0.09;0.486
ENST00000341697_90_90;0.409;0.964;0.173;0.404;0.409;0.345;0.0;0.409;0.395;0.0;0.441;0.411;0.385;0.177;0.398;0.142;0.39;0.411;0.398;0.177;0.02;0.0;0.13;0.139;0.0;0.089;1.0;0.925;0.967;1.0;0.43;0.43;0.408;0.374;0.398;0.1;0.0;0.404;0.408;0.508;0.499;0.532;0.517;0.532;0.541;0.538;0.499;0.992;0.959;0.918;0.085;0.031;0.126;0.959;0.992;0.126
ENST00000368912_90_90;0.371;0.955;0.148;0.367;0.371;0.348;0.0;0.371;0.344;0.0;0.444;0.419;0.392;0.154;0.393;0.142;0.397;0.419;0.393;0.154;0.004;0.0;0.132;0.124;0.0;0.09;0.925;1.0;0.958;0.925;0.379;0.379;0.371;0.376;0.361;0.056;0.0;0.367;0.371;0.503;0.495;0.527;0.513;0.527;0.537;0.534;0.495;0.918;0.951;0.992;0.086;0.031;0.128;0.951;0.918;0.128
ENST00000368913_90_90;0.4;0.997;0.17;0.395;0.4;0.334;0.0;0.4;0.383;0.0;0.427;0.434;0.408;0.173;0.421;0.138;0.413;0.434;0.421;0.173;0.019;0.0;0.127;0.135;0.0;0.086;0.967;0.958;1.0;0.967;0.417;0.417;0.399;0.366;0.389;0.097;0.0;0.395;0.399;0.533;0.524;0.556;0.542;0.556;0.566;0.563;0.524;0.959;0.992;0.951;0.082;0.03;0.122;0.992;0.959;0.122
ENST00000368914_90_90;0.409;0.964;0.173;0.404;0.409;0.345;0.0;0.409;0.395;0.0;0.441;0.411;0.385;0.177;0.398;0.142;0.39;0.411;0.398;0.177;0.02;0.0;0.13;0.139;0.0;0.089;1.0;0.925;0.967;1.0;0.43;0.43;0.408;0.374;0.398;0.1;0.0;0.404;0.408;0.508;0.499;0.532;0.517;0.532;0.541;0.538;0.499;0.992;0.959;0.918;0.085;0.031;0.126;0.959;0.992;0.126
ENST00000613223_90_90;0.311;0.417;0.225;0.307;0.311;0.183;0.0;0.311;0.246;0.0;0.307;0.171;0.16;0.238;0.171;0.208;0.162;0.171;0.171;0.238;0.034;0.0;0.213;0.056;0.0;0.147;0.43;0.379;0.417;0.43;1.0;0.986;0.311;0.27;0.298;0.172;0.0;0.306;0.311;0.268;0.259;0.272;0.279;0.272;0.283;0.284;0.259;0.425;0.412;0.375;0.147;0.053;0.218;0.412;0.425;0.218
ENST00000621728_90_90;0.312;0.417;0.225;0.307;0.312;0.184;0.0;0.312;0.247;0.0;0.308;0.172;0.158;0.238;0.169;0.208;0.159;0.172;0.169;0.238;0.034;0.0;0.213;0.061;0.0;0.147;0.43;0.379;0.417;0.43;0.986;1.0;0.311;0.271;0.299;0.172;0.0;0.307;0.311;0.265;0.255;0.273;0.276;0.273;0.284;0.284;0.255;0.425;0.412;0.375;0.147;0.053;0.218;0.412;0.425;0.218
ENSMUST00000019791_90_90;0.999;0.399;0.505;0.982;0.998;0.383;0.111;0.998;0.438;0.155;0.528;0.355;0.323;0.249;0.334;0.209;0.326;0.355;0.334;0.249;0.02;0.02;0.207;0.147;0.0;0.141;0.408;0.371;0.399;0.408;0.311;0.311;1.0;0.947;0.961;0.103;0.21;0.984;1.0;0.446;0.437;0.476;0.46;0.476;0.489;0.487;0.437;0.409;0.4;0.372;0.078;0.029;0.12;0.4;0.409;0.12
ENSMUST00000076043_90_90;0.946;0.365;0.468;0.93;0.946;0.404;0.117;0.946;0.385;0.164;0.558;0.333;0.3;0.221;0.3;0.218;0.303;0.333;0.3;0.221;0.002;0.021;0.219;0.135;0.0;0.149;0.374;0.376;0.366;0.374;0.27;0.271;0.947;1.0;0.908;0.05;0.222;0.931;0.947;0.41;0.401;0.44;0.424;0.44;0.454;0.451;0.401;0.375;0.366;0.377;0.082;0.03;0.127;0.366;0.375;0.127
ENSMUST00000115449_90_90;0.961;0.389;0.488;0.944;0.96;0.393;0.113;0.96;0.454;0.159;0.493;0.338;0.306;0.229;0.317;0.181;0.309;0.338;0.317;0.229;0.021;0.021;0.182;0.151;0.0;0.123;0.398;0.361;0.389;0.398;0.298;0.299;0.961;0.908;1.0;0.098;0.215;0.946;0.961;0.428;0.419;0.458;0.441;0.458;0.471;0.468;0.419;0.399;0.39;0.362;0.078;0.03;0.11;0.39;0.399;0.11
ENSMUST00000123228_90_90;0.104;0.097;0.095;0.101;0.103;0.001;0.0;0.103;0.107;0.0;0.086;0.083;0.087;0.146;0.101;0.094;0.088;0.083;0.101;0.146;0.131;0.0;0.015;0.062;0.0;0.0;0.1;0.056;0.097;0.1;0.172;0.172;0.103;0.05;0.098;1.0;0.0;0.102;0.103;0.1;0.102;0.096;0.099;0.096;0.095;0.095;0.102;0.1;0.097;0.056;0.0;0.0;0.0;0.097;0.1;0.0
ENSMUST00000126684_90_90;0.21;0.0;0.197;0.207;0.21;0.0;0.527;0.21;0.0;0.738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21;0.222;0.215;0.0;1.0;0.206;0.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000135790_90_90;0.983;0.394;0.517;0.998;0.982;0.377;0.109;0.982;0.431;0.152;0.52;0.366;0.334;0.262;0.345;0.222;0.337;0.366;0.345;0.262;0.02;0.02;0.204;0.145;0.0;0.139;0.404;0.367;0.395;0.404;0.306;0.307;0.984;0.931;0.946;0.102;0.206;1.0;0.984;0.458;0.449;0.488;0.472;0.488;0.501;0.499;0.449;0.404;0.395;0.367;0.076;0.028;0.118;0.395;0.404;0.118
ENSMUST00000156422_90_90;0.999;0.399;0.505;0.982;0.998;0.383;0.111;0.998;0.438;0.155;0.528;0.355;0.323;0.249;0.334;0.209;0.326;0.355;0.334;0.249;0.02;0.02;0.207;0.147;0.0;0.141;0.408;0.371;0.399;0.408;0.311;0.311;1.0;0.947;0.961;0.103;0.21;0.984;1.0;0.446;0.437;0.476;0.46;0.476;0.489;0.487;0.437;0.409;0.4;0.372;0.078;0.029;0.12;0.4;0.409;0.12
ENSMUST00000051419_90_90;0.446;0.531;0.343;0.458;0.446;0.287;0.0;0.446;0.339;0.0;0.42;0.713;0.747;0.391;0.764;0.344;0.755;0.713;0.764;0.391;0.025;0.013;0.206;0.105;0.0;0.136;0.508;0.503;0.533;0.508;0.268;0.265;0.446;0.41;0.428;0.1;0.0;0.458;0.446;1.0;0.987;0.935;0.982;0.935;0.919;0.922;0.987;0.508;0.533;0.503;0.078;0.029;0.12;0.533;0.508;0.12
ENSMUST00000076335_90_90;0.437;0.523;0.345;0.449;0.437;0.276;0.0;0.437;0.327;0.0;0.408;0.721;0.756;0.395;0.773;0.349;0.764;0.721;0.773;0.395;0.025;0.013;0.209;0.106;0.0;0.138;0.499;0.495;0.524;0.499;0.259;0.255;0.437;0.401;0.419;0.102;0.0;0.449;0.437;0.987;1.0;0.947;0.969;0.947;0.93;0.934;1.0;0.5;0.524;0.495;0.079;0.029;0.122;0.524;0.5;0.122
ENSMUST00000077847_90_90;0.476;0.555;0.333;0.488;0.476;0.326;0.0;0.476;0.377;0.0;0.458;0.761;0.721;0.387;0.736;0.332;0.728;0.761;0.736;0.387;0.024;0.012;0.198;0.153;0.0;0.131;0.532;0.527;0.556;0.532;0.272;0.273;0.476;0.44;0.458;0.096;0.0;0.488;0.476;0.935;0.947;1.0;0.919;1.0;0.982;0.979;0.947;0.532;0.557;0.527;0.075;0.027;0.116;0.557;0.532;0.116
ENSMUST00000078621_90_90;0.46;0.541;0.339;0.472;0.46;0.305;0.0;0.46;0.356;0.0;0.437;0.702;0.735;0.384;0.751;0.339;0.743;0.702;0.751;0.384;0.025;0.013;0.202;0.103;0.0;0.134;0.517;0.513;0.542;0.517;0.279;0.276;0.46;0.424;0.441;0.099;0.0;0.472;0.46;0.982;0.969;0.919;1.0;0.919;0.936;0.94;0.969;0.518;0.543;0.513;0.076;0.028;0.118;0.543;0.518;0.118
ENSMUST00000103238_90_90;0.476;0.555;0.333;0.488;0.476;0.326;0.0;0.476;0.377;0.0;0.458;0.761;0.721;0.387;0.736;0.332;0.728;0.761;0.736;0.387;0.024;0.012;0.198;0.153;0.0;0.131;0.532;0.527;0.556;0.532;0.272;0.273;0.476;0.44;0.458;0.096;0.0;0.488;0.476;0.935;0.947;1.0;0.919;1.0;0.982;0.979;0.947;0.532;0.557;0.527;0.075;0.027;0.116;0.557;0.532;0.116
ENSMUST00000103239_90_90;0.49;0.564;0.329;0.501;0.489;0.343;0.0;0.489;0.395;0.0;0.476;0.749;0.709;0.381;0.725;0.326;0.716;0.749;0.725;0.381;0.024;0.012;0.194;0.15;0.0;0.128;0.541;0.537;0.566;0.541;0.283;0.284;0.489;0.454;0.471;0.095;0.0;0.501;0.489;0.919;0.93;0.982;0.936;0.982;1.0;0.996;0.93;0.542;0.566;0.537;0.073;0.027;0.113;0.566;0.542;0.113
ENSMUST00000103240_90_90;0.487;0.561;0.33;0.499;0.487;0.339;0.0;0.487;0.391;0.0;0.472;0.746;0.712;0.382;0.727;0.327;0.719;0.746;0.727;0.382;0.024;0.012;0.195;0.147;0.0;0.129;0.538;0.534;0.563;0.538;0.284;0.284;0.487;0.451;0.468;0.095;0.0;0.499;0.487;0.922;0.934;0.979;0.94;0.979;0.996;1.0;0.934;0.538;0.563;0.534;0.073;0.027;0.114;0.563;0.538;0.114
ENSMUST00000103241_90_90;0.437;0.523;0.345;0.449;0.437;0.276;0.0;0.437;0.327;0.0;0.408;0.721;0.756;0.395;0.773;0.349;0.764;0.721;0.773;0.395;0.025;0.013;0.209;0.106;0.0;0.138;0.499;0.495;0.524;0.499;0.259;0.255;0.437;0.401;0.419;0.102;0.0;0.449;0.437;0.987;1.0;0.947;0.969;0.947;0.93;0.934;1.0;0.5;0.524;0.495;0.079;0.029;0.122;0.524;0.5;0.122
ENSMUST00000090821_90_90;0.409;0.96;0.174;0.404;0.409;0.344;0.0;0.409;0.395;0.0;0.44;0.412;0.385;0.178;0.399;0.142;0.39;0.412;0.399;0.178;0.02;0.0;0.131;0.139;0.0;0.09;0.992;0.918;0.959;0.992;0.425;0.425;0.409;0.375;0.399;0.1;0.0;0.404;0.409;0.508;0.5;0.532;0.518;0.532;0.542;0.538;0.5;1.0;0.967;0.925;0.086;0.032;0.127;0.967;1.0;0.127
ENSMUST00000090823_90_90;0.4;0.993;0.171;0.395;0.4;0.334;0.0;0.4;0.383;0.0;0.426;0.434;0.408;0.174;0.422;0.138;0.413;0.434;0.422;0.174;0.019;0.0;0.127;0.135;0.0;0.087;0.959;0.951;0.992;0.959;0.412;0.412;0.4;0.366;0.39;0.097;0.0;0.395;0.4;0.533;0.524;0.557;0.543;0.557;0.566;0.563;0.524;0.967;1.0;0.958;0.083;0.031;0.123;1.0;0.967;0.123
ENSMUST00000107217_90_90;0.372;0.952;0.148;0.367;0.372;0.347;0.0;0.372;0.344;0.0;0.443;0.419;0.393;0.155;0.394;0.143;0.397;0.419;0.394;0.155;0.004;0.0;0.132;0.124;0.0;0.091;0.918;0.992;0.951;0.918;0.375;0.375;0.372;0.377;0.362;0.056;0.0;0.367;0.372;0.503;0.495;0.527;0.513;0.527;0.537;0.534;0.495;0.925;0.958;1.0;0.087;0.032;0.128;0.958;0.925;0.128
ENSMUST00000131620_90_90;0.078;0.082;0.074;0.076;0.078;0.0;0.0;0.078;0.0;0.0;0.018;0.073;0.077;0.131;0.078;0.165;0.079;0.073;0.078;0.131;0.0;0.0;0.356;0.0;0.0;0.527;0.085;0.086;0.082;0.085;0.147;0.147;0.078;0.082;0.078;0.0;0.0;0.076;0.078;0.078;0.079;0.075;0.076;0.075;0.073;0.073;0.079;0.086;0.083;0.087;1.0;0.371;0.645;0.083;0.086;0.645
ENSMUST00000131742_90_90;0.029;0.03;0.027;0.028;0.029;0.0;0.0;0.029;0.0;0.0;0.0;0.027;0.028;0.049;0.029;0.061;0.029;0.027;0.029;0.049;0.0;0.0;0.132;0.0;0.0;0.195;0.031;0.031;0.03;0.031;0.053;0.053;0.029;0.03;0.03;0.0;0.0;0.028;0.029;0.029;0.029;0.027;0.028;0.027;0.027;0.027;0.029;0.032;0.031;0.032;0.371;1.0;0.239;0.031;0.032;0.239
